smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,prefix
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2316229019.18,3259368.62924,-2316229019.18,-2313924297.52,-2318533740.85,-2318303268.68,-2314154769.69,2.0,10623483861300.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,139
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2317112336.42,3172048.55691,-2317112336.42,-2314869359.37,-2319355313.46,-2319131015.76,-2315093657.08,2.0,10061892047400.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,11
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2369346883.76,6195097.09646,-2369346883.76,-2364966288.6,-2373727478.93,-2373289419.41,-2365404348.11,2.0,38379228034600.0,0.142850352821,9.835748238069999e-14,0.0714534883721,0.00145816514632,0.142857142857,67
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2419199703.36,14856817.2927,-2419199703.36,-2408694347.11,-2429705059.62,-2428654523.99,-2409744882.73,2.0,220725020070000.0,0.142859493254,9.835748238069999e-14,0.0714534883721,0.00145825844858,0.142857142857,131
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2447377346.16,6408214.75202,-2447377346.16,-2442846054.05,-2451908638.26,-2451455509.05,-2443299183.26,2.0,41065216308000.0,0.0714206061936,9.835748238069999e-14,0.0714534883721,0.000729035922026,0.142857142857,3
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2549325164.61,3093527.23364,-2549325164.61,-2547137710.53,-2551512618.7,-2551293873.29,-2547356455.93,2.0,9569910745240.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,84
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2593369570.38,16585922.9612,-2593369570.38,-2581641551.78,-2605097588.97,-2603924787.11,-2582814353.64,2.0,275092840475000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,20
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2614735848.52,2186317.79514,-2614735848.52,-2613189888.38,-2616281808.66,-2616127212.64,-2613344484.39,2.0,4779985501330.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,148
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2652997452.41,11391657.0095,-2652997452.41,-2644942334.49,-2661052570.33,-2660247058.54,-2645747846.29,2.0,129769849422000.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,76
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2708121913.51,29303031.687,-2708121913.51,-2687401541.1,-2728842285.93,-2726770248.69,-2689473578.34,2.0,858667666050000.0,0.142859493254,9.835748238069999e-14,0.142848837209,0.00291533035653,0.142857142857,140
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2733232476.9,33782058.2661,-2733232476.9,-2709344954.42,-2757119999.38,-2754731247.13,-2711733706.67,2.0,1141227460700000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,37
960.0,-415.6,-10443.3,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2743475653.86,2003273.46947,-2743475653.86,-2742059125.61,-2744892182.12,-2744750529.29,-2742200778.43,2.0,4013104593500.0,0.142850352821,9.835748238069999e-14,0.142848837209,0.00291514382791,0.142857142857,101
960.0,-784.1,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2746205393.18,33229392.5709,-2746205393.18,-2722708664.36,-2769702122.0,-2767352449.12,-2725058337.24,2.0,1104192530630000.0,0.0714206061936,9.835748238069999e-14,0.142848837209,0.00145747864965,0.142857142857,12
