smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,95673163.1357,2038848.73377,95673163.1357,97114846.9012,94231479.3703,94375647.7468,96970678.5247,2.0,4156904159180.0,0.003913383159,0.25,1.83230531396e-13,102,0.125001398296,0.125226860254
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,75803176.3582,2695712.89571,75803176.3582,77709333.2269,73897019.4895,74087635.1764,77518717.54,2.0,7266868016120.0,0.0155946083013,0.249963898917,1.83230531396e-13,88,0.250003495741,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,52230936.5649,5772616.75802,52230936.5649,56312793.0197,48149080.1101,48557265.7556,55904607.3742,2.0,33323104235000.0,0.015596424381,0.25,1.83230531396e-13,44,0.249996504259,0.249546279492
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,48942291.1786,2745712.8064,48942291.1786,50883803.3232,47000779.034,47194930.2484,50689652.1087,2.0,7538938815240.0,0.0156513159678,0.249963898917,1.83230531396e-13,58,0.250003495741,0.250453720508
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1647554.37714,2495876.183,1647554.37714,3412405.35115,-117296.596863,59188.5005379,3235920.25374,2.0,6229397920890.0,0.00779728234506,0.249963898917,1.83230531396e-13,113,0.125001398296,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1475589.60119,2046420.17871,-1475589.60119,-28552.0156664,-2922627.18671,-2777923.42815,-173255.774218,2.0,4187835547820.0,0.0078254391352,0.249963898917,1.83230531396e-13,28,0.249996504259,0.125226860254
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-24285736.4392,1682193.22805,-24285736.4392,-23096246.2003,-25475226.678,-25356277.6541,-23215195.2242,2.0,2829774056500.0,0.00391262108568,0.249963898917,1.83230531396e-13,3,0.124995105963,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-24697326.9081,2205511.22002,-24697326.9081,-23137794.9685,-26256858.8478,-26100905.6538,-23293748.1624,2.0,4864279741640.0,0.0155968605555,0.25,1.83230531396e-13,69,0.250003495741,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-26035289.1325,6804488.42242,-26035289.1325,-21223789.2265,-30846789.0385,-30365639.0479,-21704939.2171,2.0,46301062690800.0,0.00195687562387,0.125018050542,1.83230531396e-13,25,0.124995105963,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-30149738.067,3557484.38659,-30149738.067,-27634216.7333,-32665259.4008,-32413707.2674,-27885768.8667,2.0,12655695160800.0,0.0156513159678,0.249963898917,1.83230531396e-13,83,0.250003495741,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-37278700.2146,3394482.53082,-37278700.2146,-34878438.5985,-39678961.8308,-39438935.6692,-35118464.7601,2.0,11522511652000.0,0.00779801591193,0.25,1.83230531396e-13,14,0.124995105963,0.249546279492
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-60302350.0338,1228839.91539,-60302350.0338,-59433428.9966,-61171271.071,-61084378.9672,-59520321.1004,2.0,1510047537650.0,0.015596424381,0.25,1.83230531396e-13,39,0.249996504259,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-76426720.0665,5035814.41937,-76426720.0665,-72865861.5417,-79987578.5912,-79631492.7387,-73221947.3942,2.0,25359426866300.0,0.00782565798392,0.249963898917,1.83230531396e-13,53,0.250003495741,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-95304763.1699,290791.076522,-95304763.1699,-95099142.8277,-95510383.512,-95489821.4778,-95119704.862,2.0,84559450184.6,0.0155968605555,0.25,1.83230531396e-13,94,0.250003495741,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-100159274.472,2849825.42944,-100159274.472,-98144143.5858,-102174405.358,-101972892.27,-98345656.6744,2.0,8121504978290.0,0.00391384975812,0.125018050542,1.83230531396e-13,50,0.249996504259,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-103252522.913,682840.508455,-103252522.913,-102769681.759,-103735364.067,-103687079.952,-102817965.875,2.0,466271159988.0,0.00782563609905,0.249963898917,1.83230531396e-13,108,0.125001398296,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-136200792.807,4613124.0549,-136200792.807,-132938821.505,-139462764.108,-139136566.978,-133265018.635,2.0,21280913545900.0,0.0155968605555,0.25,1.83230531396e-13,64,0.250003495741,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-152834723.485,808437.1774,-152834723.485,-152263072.075,-153406374.895,-153349209.754,-152320237.216,2.0,653570669802.0,0.00782565798392,0.249963898917,1.83230531396e-13,78,0.250003495741,0.125226860254
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-169041827.964,8107930.47501,-169041827.964,-163308655.344,-174775000.584,-174201683.322,-163881972.606,2.0,65738536587600.0,0.00391395921408,0.125018050542,1.83230531396e-13,75,0.250003495741,0.125226860254
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-180315638.333,3538331.06736,-180315638.333,-177813660.441,-182817616.225,-182567418.436,-178063858.231,2.0,12519786742200.0,0.00779840846903,0.25,1.83230531396e-13,119,0.125001398296,0.249546279492
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-198570857.633,5436937.12449,-198570857.633,-194726362.523,-202415352.742,-202030903.231,-195110812.034,2.0,29560285295700.0,0.00389957098961,0.125018050542,1.83230531396e-13,20,0.124995105963,0.249546279492
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-204705709.546,2727730.26741,-204705709.546,-202776912.977,-206634506.115,-206441626.458,-202969792.634,2.0,7440512411750.0,0.00782637233343,0.25,1.83230531396e-13,9,0.124995105963,0.250453720508
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-205589356.815,2137598.8612,-205589356.815,-204077846.164,-207100867.465,-206949716.4,-204228997.23,2.0,4569328891380.0,0.0156531386514,0.25,1.83230531396e-13,34,0.249996504259,0.250453720508
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-213403487.769,1549312.28265,-213403487.769,-212307958.548,-214499016.99,-214389464.068,-212417511.47,2.0,2400368549180.0,0.0155968605555,0.25,1.83230531396e-13,89,0.250003495741,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-230647084.036,2214162.22431,-230647084.036,-229081434.913,-232212733.16,-232056168.247,-229237999.825,2.0,4902514355540.0,0.00391281804952,0.249963898917,1.83230531396e-13,103,0.125001398296,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-235475796.011,639728.751834,-235475796.011,-235023439.473,-235928152.55,-235882916.896,-235068675.127,2.0,409252875924.0,0.0077993382861,0.125018050542,1.83230531396e-13,45,0.249996504259,0.249546279492
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-247605887.167,6847171.88992,-247605887.167,-242764205.492,-252447568.843,-251963400.675,-243248373.66,2.0,46883762890200.0,0.00391395921408,0.125018050542,1.83230531396e-13,100,0.250003495741,0.125226860254
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-272319756.592,2260886.44132,-272319756.592,-270721068.457,-273918444.726,-273758575.912,-270880937.271,2.0,5111607500530.0,0.0156535764121,0.25,1.83230531396e-13,59,0.250003495741,0.250453720508
