smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1095423691.75,561357.430784,-1095302593.91,-1094956295.84,-1096133283.35,-1096055404.14,-1094961516.34,4.0,315122165096.0,0.142857142857,0.0714473684211,0.00145797960379,0.142844410537,9.8243970108e-13,73
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1105041812.18,560365.538184,-1105068238.88,-1104330147.56,-1105700623.39,-1105606989.54,-1104439637.43,4.0,314009536384.0,0.142857142857,0.0714473684211,0.000728898832816,0.0714132926442,9.8243970108e-13,65
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1113042607.77,653009.621217,-1113140729.56,-1112161369.97,-1113727602.0,-1113652215.6,-1112295629.45,4.0,426421565402.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,81
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1132183421.12,679040.781128,-1132340172.58,-1131225108.5,-1132828230.84,-1132755245.83,-1131392144.38,4.0,461096382435.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,89
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1150810494.31,685585.192399,-1150869564.7,-1150065158.78,-1151437689.05,-1151423953.25,-1150114336.82,4.0,470027056037.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,97
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1169175419.14,455765.711093,-1169065146.07,-1168750257.67,-1169821126.76,-1169711320.64,-1168793899.95,4.0,207722383408.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,105
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1181376922.97,1014359.82632,-1181123751.82,-1180449211.42,-1182810976.8,-1182579481.39,-1180528804.15,4.0,1028925857250.0,0.142857142857,0.142894736842,0.00291595920758,0.142844410537,9.8243970108e-13,138
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,240438.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1186919491.52,551442.958195,-1187190982.1,-1186092379.62,-1187203622.25,-1187202050.8,-1186256845.42,4.0,304089336143.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,113
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1191801364.47,662613.135581,-1191775041.63,-1191160542.16,-1192494832.45,-1192455947.88,-1191183633.03,4.0,439056167445.0,0.142857142857,0.142894736842,0.00145779766563,0.0714132926442,9.8243970108e-13,130
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1199973770.32,756598.20489,-1199679682.08,-1199440858.38,-1201094858.72,-1200888868.28,-1199470395.88,4.0,572440843643.0,0.142857142857,0.142894736842,0.00291632308389,0.142862235785,9.8243970108e-13,146
480.0,-465.1,-10323.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,280511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1205005684.69,237291.291915,-1204998008.81,-1204779315.97,-1205247405.18,-1205235787.88,-1204786327.73,4.0,56307157218.7,0.142857142857,0.0714473684211,0.000729080770972,0.0714311178926,9.8243970108e-13,121
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1219980841.55,512032.391449,-1220057925.86,-1219307068.1,-1220500446.37,-1220457947.92,-1219395817.14,4.0,262177169893.0,0.142857142857,0.142894736842,0.00291632308389,0.142862235785,9.8243970108e-13,154
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1224844193.09,1435627.92309,-1224552988.09,-1223462608.17,-1226808187.99,-1226522667.62,-1223573405.55,4.0,2061027533550.0,0.142857142857,0.0714473684211,0.00145797960379,0.142844410537,9.8243970108e-13,137
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1236700976.52,271820.58323,-1236643096.59,-1236438566.91,-1237079146.01,-1237019632.8,-1236463352.15,4.0,73886429467.5,0.142857142857,0.142894736842,0.00291632308389,0.142862235785,9.8243970108e-13,162
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1243132447.47,818264.505658,-1242960092.43,-1242372684.95,-1244236920.04,-1244086769.69,-1242419422.29,4.0,669556801220.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,145
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1255705250.46,1151833.95496,-1255854151.75,-1254292198.65,-1256820499.7,-1256763991.87,-1254438047.25,4.0,1326721459810.0,0.142857142857,0.0714473684211,0.000728898832816,0.0714132926442,9.8243970108e-13,129
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,200365.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1256326128.42,862046.594996,-1256010106.92,-1255695924.99,-1257588374.87,-1257372637.72,-1255722049.24,4.0,743124331944.0,0.142857142857,0.142894736842,0.00291632308389,0.142862235785,9.8243970108e-13,170
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,120219.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1261463440.49,2125403.03403,-1261132749.32,-1259339295.79,-1264248967.52,-1263890847.09,-1259499001.51,4.0,4517338057080.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,153
480.0,-356.5,-7595.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,40073.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1268777614.91,1190592.00545,-1268934070.01,-1267427427.24,-1269814892.4,-1269803917.62,-1267532275.08,4.0,1417509323440.0,0.142857142857,0.142894736842,0.00291595920758,0.142844410537,9.8243970108e-13,203
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,240438.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1273897166.03,502467.339987,-1274034216.01,-1273184513.55,-1274335718.56,-1274305362.48,-1273297099.61,4.0,252473427753.0,0.142857142857,0.142894736842,0.00291632308389,0.142862235785,9.8243970108e-13,178
480.0,-356.5,-7595.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1277384217.64,751969.110643,-1277631982.19,-1276284746.25,-1277988159.94,-1277935136.38,-1276486428.54,4.0,565457543362.0,0.142857142857,0.142894736842,0.00145779766563,0.0714132926442,9.8243970108e-13,195
480.0,-465.1,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,160292.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1279458610.57,1599502.20949,-1279088265.65,-1278079991.86,-1281577919.11,-1281311005.58,-1278124698.45,4.0,2558407318170.0,0.142857142857,0.0714473684211,0.00145816154194,0.142862235785,9.8243970108e-13,161
480.0,-356.5,-7595.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,80146.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1286706287.71,892206.909516,-1286530868.32,-1285961220.02,-1287802194.15,-1287691602.78,-1285966559.77,4.0,796033169387.0,0.142857142857,0.142894736842,0.00291632308389,0.142862235785,9.8243970108e-13,211
480.0,-410.8,-8959.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,280511.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1293053220.85,1029235.66265,-1293021112.93,-1291897457.83,-1294273199.7,-1294148295.53,-1292003097.25,4.0,1059326049280.0,0.142857142857,0.142894736842,0.00145816154194,0.0714311178926,9.8243970108e-13,186
