smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,796258167.603,7267065.98702,796258167.603,801396759.242,791119575.965,791633435.128,800882900.078,2.0,52810248059600.0,101,0.0555547717199,0.0556451612903,0.111103979461,0.000343461757187,1.73883786583e-14
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,706234191.553,159554.461396,706234191.553,706347013.594,706121369.511,706132651.715,706335731.39,2.0,25457626151.5,11,0.111110467246,0.0556451612903,0.0555519897304,0.000343464612857,1.73883786583e-14
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,698890168.494,2941463.44238,698890168.494,700970097.241,696810239.747,697018232.622,700762104.366,2.0,8652207182870.0,202,0.0555547717199,0.111290322581,0.111103979461,0.000686923514375,1.73883786583e-14
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,622741554.407,17643661.7423,622741554.407,635217507.27,610265601.544,611513196.831,633969911.984,2.0,311298799677000.0,303,0.0555547717199,0.111290322581,0.111136071887,0.00068712193249,1.73883786583e-14
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,614761785.855,14056438.8033,614761785.855,624701189.052,604822382.658,605816322.978,623707248.733,2.0,197583471830000.0,112,0.111110467246,0.111290322581,0.111103979461,0.00137385845143,1.73883786583e-14
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,614676208.933,14826848.0735,614676208.933,625160373.749,604192044.116,605240460.598,624111957.267,2.0,219835423794000.0,201,0.0555547717199,0.0556451612903,0.111103979461,0.000343461757187,1.73883786583e-14
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,597332007.549,2295978.17043,597332007.549,598955509.282,595708505.815,595870855.988,598793159.109,2.0,5271515759110.0,111,0.111110467246,0.0556451612903,0.111103979461,0.000686929225714,1.73883786583e-14
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,587657185.428,32416837.2282,587657185.428,610579350.857,564735020.0,567027236.542,608287134.314,2.0,1050851335880000.0,405,0.0555547717199,0.110483870968,0.111136071887,0.000682142788051,1.73883786583e-14
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,537877927.693,1688705.69147,537877927.693,539072022.939,536683832.447,536803241.972,538952613.414,2.0,2851726912390.0,302,0.0555547717199,0.111290322581,0.111136071887,0.00068712193249,1.73883786583e-14
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,520785384.868,3119376.38995,520785384.868,522991117.067,518579652.67,518800225.89,522770543.847,2.0,9730509062190.0,213,0.111110467246,0.111290322581,0.111103979461,0.00137385845143,1.73883786583e-14
