smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,43567230.2452,10194112.0887,43567230.2452,50775556.0314,36358904.4591,37079737.0377,50054723.4528,2.0,103919921278000.0,4,0.111096848726,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.00034343455821
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,42368412.6283,7555549.47933,42368412.6283,47710992.9007,37025832.3559,37560090.3831,47176734.8735,2.0,57086327934600.0,35,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,13106346.946,3618764.33595,13106346.946,15665199.7475,10547494.1446,10803379.4247,15409314.4673,2.0,13095455319100.0,145,0.111096848726,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136380758179
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,5872467.96808,2196186.8816,5872467.96808,7425406.60481,4319529.33135,4474823.19502,7270112.74114,2.0,4823236818890.0,104,0.111096848726,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000686881190826
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3099065.73213,1785844.28663,-3099065.73213,-1836283.12691,-4361848.33734,-4235570.07682,-1962561.38743,2.0,3189239816080.0,56,0.111096848726,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000681891803981
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-18374241.2828,9930171.63222,-18374241.2828,-11352549.5833,-25395932.9823,-24693763.8123,-12054718.7532,2.0,98608308645300.0,25,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-67122827.3553,18176727.2225,-67122827.3553,-54269940.2765,-79975714.4341,-78690425.7262,-55555228.9844,2.0,330393412521000.0,135,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-391.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-90598317.1891,4511568.94952,-90598317.1891,-87408156.1911,-93788478.1871,-93469462.0873,-87727172.2909,2.0,20354254386300.0,46,0.111096848726,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000681891803981
720.0,-598.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-98267736.1983,5202995.35404,-98267736.1983,-94588662.901,-101946809.496,-101578902.166,-94956570.2307,2.0,27071160654200.0,15,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-100530680.886,22631880.0259,-100530680.886,-84527525.0486,-116533836.723,-114933521.139,-86127840.6323,2.0,512201993505000.0,125,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-138021834.23,6434361.11002,-138021834.23,-133472053.856,-142571614.603,-142116636.566,-133927031.893,2.0,41401002894100.0,67,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-160234663.413,37143082.5035,-160234663.413,-133970537.901,-186498788.926,-183872376.374,-136596950.452,2.0,1379608577860000.0,156,0.111096848726,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136380758179
720.0,-460.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-175772215.641,7968861.85735,-175772215.641,-170137379.384,-181407051.899,-180843568.273,-170700863.009,2.0,63502759301600.0,36,0.111096848726,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000686869116419
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-179869093.241,1079743.7416,-179869093.241,-179105599.12,-180632587.363,-180556237.951,-179181948.532,2.0,1165846547510.0,5,0.111096848726,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.00034343455821
