npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1983000924.76,251363.270603,1983000924.76,1983178665.44,1982823184.09,1982840958.16,1983160891.37,2.0,63183493808.2,0.125,5.08869435234e-08,0.5,0.5,3,0.5
894.0,-791.0,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1982332604.04,1353707.21838,1982332604.04,1983289819.59,1981375388.49,1981471110.04,1983194098.04,2.0,1832523233090.0,0.125,5.08869435234e-08,0.5,0.5,1,0.5
894.0,-395.5,-9937.5,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1688730437.88,3752308.3787,1688730437.88,1691383720.58,1686077155.18,1686342483.45,1691118392.31,2.0,14079818168800.0,0.125,5.08869435234e-08,0.5,0.5,6,0.5
894.0,-395.5,-9937.5,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1688276033.48,4102099.58077,1688276033.48,1691176655.91,1685375411.05,1685665473.29,1690886593.67,2.0,16827220970500.0,0.125,5.08869435234e-08,0.5,0.5,8,0.5
894.0,-791.0,-9937.5,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1273922646.47,1318438.17943,1273922646.47,1274854923.04,1272990369.89,1273083597.55,1274761695.39,2.0,1738279232990.0,0.125,5.08869435234e-08,0.5,0.5,7,0.5
894.0,-791.0,-9937.5,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1271209927.33,1652985.30695,1271209927.33,1272378764.45,1270041090.21,1270157973.93,1272261880.74,2.0,2732360425000.0,0.125,5.08869435234e-08,0.5,0.5,5,0.5
894.0,-395.5,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-585403709943000.0,10793447.8788,-585403709943000.0,-585403702311000.0,-585403717575000.0,-585403716812000.0,-585403703074000.0,2.0,116498517113000.0,0.125,5.08869435234e-08,0.5,0.5,2,0.5
894.0,-395.5,-19875.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,-585403711752000.0,3446810.74322,-585403711752000.0,-585403709315000.0,-585403714189000.0,-585403713945000.0,-585403709558000.0,2.0,11880504299600.0,0.125,5.08869435234e-08,0.5,0.5,4,0.5
