smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-39805829.3125,6824997.53006,-40783396.1398,-31562586.6005,-46093938.3699,-45881578.9615,-32361486.1053,4.0,46580591285400.0,0.111290322581,3.4776821570799994e-14,0.111111428379,223,0.111103979461,0.00137387033564
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-44013945.5636,2846472.86051,-44506971.7774,-40157576.3277,-46884262.3718,-46617090.1273,-40720564.3005,4.0,8102407745620.0,0.110483870968,3.4776821570799994e-14,0.111109748728,314,0.111136071887,0.00136428809678
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-54426760.5916,5772924.90059,-56379291.8747,-46038045.6383,-58910412.9789,-58676235.2099,-47443742.1771,4.0,33326661907900.0,0.110483870968,3.4776821570799994e-14,0.0555541185209,405,0.111136071887,0.000682134767588
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-69354963.5697,15654998.0475,-63922526.6048,-57317230.5489,-92257570.5201,-88283446.9329,-58031891.9572,4.0,245078963868000.0,0.111290322581,3.4776821570799994e-14,0.0555541185209,302,0.111136071887,0.000687113853483
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,992273.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-72918858.532,5217828.48654,-71153671.6647,-68818288.743,-80549802.0556,-79207419.3528,-69101559.3253,4.0,27225734115000.0,0.0556451612903,3.4776821570799994e-14,0.111111596344,131,0.111103979461,0.000686936206245
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-80115436.6387,3330501.50737,-80169088.7429,-76227521.4892,-83896047.5799,-83545446.0254,-76610314.3062,4.0,11092240290600.0,0.111290322581,3.4776821570799994e-14,0.111111428379,222,0.111103979461,0.00137387033564
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-89614926.1023,7761416.83287,-86697183.2982,-83970617.7001,-101094720.113,-98958433.6953,-84356258.4352,4.0,60239591253600.0,0.111290322581,3.4776821570799994e-14,0.111109748728,313,0.111136071887,0.00137424640405
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-133767171.42,10519623.0371,-129814990.161,-126330107.033,-149108598.323,-146551283.328,-126516113.272,4.0,110662468842000.0,0.0556451612903,3.4776821570799994e-14,0.111111428379,221,0.111103979461,0.000686935167818
720.0,-498.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-134177842.491,5913063.75192,-133348444.566,-128221072.427,-141793408.406,-140862697.531,-128654144.547,4.0,34964322934300.0,0.110483870968,3.4776821570799994e-14,0.0555541185209,404,0.111136071887,0.000682134767588
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,330758.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-137190104.149,8548647.09243,-134183259.348,-130740677.161,-149653220.739,-147550910.448,-131038880.571,4.0,73079367110900.0,0.111290322581,3.4776821570799994e-14,0.111109748728,312,0.111136071887,0.00137424640405
