smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2156823385.81,8119592.38428,-2157909907.14,-2146212994.47,-2165260734.5,-2164520182.98,-2147605458.79,4.0,65927780486900.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,163
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2192652942.98,12684843.9604,-2191318541.09,-2179762569.06,-2208212120.68,-2206571212.46,-2180602836.15,4.0,160905266300000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,171
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2195146968.39,18076741.0199,-2190924116.42,-2179345005.1,-2219394635.63,-2216221158.45,-2179984771.09,4.0,326768565902000.0,0.142857142857,0.00291532075107,9.43922884283e-14,0.142848837209,0.14285902256,154
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2206426187.19,9042639.1089,-2205525497.85,-2197011843.27,-2217641909.79,-2216398216.91,-2197715122.55,4.0,81769322053700.0,0.142857142857,0.00145817305712,9.43922884283e-14,0.0714534883721,0.142851127809,137
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2217087278.32,5194193.87433,-2215344836.46,-2212994675.5,-2224664764.85,-2223355456.09,-2213258519.15,4.0,26979650004200.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,179
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2219309784.03,2473751.23026,-2220170416.01,-2215700249.68,-2221198054.42,-2221100299.22,-2216314384.07,4.0,6119445149210.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,162
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2241807882.74,12124575.5547,-2237649888.66,-2232767154.42,-2259164599.23,-2256450995.27,-2232985961.93,4.0,147005332382000.0,0.142857142857,0.0014582536439,9.43922884283e-14,0.0714534883721,0.14285902256,145
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2262177249.06,12789849.648,-2256577063.31,-2254415311.87,-2281139557.75,-2277758906.38,-2254435851.78,4.0,163580254018000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,170
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2263438982.83,9920466.87281,-2261388202.61,-2254220032.16,-2276759493.95,-2274977840.68,-2254771217.3,4.0,98415662974400.0,0.142857142857,0.00145766932598,9.43922884283e-14,0.142848837209,0.0714299498771,187
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2280447538.49,8230631.69357,-2281978370.74,-2269638769.15,-2288194643.34,-2287756245.52,-2270995666.32,4.0,67743298075200.0,0.142857142857,0.000729041758125,9.43922884283e-14,0.0714534883721,0.0714211779319,129
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2286620253.51,11825210.2898,-2285803666.71,-2273881701.85,-2300991978.78,-2299458886.18,-2274924842.37,4.0,139835598397000.0,0.142857142857,0.0014582536439,9.43922884283e-14,0.0714534883721,0.14285902256,153
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2308471907.62,11223486.9976,-2303445706.45,-2301836845.42,-2325159372.15,-2322136607.26,-2301843889.61,4.0,125966660384000.0,0.142857142857,0.00291533865196,9.43922884283e-14,0.142848837209,0.142859899754,178
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2322375035.2,11215967.1354,-2323682300.76,-2307678135.76,-2334457403.51,-2333208460.39,-2309711438.22,4.0,125797918783000.0,0.142857142857,0.00145826259799,9.43922884283e-14,0.0714534883721,0.142859899754,161
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2343616833.46,11069287.505,-2342384527.05,-2333386066.98,-2356312212.76,-2355276851.17,-2333682044.72,4.0,122529125867000.0,0.142857142857,0.00145766932598,9.43922884283e-14,0.142848837209,0.0714299498771,186
960.0,-945.1,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2350906426.72,5405883.68663,-2349723492.64,-2346035690.21,-2358143031.38,-2357194377.38,-2346274583.76,4.0,29223578433400.0,0.142857142857,0.00145826259799,9.43922884283e-14,0.0714534883721,0.142859899754,169
960.0,-699.4,-14488.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2379838186.89,9357816.96379,-2376842374.32,-2372898932.86,-2392769066.06,-2390955127.42,-2372915383.96,4.0,87568738327800.0,0.142857142857,0.00291515964308,9.43922884283e-14,0.142848837209,0.142851127809,203
