smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,799732720.316,4422021.02475,799732720.316,802859561.369,796605879.263,796918563.368,802546877.264,2.0,19554269943300.0,0.0999993449373,0.00400001230667,1.73877090418e-14,0.2,38,0.200001925471
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,654204323.588,4778143.59587,654204323.588,657582981.326,650825665.85,651163531.624,657245115.553,2.0,22830656222700.0,0.0999993449373,0.00200000615334,1.73877090418e-14,0.1,37,0.200001925471
720.0,-457.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,638382995.323,1586173.95019,638382995.323,639504589.68,637261400.967,637373560.403,639392430.244,2.0,2515947800250.0,0.0999993449373,0.00399994812471,1.73877090418e-14,0.2,75,0.199998716352
720.0,-581.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,491077400.644,5745171.15839,491077400.644,495139850.129,487014951.158,487421196.107,494733605.18,2.0,33006991639100.0,0.0999993449373,0.00399994812471,1.73877090418e-14,0.2,74,0.199998716352
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1190728.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,490379843.544,924153.528592,490379843.544,491033318.771,489726368.317,489791715.84,490967971.249,2.0,854059744410.0,0.199999529699,0.00200004664277,1.73877090418e-14,0.1,7,0.100002567295
720.0,-333.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,469240047.396,26401020.8053,469240047.396,487908388.238,450571706.554,452438540.639,486041554.154,2.0,697013899560000.0,0.0999993449373,0.00399994812471,1.73877090418e-14,0.2,112,0.199998716352
720.0,-705.1,-11486.9,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,336614100.01,7669852.82669,336614100.01,342037504.955,331190695.066,331733035.56,341495164.46,2.0,58826642383100.0,0.0999993449373,0.00199997406235,1.73877090418e-14,0.1,73,0.199998716352
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1190728.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,322665990.741,5655563.84458,322665990.741,326665078.287,318666903.195,319066811.95,326265169.532,2.0,31985402400100.0,0.199999529699,0.00800005820662,1.73877090418e-14,0.2,44,0.200001925471
720.0,-457.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,288193779.497,22526175.9086,288193779.497,304122191.236,272265367.758,273858208.932,302529350.062,2.0,507428601063000.0,0.0999993449373,0.00399994812471,1.73877090418e-14,0.2,111,0.199998716352
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1190728.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,284047504.291,9840868.58053,284047504.291,291006049.197,277088959.385,277784813.876,290310194.707,2.0,96842694419200.0,0.199999529699,0.00400002910331,1.73877090418e-14,0.1,43,0.200001925471
720.0,-581.1,-8370.8,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,178838051.96,50308522.0983,178838051.96,214411549.087,143264554.833,146821904.545,210854199.374,2.0,2530947395710000.0,0.0999993449373,0.00399994812471,1.73877090418e-14,0.2,110,0.199998716352
