smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,362821059.47,3222675.29933,362821059.47,365099835.027,360542283.912,360770161.468,364871957.472,2.0,10385636084900.0,0.125226860254,5.2351036610599995e-14,26,0.125018050542,0.0039138888497,0.249999001227
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,245311875.98,2769687.55121,245311875.98,247270340.829,243353411.131,243549257.616,247074494.344,2.0,7671169131340.0,0.125226860254,5.2351036610599995e-14,2,0.25,0.00391329560733,0.124998601718
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,141557792.968,383108.768169,141557792.968,141828691.776,141286894.16,141313984.041,141801601.895,2.0,146772328248.0,0.250453720508,5.2351036610599995e-14,32,0.25,0.0156532949952,0.249999001227
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,110486520.653,431834.0348,110486520.653,110791873.427,110181167.879,110211703.156,110761338.15,2.0,186480633612.0,0.125226860254,5.2351036610599995e-14,51,0.125018050542,0.0039139201225,0.250000998773
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,65929923.4867,15153527.2488,65929923.4867,76645085.3632,55214761.6102,56286277.7979,75573569.1756,2.0,229629388080000.0,0.125226860254,5.2351036610599995e-14,27,0.25,0.00782664749759,0.249999001227
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,36229495.7166,1178571.79167,36229495.7166,37062871.8226,35396119.6106,35479457.2212,36979534.212,2.0,1389031468120.0,0.250453720508,5.2351036610599995e-14,8,0.249963898917,0.00782546102098,0.124998601718
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,7095015.59248,2772616.82665,7095015.59248,9055551.75223,5134479.43272,5330533.04869,8859498.13626,2.0,7687404067430.0,0.249546279492,5.2351036610599995e-14,19,0.25,0.00779823400012,0.124998601718
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-65720284.8545,8956311.2236,-65720284.8545,-59387216.4538,-72053353.2551,-71420046.415,-60020523.2939,2.0,80215510734000.0,0.249546279492,5.2351036610599995e-14,38,0.249963898917,0.0155943279445,0.249999001227
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-123299607.32,9100746.0385,-123299607.32,-116864408.082,-129734806.557,-129091286.634,-117507928.006,2.0,82823578457300.0,0.250453720508,5.2351036610599995e-14,57,0.25,0.0156534200683,0.250000998773
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-134719817.678,19443325.4579,-134719817.678,-120971310.398,-148468324.958,-147093474.23,-122346161.126,2.0,378042904861000.0,0.125226860254,5.2351036610599995e-14,3,0.249963898917,0.00391273051049,0.124998601718
