smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1133299685.48,21658.2144926,-1133299685.48,-1133284370.81,-1133315000.15,-1133313468.69,-1133285902.28,2.0,469078255.009,0.0714285714286,1.07010398565e-12,1,0.0003644396277,0.0714113745622,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1150319031.78,148915.616872,-1150319031.78,-1150213732.54,-1150424331.02,-1150413801.1,-1150224262.46,2.0,22175860948.5,0.0714285714286,1.07010398565e-12,65,0.000728988250394,0.142844106523,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1167293610.33,30477.3021149,-1167293610.33,-1167272059.63,-1167315161.04,-1167313005.97,-1167274214.7,2.0,928865944.206,0.0714285714286,1.07010398565e-12,129,0.000729087336753,0.14286352234,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1184167489.84,40020.7355922,-1184167489.84,-1184139190.9,-1184195788.77,-1184192958.88,-1184142020.79,2.0,1601659277.34,0.0714285714286,1.07010398565e-12,193,0.000729077428117,0.142861580758,0.0714473684211
480.0,-427.0,-10730.5,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1201030584.18,50408.2893119,-1201030584.18,-1200994940.14,-1201066228.23,-1201062663.82,-1200998504.54,2.0,2540995631.36,0.0714285714286,1.07010398565e-12,257,0.000729087336753,0.14286352234,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1306895110.38,234659.07492,-1306895110.38,-1306729181.35,-1307061039.4,-1307044446.5,-1306745774.26,2.0,55064881442.5,0.142857142857,1.07010398565e-12,66,0.00145797650079,0.142844106523,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1315497529.38,10511.3553354,-1315497529.38,-1315490096.73,-1315504962.03,-1315504218.76,-1315490839.99,2.0,110488590.988,0.142857142857,1.07010398565e-12,2,0.0007288792554,0.0714113745622,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1324164337.23,443516.458086,-1324164337.23,-1323850723.74,-1324477950.73,-1324446589.38,-1323882085.09,2.0,196706848593.0,0.142857142857,1.07010398565e-12,130,0.00145817467351,0.14286352234,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1340837418.08,116148.921798,-1340837418.08,-1340755288.39,-1340919547.77,-1340911334.8,-1340763501.36,2.0,13490572034.8,0.142857142857,1.07010398565e-12,194,0.00145815485623,0.142861580758,0.0714473684211
480.0,-427.0,-9366.3,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1358082349.46,593307.357013,-1358082349.46,-1357662817.81,-1358501881.12,-1358459927.95,-1357704770.97,2.0,352013619885.0,0.142857142857,1.07010398565e-12,258,0.00145817467351,0.14286352234,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1423642561.93,683376.550153,-1423642561.93,-1423159341.73,-1424125782.12,-1424077460.1,-1423207663.75,2.0,467003509299.0,0.142857142857,1.07010398565e-12,75,0.00291595300158,0.142844106523,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1430574478.56,143818.551568,-1430574478.56,-1430472783.48,-1430676173.63,-1430666004.12,-1430482952.99,2.0,20683775775.0,0.142857142857,1.07010398565e-12,11,0.0014577585108,0.0714113745622,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1440235317.47,352942.173882,-1440235317.47,-1439985749.66,-1440484885.27,-1440459928.49,-1440010706.44,2.0,124568178105.0,0.142857142857,1.07010398565e-12,139,0.00291634934701,0.14286352234,0.142894736842
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1457320921.99,1250188.03439,-1457320921.99,-1456436905.56,-1458204938.43,-1458116536.79,-1456525307.2,2.0,1562970121320.0,0.142857142857,1.07010398565e-12,203,0.00291630971247,0.142861580758,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1469950526.17,611171.691752,-1469950526.17,-1469518362.53,-1470382689.82,-1470339473.46,-1469561578.89,2.0,373530836799.0,0.142857142857,1.07010398565e-12,67,0.00145797650079,0.142844106523,0.0714473684211
480.0,-372.7,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1475652060.59,434123.882653,-1475652060.59,-1475345088.65,-1475959032.53,-1475928335.33,-1475375785.84,2.0,188463545490.0,0.142857142857,1.07010398565e-12,267,0.00291634934701,0.14286352234,0.142894736842
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1486571503.58,1022988.79057,-1486571503.58,-1485848141.27,-1487294865.89,-1487222529.66,-1485920477.5,2.0,1046506065630.0,0.142857142857,1.07010398565e-12,131,0.00145817467351,0.14286352234,0.0714473684211
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1494635959.6,993916.061782,-1494635959.6,-1493933154.81,-1495338764.38,-1495268483.9,-1494003435.29,2.0,987869137867.0,0.142857142857,1.07010398565e-12,3,0.0007288792554,0.0714113745622,0.0714473684211
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,110371.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1503310840.81,750871.639603,-1503310840.81,-1502779894.38,-1503841787.24,-1503788692.6,-1502832989.03,2.0,563808219160.0,0.142857142857,1.07010398565e-12,195,0.00145815485623,0.142861580758,0.0714473684211
480.0,-427.0,-8002.1,-1e+200,-1e+200,-1e+200,-1e+200,147161.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1520828686.78,619650.357729,-1520828686.78,-1520390527.81,-1521266845.75,-1521223029.86,-1520434343.71,2.0,383966565833.0,0.142857142857,1.07010398565e-12,259,0.00145817467351,0.14286352234,0.0714473684211
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,36790.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1537185943.12,43341.6564788,-1537185943.12,-1537155295.94,-1537216590.3,-1537213525.58,-1537158360.66,2.0,1878499186.32,0.142857142857,1.07010398565e-12,84,0.00291595300158,0.142844106523,0.142894736842
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1544907438.11,553038.918738,-1544907438.11,-1544516380.54,-1545298495.68,-1545259389.92,-1544555486.3,2.0,305852045639.0,0.142857142857,1.07010398565e-12,20,0.0014577585108,0.0714113745622,0.142894736842
480.0,-318.4,-6637.9,-1e+200,-1e+200,-1e+200,-1e+200,73581.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1554479778.87,1054782.77812,-1554479778.87,-1553733934.81,-1555225622.92,-1555151038.52,-1553808519.22,2.0,1112566709020.0,0.142857142857,1.07010398565e-12,148,0.00291634934701,0.14286352234,0.142894736842
