smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
1200.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,676023630.808,5962139.01604,675178213.735,683232497.881,670505597.882,670700083.14,682530762.379,4.0,35547101646600.0,0.5,0.125,1,0.5,1.20542198438e-11,0.5
1200.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,659707335.84,2941127.47595,658871054.186,663887693.918,657199541.07,657356141.979,663229324.017,4.0,8650230829810.0,0.5,0.125,3,0.5,1.20542198438e-11,0.5
1200.0,-352.55,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,196070324.78,10221809.6552,195073419.819,208107189.972,186027269.509,186524340.975,207011975.53,4.0,104485392627000.0,0.5,0.125,6,0.5,1.20542198438e-11,0.5
1200.0,-352.55,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,191078403.624,3402558.48711,190323412.742,195781285.626,187885503.386,188131167.326,195082627.156,4.0,11577404258200.0,0.5,0.125,8,0.5,1.20542198438e-11,0.5
1200.0,-705.1,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-138940758.464,6804762.50808,-140090416.163,-129858242.403,-145723959.128,-145174527.479,-131097468.671,4.0,46304792791400.0,0.5,0.125,7,0.5,1.20542198438e-11,0.5
1200.0,-705.1,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,-142219375.883,7711415.889,-141185872.498,-134469600.046,-152036158.489,-150880976.288,-135004680.217,4.0,59465935013200.0,0.5,0.125,5,0.5,1.20542198438e-11,0.5
1200.0,-352.55,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,braidwood,illinois,illinois,-407764979242000.0,8186072.25117,-407764977566000.0,-407764971182000.0,-407764990655000.0,-407764988740000.0,-407764972092000.0,4.0,67011778901400.0,0.5,0.125,2,0.5,1.20542198438e-11,0.5
1200.0,-352.55,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-407764990298000.0,4451352.82912,-407764989092000.0,-407764986493000.0,-407764996516000.0,-407764995598000.0,-407764986687000.0,4.0,19814542009300.0,0.5,0.125,4,0.5,1.20542198438e-11,0.5
