smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-333.5,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1344994222.79,23696268.4084,-1344994222.79,-1328238430.71,-1361750014.87,-1360074435.66,-1329914009.92,2.0,561513136481000.0,7.15560056468e-08,4,0.5,0.125,0.5,0.5
720.0,-333.5,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1346578544.09,3231051.91236,-1346578544.09,-1344293845.38,-1348863242.81,-1348634772.94,-1344522315.25,2.0,10439696460300.0,7.15560056468e-08,8,0.5,0.125,0.5,0.5
720.0,-667.0,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1747009765.7,23707757.8672,-1747009765.7,-1730245849.34,-1763773682.05,-1762097290.42,-1731922240.98,2.0,562057783088000.0,7.15560056468e-08,2,0.5,0.125,0.5,0.5
720.0,-667.0,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1761400256.64,896897.266928,-1761400256.64,-1760766054.5,-1762034458.78,-1761971038.56,-1760829474.71,2.0,804424707423.0,7.15560056468e-08,6,0.5,0.125,0.5,0.5
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1960972690.34,847982.167628,-1960972690.34,-1960373076.4,-1961572304.28,-1961512342.89,-1960433037.79,2.0,719073756615.0,7.15560056468e-08,1,0.5,0.125,0.5,0.5
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1961804645.35,2209817.56305,-1961804645.35,-1960242068.37,-1963367222.34,-1963210964.64,-1960398326.07,2.0,4883293661980.0,7.15560056468e-08,5,0.5,0.125,0.5,0.5
720.0,-333.5,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-532935087344000.0,14039977.0344,-532935087344000.0,-532935077417000.0,-532935097272000.0,-532935096279000.0,-532935078409000.0,2.0,197120955127000.0,7.15560056468e-08,7,0.5,0.125,0.5,0.5
720.0,-333.5,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-532935087357000.0,10133905.6075,-532935087357000.0,-532935080191000.0,-532935094523000.0,-532935093806000.0,-532935080908000.0,2.0,102696042863000.0,7.15560056468e-08,3,0.5,0.125,0.5,0.5
