smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-252584675.071,13849560.9293,-252584675.071,-242791556.621,-262377793.52,-261398481.675,-243770868.466,2.0,191810337935000.0,0.250453720508,0.0156534200683,0.250000998773,82,0.25,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-259900439.5,8585734.59796,-259900439.5,-253829408.345,-265971470.656,-265364367.54,-254436511.46,2.0,73714838586600.0,0.249546279492,0.00779823400012,0.124998601718,14,0.25,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-264831572.438,2236879.57614,-264831572.438,-263249859.721,-266413285.155,-266255113.884,-263408030.993,2.0,5003630238130.0,0.125226860254,0.00782551729578,0.249999001227,28,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-315067582.034,5462875.5029,-315067582.034,-311204745.721,-318930418.347,-318544134.715,-311591029.352,2.0,29843008760200.0,0.249546279492,0.0155944525465,0.250000998773,63,0.249963898917,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-350326190.235,15652844.0428,-350326190.235,-339257958.067,-361394422.402,-360287599.185,-340364781.284,2.0,245011526629000.0,0.125226860254,0.00782671003417,0.250000998773,77,0.25,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-355880728.429,14239736.4728,-355880728.429,-345811714.207,-365949742.651,-364942841.229,-346818615.629,2.0,202770094815000.0,0.249546279492,0.0155965801582,0.249999001227,44,0.25,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-382317298.839,23439846.1864,-382317298.839,-365742824.65,-398891773.027,-397234325.608,-367400272.069,2.0,549426389244000.0,0.125226860254,0.00195693035208,0.124998601718,25,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-413512059.49,162336.644245,-413512059.49,-413397270.148,-413626848.831,-413615369.897,-413408749.082,2.0,26353186064.6,0.250453720508,0.00782659121466,0.124998601718,9,0.25,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-415126381.72,4297971.70119,-415126381.72,-412087256.785,-418165506.655,-417861594.162,-412391169.278,2.0,18472560744300.0,0.250453720508,0.0156511596467,0.250000998773,58,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-456994092.293,1214487.58006,-456994092.293,-456135319.889,-457852864.696,-457766987.456,-456221197.13,2.0,1474980082120.0,0.249546279492,0.0155965801582,0.249999001227,39,0.25,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-514017866.871,16729426.1526,-514017866.871,-502188376.193,-525847357.548,-524664408.481,-503371325.261,2.0,279873699394000.0,0.250453720508,0.00782670378051,0.125000399509,107,0.25,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-550827501.093,9026891.05841,-550827501.093,-544444525.213,-557210476.974,-556572179.386,-545082822.801,2.0,81484762180400.0,0.249546279492,0.00389968004944,0.124998601718,20,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-551828967.194,9265721.79155,-551828967.194,-545277112.482,-558380821.905,-557725636.434,-545932297.953,2.0,85853600318500.0,0.125226860254,0.00782557982334,0.250000998773,53,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-571791565.984,10371429.6857,-571791565.984,-564457857.722,-579125274.245,-578391903.419,-565191228.549,2.0,107566553725000.0,0.249546279492,0.0155944525465,0.250000998773,88,0.249963898917,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-578723448.033,12103505.1353,-578723448.033,-570164977.476,-587281918.591,-586426071.535,-571020824.532,2.0,146494836561000.0,0.125226860254,0.00391329560733,0.124998601718,4,0.25,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-613654589.709,28171440.7146,-613654589.709,-593734372.944,-633574806.474,-631582784.797,-595726394.62,2.0,793630071934000.0,0.250453720508,0.0156532949952,0.249999001227,34,0.25,5.2351036610599995e-14
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-625928542.658,17926216.0775,-625928542.658,-613252793.709,-638604291.608,-637336716.713,-614520368.604,2.0,321349222857000.0,0.125226860254,0.00391335189026,0.125000399509,102,0.25,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-630527950.554,10963805.4426,-630527950.554,-622775369.378,-638280531.73,-637505273.612,-623550627.495,2.0,120205029783000.0,0.249546279492,0.0155967047782,0.250000998773,69,0.25,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-646300543.264,28091652.7019,-646300543.264,-626436745.144,-666164341.384,-664177961.572,-628423124.956,2.0,789140951525000.0,0.125226860254,0.0039138888497,0.249999001227,50,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-686905227.17,17054005.9031,-686905227.17,-674846223.949,-698964230.39,-697758330.068,-676052124.271,2.0,290839117343000.0,0.250453720508,0.0156511596467,0.250000998773,83,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-745358623.415,22753673.7111,-745358623.415,-729269346.437,-761447900.393,-759838972.695,-730878274.135,2.0,517729667351000.0,0.249546279492,0.0155967047782,0.250000998773,64,0.25,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-757088882.941,9073253.03036,-757088882.941,-750673124.196,-763504641.686,-762863065.811,-751314700.07,2.0,82323920552900.0,0.249546279492,0.00389968004944,0.124998601718,15,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-771756796.394,27354067.5821,-771756796.394,-752414549.714,-791099043.074,-789164818.406,-754348774.382,2.0,748245013285000.0,0.125226860254,0.00782664749759,0.249999001227,29,0.25,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-780267472.583,8224192.73837,-780267472.583,-774452090.127,-786082855.038,-785501316.792,-775033628.373,2.0,67637346197900.0,0.249546279492,0.00779941618599,0.249999001227,45,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-808142276.624,796319.529263,-808142276.624,-807579193.685,-808705359.563,-808649051.269,-807635501.979,2.0,634124792686.0,0.125226860254,0.00782557982334,0.250000998773,78,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-843682100.624,9001479.27349,-843682100.624,-837317093.589,-850047107.659,-849410606.955,-837953594.292,2.0,81026629111100.0,0.249546279492,0.00779722004315,0.125000399509,113,0.249963898917,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-876860002.109,236146.65275,-876860002.109,-876693021.209,-877026983.008,-877010284.918,-876709719.299,2.0,55765241605.0,0.250453720508,0.00391386070417,0.124998601718,10,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-881975860.397,18071261.6977,-881975860.397,-869197548.706,-894754172.088,-893476340.919,-870475379.875,2.0,326570499346000.0,0.250453720508,0.0156534200683,0.250000998773,59,0.25,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-897476592.361,11461525.4099,-897476592.361,-889372070.021,-905581114.701,-904770662.467,-890182522.255,2.0,131366564722000.0,0.249546279492,0.0155967047782,0.250000998773,94,0.25,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-922641786.908,3577902.43117,-922641786.908,-920111827.836,-925171745.979,-924918750.072,-920364823.743,2.0,12801385807000.0,0.125226860254,0.0039139201225,0.250000998773,75,0.125018050542,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-931537958.197,12954053.2986,-931537958.197,-922378059.266,-940697857.128,-939781867.235,-923294049.159,2.0,167807496864000.0,0.249546279492,0.00779941618599,0.249999001227,40,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-947454204.913,13662542.6598,-947454204.913,-937793328.35,-957115081.476,-956148993.819,-938759416.006,2.0,186665071930000.0,0.250453720508,0.00782557357058,0.125000399509,108,0.249963898917,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1006300025.01,11489136.2429,-1006300025.01,-998175978.86,-1014424071.16,-1013611666.54,-998988383.475,2.0,132000251607000.0,0.249546279492,0.0155967047782,0.250000998773,89,0.25,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1021036961.45,4428895.13212,-1021036961.45,-1017905259.67,-1024168663.24,-1023855493.06,-1018218429.85,2.0,19615112091400.0,0.125226860254,0.00782671003417,0.250000998773,54,0.25,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1040431794.22,4596317.8302,-1040431794.22,-1037181706.71,-1043681881.73,-1043356872.98,-1037506715.46,2.0,21126137596200.0,0.249546279492,0.00779947850499,0.250000998773,70,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1055125402.99,33434994.4627,-1055125402.99,-1031483291.67,-1078767514.3,-1076403303.17,-1033847502.81,2.0,1117898854720000.0,0.125226860254,0.00195693035208,0.124998601718,5,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1077066064.38,5218888.73801,-1077066064.38,-1073375752.76,-1080756375.99,-1080387344.83,-1073744783.92,2.0,27236799659800.0,0.125226860254,0.00391278678529,0.125000399509,103,0.249963898917,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1079736567.55,12334701.1177,-1079736567.55,-1071014616.75,-1088458518.36,-1087586323.28,-1071886811.83,2.0,152144851663000.0,0.250453720508,0.00782777769939,0.249999001227,35,0.125018050542,5.2351036610599995e-14
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1146688604.35,11251018.3086,-1146688604.35,-1138732933.01,-1154644275.69,-1153848708.56,-1139528500.14,2.0,126585412981000.0,0.249546279492,0.00779834615812,0.125000399509,119,0.25,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1157637128.92,26565472.4498,-1157637128.92,-1138852503.2,-1176421754.63,-1174543292.06,-1140730965.77,2.0,705724326482000.0,0.250453720508,0.0156534200683,0.250000998773,84,0.25,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1210709478.06,30375399.4122,-1210709478.06,-1189230827.15,-1232188128.96,-1230040263.87,-1191378692.24,2.0,922664889452000.0,0.249546279492,0.00779947850499,0.250000998773,65,0.125018050542,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1227269937.09,27267121.9856,-1227269937.09,-1207989170.23,-1246550703.95,-1244622627.27,-1209917246.92,2.0,743495941375000.0,0.125226860254,0.0039139201225,0.250000998773,100,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1258387535.44,27569452.5506,-1258387535.44,-1238892988.58,-1277882082.29,-1275932627.6,-1240842443.27,2.0,760074713941000.0,0.125226860254,0.0039138888497,0.249999001227,30,0.125018050542,5.2351036610599995e-14
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1289508016.4,10321292.2689,-1289508016.4,-1282209760.65,-1296806272.16,-1296076446.58,-1282939586.22,2.0,106529074101000.0,0.249546279492,0.00779834615812,0.125000399509,114,0.25,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1298727996.11,24340902.9526,-1298727996.11,-1281516378.57,-1315939613.65,-1314218451.89,-1283237540.32,2.0,592479556548000.0,0.125226860254,0.00782671003417,0.250000998773,79,0.25,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1338315731.74,10204896.4611,-1338315731.74,-1331099780.25,-1345531683.23,-1344810088.08,-1331821375.4,2.0,104139911781000.0,0.249546279492,0.00779947850499,0.250000998773,95,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1382773632.73,19538271.8604,-1382773632.73,-1368957988.21,-1396589277.26,-1395207712.8,-1370339552.66,2.0,381744067291000.0,0.250453720508,0.00782784024501,0.250000998773,60,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1423694997.83,1416583.0415,-1423694997.83,-1422693322.35,-1424696673.3,-1424596505.75,-1422793489.9,2.0,2006707513470.0,0.250453720508,0.00782670378051,0.125000399509,109,0.25,5.2351036610599995e-14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1445293847.64,568597.026388,-1445293847.64,-1444891788.82,-1445695906.45,-1445655700.57,-1444931994.71,2.0,323302578417.0,0.125226860254,0.00195695849761,0.125000399509,125,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1513226449.97,3468643.79611,-1513226449.97,-1510773748.42,-1515679151.52,-1515433881.37,-1511019018.58,2.0,12031489784300.0,0.125226860254,0.0039139201225,0.250000998773,55,0.125018050542,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1521968134.17,57866554.6932,-1521968134.17,-1481050300.95,-1562885967.4,-1558794184.08,-1485142084.27,2.0,3348538152060000.0,0.249546279492,0.00779947850499,0.250000998773,90,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1593842590.34,41476058.9941,-1593842590.34,-1564514587.76,-1623170592.91,-1620237792.65,-1567447388.02,2.0,1720263469680000.0,0.125226860254,0.00391335189026,0.125000399509,104,0.25,5.2351036610599995e-14
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1605056379.28,20306735.8226,-1605056379.28,-1590697348.68,-1619415409.88,-1617979506.82,-1592133251.74,2.0,412363519769000.0,0.249546279492,0.00389973613654,0.125000399509,120,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1673577880.36,51755665.34,-1673577880.36,-1636981098.44,-1710174662.29,-1706514984.1,-1640640776.63,2.0,2678648894780000.0,0.250453720508,0.00782784024501,0.250000998773,85,0.125018050542,5.2351036610599995e-14
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1764619082.1,30298077.6476,-1764619082.1,-1743195105.94,-1786043058.26,-1783900660.65,-1745337503.56,2.0,917973509142000.0,0.249546279492,0.00389973613654,0.125000399509,115,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1780644438.93,2784355.18293,-1780644438.93,-1778675602.5,-1782613275.37,-1782416391.72,-1778872486.15,2.0,7752633784700.0,0.125226860254,0.0039139201225,0.250000998773,80,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1937235272.03,55116844.2717,-1937235272.03,-1898261777.69,-1976208766.37,-1972311416.94,-1902159127.12,2.0,3037866522470000.0,0.250453720508,0.00391391699522,0.125000399509,110,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2079805380.97,19133736.9172,-2079805380.97,-2066275785.85,-2093334976.09,-2091982016.58,-2067628745.36,2.0,366099888416000.0,0.125226860254,0.00195695849761,0.125000399509,105,0.125018050542,5.2351036610599995e-14
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-17305568285.5,1708624.50805,-17305568285.5,-17304360105.5,-17306776465.5,-17306655647.5,-17304480923.5,2.0,2919397709520.0,0.125226860254,0.00195693035208,0.124998601718,1,0.125018050542,5.2351036610599995e-14
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-331777518552.0,5145082.60105,-331777518552.0,-331773880430.0,-331781156675.0,-331780792863.0,-331774244242.0,2.0,26471874971600.0,0.250453720508,0.00782659121466,0.124998601718,7,0.25,5.2351036610599995e-14
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-709822132106.0,525352.122254,-709822132106.0,-709821760626.0,-709822503586.0,-709822466438.0,-709821797774.0,2.0,275994852357.0,0.249546279492,0.00779710790134,0.124998601718,13,0.249963898917,5.2351036610599995e-14
720.0,-254.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-156720150210000.0,19975369.2187,-156720150210000.0,-156720136085000.0,-156720164335000.0,-156720162922000.0,-156720137498000.0,2.0,399015375424000.0,0.249546279492,0.00779722004315,0.125000399509,118,0.249963898917,5.2351036610599995e-14
