npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,632282260.929,272653.334442,632282260.929,632475055.95,632089465.907,632108745.409,632455776.448,2.0,74339840782.3,0.250009196248,1.0406674226900002e-12,67,0.0155839065661,0.25,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,629399936.856,1073042.11375,629399936.856,630158692.211,628641181.501,628717057.036,630082816.675,2.0,1151419377880.0,0.249990803752,1.0406674226900002e-12,84,0.0156660903685,0.25,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,608558960.818,590716.780479,608558960.818,608976660.659,608141260.977,608183030.961,608934890.675,2.0,348946314739.0,0.249990803752,1.0406674226900002e-12,56,0.00783304518423,0.25,0.125333333333
522.0,-413.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,604232503.454,671629.365682,604232503.454,604707417.133,603757589.775,603805081.143,604659925.765,2.0,451086004846.0,0.125004598124,1.0406674226900002e-12,72,0.00779195328306,0.25,0.249333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,600287264.648,510313.811397,600287264.648,600648111.005,599926418.292,599962502.927,600612026.369,2.0,260420186102.0,0.250009196248,1.0406674226900002e-12,89,0.0156672429649,0.25,0.250666666667
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,584254784.998,623674.122812,584254784.998,584695789.2,583813780.797,583857881.217,584651688.78,2.0,388969411465.0,0.124986205628,1.0406674226900002e-12,51,0.00391623444301,0.25,0.125333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,578786041.021,1025906.06756,578786041.021,579511466.159,578060615.884,578133158.398,579438923.645,2.0,1052483259460.0,0.250009196248,1.0406674226900002e-12,61,0.00783362148244,0.25,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,571060828.141,1464389.02553,571060828.141,572096307.552,570025348.731,570128896.672,571992759.611,2.0,2144435218090.0,0.250009196248,1.0406674226900002e-12,94,0.0156672429649,0.25,0.250666666667
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,551843716.007,787096.251835,551843716.007,552400277.104,551287154.91,551342811.02,552344620.995,2.0,619520509653.0,0.124986205628,1.0406674226900002e-12,78,0.00779080681749,0.25,0.249333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,551235663.322,732106.86359,551235663.322,551753341.05,550717985.594,550769753.367,551701573.277,2.0,535980459716.0,0.249990803752,1.0406674226900002e-12,83,0.0155827601005,0.25,0.249333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,548271739.715,1653329.61135,548271739.715,549440820.295,547102659.136,547219567.194,549323912.237,2.0,2733498803750.0,0.250009196248,1.0406674226900002e-12,66,0.00783362148244,0.25,0.125333333333
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,539686485.654,241734.755801,539686485.654,539857417.939,539515553.369,539532646.598,539840324.711,2.0,58435692162.2,0.125004598124,1.0406674226900002e-12,99,0.00783362148244,0.25,0.250666666667
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,529695189.474,804443.466757,529695189.474,530264016.904,529126362.043,529183244.786,530207134.161,2.0,647129291209.0,0.124986205628,1.0406674226900002e-12,105,0.00195853269302,0.125026522385,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,521751702.043,384761.282657,521751702.043,522023769.355,521479634.73,521506841.462,521996562.623,2.0,148041244631.0,0.250009196248,1.0406674226900002e-12,88,0.0155839065661,0.25,0.249333333333
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,519981389.313,714686.663435,519981389.313,520486749.099,519476029.527,519526565.506,520436213.121,2.0,510777026892.0,0.125004598124,1.0406674226900002e-12,71,0.00391681074122,0.25,0.125333333333
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,500533136.294,1676430.49673,500533136.294,501718551.666,499347720.922,499466262.459,501600010.129,2.0,2810419210350.0,0.249990803752,1.0406674226900002e-12,110,0.00391735359627,0.125026522385,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,492142560.268,703222.90826,492142560.268,492639813.955,491645306.581,491695031.95,492590088.587,2.0,494522458702.0,0.250009196248,1.0406674226900002e-12,93,0.0155839065661,0.25,0.249333333333
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,472163179.888,2416198.95608,472163179.888,473871690.554,470454669.221,470625520.288,473700839.487,2.0,5838017395360.0,0.250009196248,1.0406674226900002e-12,115,0.00391764180651,0.125026522385,0.125333333333
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,463847237.281,1793064.57089,463847237.281,465115125.398,462579349.164,462706137.976,464988336.587,2.0,3215080555370.0,0.125004598124,1.0406674226900002e-12,98,0.00779195328306,0.25,0.249333333333
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,463292648.14,1834074.79117,463292648.14,464589534.863,461995761.418,462125450.091,464459846.19,2.0,3363830339620.0,0.249990803752,1.0406674226900002e-12,82,0.0155827601005,0.25,0.249333333333
