smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-411402776.822,9859013.81875,-411402776.822,-404431401.294,-418374152.349,-417677014.796,-405128538.847,2.0,97200153478400.0,0.249963898917,2.6175466018599997e-14,0.249999500615,0.250453720508,0.0156510658554,33
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-413433618.542,29034333.3368,-413433618.542,-392903244.553,-433963992.532,-431910955.133,-394956281.952,2.0,842992512314000.0,0.25,2.6175466018599997e-14,0.249999500615,0.249546279492,0.0155966113133,44
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-430306071.618,21392588.178,-430306071.618,-415179227.45,-445432915.786,-443920231.369,-416691911.867,2.0,457642828952000.0,0.125018050542,2.6175466018599997e-14,0.124999250922,0.250453720508,0.00391388103154,10
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-449799953.015,89692504.0259,-449799953.015,-386377775.197,-513222130.834,-506879913.052,-392719992.979,2.0,8044745278440000.0,0.125018050542,2.6175466018599997e-14,0.249999500615,0.125226860254,0.00391389666791,50
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-519868160.423,36474007.545,-519868160.423,-494077142.35,-545659178.495,-543080076.688,-496656244.158,2.0,1330353226400000.0,0.25,2.6175466018599997e-14,0.249999500615,0.249546279492,0.0155966113133,39
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-533798054.724,8441183.0786,-533798054.724,-527829236.928,-539766872.52,-539169990.74,-528426118.707,2.0,71253571766400.0,0.249963898917,2.6175466018599997e-14,0.249999500615,0.125226860254,0.0078255329277,28
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-590841391.165,14820279.8554,-590841391.165,-580361870.78,-601320911.55,-600272959.511,-581409822.819,2.0,219640694991000.0,0.125018050542,2.6175466018599997e-14,0.124999250922,0.125226860254,0.00195694051577,5
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-594708519.393,10833702.162,-594708519.393,-587047935.129,-602369103.657,-601603045.23,-587813993.555,2.0,117369102534000.0,0.125018050542,2.6175466018599997e-14,0.249999500615,0.249546279492,0.00779943176577,45
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-614256495.604,10263520.8523,-614256495.604,-606999090.411,-621513900.798,-620788160.278,-607724830.93,2.0,105339860286000.0,0.125018050542,2.6175466018599997e-14,0.250000499385,0.125226860254,0.00391391230429,51
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-657922355.324,17836881.5609,-657922355.324,-645309775.417,-670534935.231,-669273677.241,-646571033.408,2.0,318154343819000.0,0.25,2.6175466018599997e-14,0.249999500615,0.250453720508,0.0156533262635,34
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-724030924.708,10337840.5828,-724030924.708,-716720967.529,-731340881.887,-730609886.169,-717451963.247,2.0,106870947916000.0,0.25,2.6175466018599997e-14,0.250000499385,0.250453720508,0.0156533888,57
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-759796399.691,9392198.37134,-759796399.691,-753155112.532,-766437686.849,-765773558.133,-753819241.248,2.0,88213390246600.0,0.125018050542,2.6175466018599997e-14,0.249999500615,0.249546279492,0.00779943176577,40
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-797303643.32,2856811.30411,-797303643.32,-795283572.674,-799323713.966,-799121706.901,-795485579.739,2.0,8161370827280.0,0.25,2.6175466018599997e-14,0.250000499385,0.125226860254,0.0078266944,52
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-839886940.945,21422042.241,-839886940.945,-824739269.609,-855034612.28,-853519845.146,-826254036.743,2.0,458903893775000.0,0.249963898917,2.6175466018599997e-14,0.250000499385,0.249546279492,0.0155944213959,63
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-854333458.359,28425291.946,-854333458.359,-834233741.667,-874433175.052,-872423203.382,-836243713.336,2.0,807997222217000.0,0.25,2.6175466018599997e-14,0.249999500615,0.125226860254,0.00782666313177,29
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-896420094.182,4828811.93983,-896420094.182,-893005608.514,-899834579.85,-899493131.283,-893347057.081,2.0,23317424750200.0,0.25,2.6175466018599997e-14,0.250000499385,0.249546279492,0.0155966736232,69
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-908802528.936,20326359.6564,-908802528.936,-894429622.186,-923175435.686,-921738145.011,-895866912.861,2.0,413160896881000.0,0.125018050542,2.6175466018599997e-14,0.249999500615,0.250453720508,0.00782779333583,35
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-958603963.316,7472023.23906,-958603963.316,-953320445.014,-963887481.617,-963359129.787,-953848796.845,2.0,55831131285100.0,0.249963898917,2.6175466018599997e-14,0.250000499385,0.250453720508,0.0156511283828,58
