npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1356321247.3,2631065.38142,1356321247.3,1358181691.48,1354460803.13,1354646847.55,1357995647.06,2.0,6922505041280.0,0.125210084034,0.00782543667679,31,2.78193391732e-13,0.25,0.249993815983
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1339108971.05,1528915.13407,1339108971.05,1340190077.31,1338027864.8,1338135975.42,1340081966.69,2.0,2337581487180.0,0.125210084034,0.00391254412062,26,2.78193391732e-13,0.25,0.124991342377
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1306757750.62,4786169.47718,1306757750.62,1310142083.52,1303373417.73,1303711851.02,1309803650.23,2.0,22907418264300.0,0.125210084034,0.00782582382741,36,2.78193391732e-13,0.25,0.250006184017
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1293430104.25,12191705.5233,1293430104.25,1302050941.9,1284809266.6,1285671350.36,1301188858.13,2.0,148637683567000.0,0.249579831933,0.00779882955587,53,2.78193391732e-13,0.25,0.124991342377
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1266005700.7,5430600.81075,1266005700.7,1269845715.36,1262165686.04,1262549687.5,1269461713.89,2.0,29491425165700.0,0.125210084034,0.00782582382741,41,2.78193391732e-13,0.25,0.250006184017
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1262317435.01,6391270.15121,1262317435.01,1266836745.47,1257798124.54,1258250055.59,1266384814.43,2.0,40848334145800.0,0.249579831933,0.0155983536443,58,2.78193391732e-13,0.25,0.249993815983
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1216119340.25,5255784.4366,1216119340.25,1219835741.06,1212402939.43,1212774579.51,1219464100.98,2.0,27623270044000.0,0.249579831933,0.0155991253473,63,2.78193391732e-13,0.25,0.250006184017
769.0,-754.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1214551512.2,3927619.25132,1214551512.2,1217328758.41,1211774266.0,1212051990.62,1217051033.79,2.0,15426192983300.0,0.125210084034,0.00391289255617,46,2.78193391732e-13,0.25,0.125002473607
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1168753194.11,3002247.146,1168753194.11,1170876103.43,1166630284.8,1166842575.73,1170663812.5,2.0,9013487925650.0,0.249579831933,0.0155991253473,68,2.78193391732e-13,0.25,0.250006184017
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1167322073.16,1788457.55644,1167322073.16,1168586703.62,1166057442.69,1166183905.74,1168460240.58,2.0,3198580431180.0,0.249579831933,0.0155983536443,57,2.78193391732e-13,0.25,0.249993815983
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1152158612.47,4207640.55046,1152158612.47,1155133863.63,1149183361.3,1149480886.42,1154836338.52,2.0,17704239001900.0,0.249579831933,0.00779882955587,52,2.78193391732e-13,0.25,0.124991342377
769.0,-457.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1125791760.57,7944243.34898,1125791760.57,1131409188.92,1120174332.23,1120736075.06,1130847446.08,2.0,63111002387700.0,0.249579831933,0.00779952408848,73,2.78193391732e-13,0.25,0.125002473607
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1124695041.59,1865802.33986,1124695041.59,1126014363.08,1123375720.1,1123507652.25,1125882430.93,2.0,3481218371430.0,0.249579831933,0.0155991253473,62,2.78193391732e-13,0.25,0.250006184017
769.0,-605.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1071963420.16,10196858.8838,1071963420.16,1079173688.23,1064753152.1,1065474178.91,1078452661.42,2.0,103975931096000.0,0.249579831933,0.0155991253473,67,2.78193391732e-13,0.25,0.250006184017
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1037718439.68,4786280.0566,1037718439.68,1041102850.76,1034334028.59,1034672469.7,1040764409.65,2.0,22908476780200.0,0.125210084034,0.00782543667679,56,2.78193391732e-13,0.25,0.249993815983
