smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,594706814.335,227585.680911,594706814.335,594867741.713,594545886.957,594561979.695,594851648.976,2.0,51795242155.6,1.28667840979e-13,0.0714285714286,0.000364520499613,1,0.0714516129032,0.0714229782537
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,547254157.652,26770.9524546,547254157.652,547273087.574,547235227.729,547237120.722,547271194.581,2.0,716683895.327,1.28667840979e-13,0.0714285714286,0.000729075888551,65,0.0714516129032,0.14285279261
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,499873060.285,66958.427346,499873060.285,499920407.043,499825713.527,499830448.203,499915672.368,2.0,4483430992.65,1.28667840979e-13,0.0714285714286,0.00072910760612,129,0.0714516129032,0.142859007249
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,344812.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,453297915.989,125235.319604,453297915.989,453386470.733,453209361.245,453218216.72,453377615.258,2.0,15683885276.4,1.28667840979e-13,0.0714285714286,0.00072910760612,193,0.0714516129032,0.142859007249
720.0,-578.4,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,406661596.343,178495.810016,406661596.343,406787811.94,406535380.745,406548002.305,406775190.381,2.0,31860754193.4,1.28667840979e-13,0.142857142857,0.00291465778471,74,0.142822580645,0.14285279261
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,459750.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,406469810.634,417319.195685,406469810.634,406764899.867,406174721.401,406204230.324,406735390.944,2.0,174155311087.0,1.28667840979e-13,0.0714285714286,0.00072910760612,257,0.0714516129032,0.142859007249
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,574687.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,360018110.194,819795.496089,360018110.194,360597793.148,359438427.239,359496395.534,360539824.853,2.0,672064655407.0,1.28667840979e-13,0.0714285714286,0.00072910760612,321,0.0714516129032,0.142859007249
720.0,-578.4,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,359627897.915,1291084.12529,359627897.915,360540832.255,358714963.575,358806257.009,360449538.821,2.0,1666898218590.0,1.28667840979e-13,0.142857142857,0.00291478458338,138,0.142822580645,0.142859007249
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,351963338.233,1382314.74643,351963338.233,352940782.364,350985894.102,351083638.515,352843037.951,2.0,1910794058200.0,1.28667840979e-13,0.142857142857,0.000729040999226,2,0.0714516129032,0.0714229782537
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,350449603.754,1061391.14032,350449603.754,351200120.627,349699086.881,349774138.568,351125068.939,2.0,1126551152750.0,1.28667840979e-13,0.142857142857,0.0014581517771,66,0.0714516129032,0.14285279261
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,317157601.866,3538884.77508,317157601.866,319659971.288,314655232.443,314905469.386,319409734.346,2.0,12523705451300.0,1.28667840979e-13,0.142857142857,0.00145725915308,19,0.142822580645,0.0714229782537
720.0,-578.4,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,344812.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,314092079.053,1168184.59666,314092079.053,314918110.303,313266047.803,313348650.928,314835507.178,2.0,1364655251880.0,1.28667840979e-13,0.142857142857,0.00291478458338,202,0.142822580645,0.142859007249
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,689625.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,313178381.651,223450.828116,313178381.651,313336385.247,313020378.055,313036178.415,313320584.887,2.0,49930272585.5,1.28667840979e-13,0.0714285714286,0.00072910760612,385,0.0714516129032,0.142859007249
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,302653492.101,859367.430277,302653492.101,303261156.638,302045827.563,302106594.017,303200390.184,2.0,738512380220.0,1.28667840979e-13,0.142857142857,0.00145821521224,130,0.0714516129032,0.142859007249
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,269517218.644,65027.5136605,269517218.644,269563200.04,269471237.249,269475835.388,269558601.901,2.0,4228577532.87,1.28667840979e-13,0.142857142857,0.00291465778471,83,0.142822580645,0.14285279261
720.0,-578.4,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,459750.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,267833186.138,1142675.32419,267833186.138,268641179.608,267025192.667,267105992.014,268560380.261,2.0,1305706896520.0,1.28667840979e-13,0.142857142857,0.00291478458338,266,0.142822580645,0.142859007249
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,266147842.506,230875.928177,266147842.506,266311096.44,265984588.571,266000913.965,266294771.047,2.0,53303694211.4,1.28667840979e-13,0.0714285714286,0.000364552217181,449,0.0714516129032,0.0714291928924
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,344812.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,255892294.363,2615230.79973,255892294.363,257741541.796,254043046.93,254227971.673,257556617.053,2.0,6839432135860.0,1.28667840979e-13,0.142857142857,0.00145821521224,194,0.0714516129032,0.142859007249
720.0,-489.9,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,222906442.0,489589.561432,222906442.0,223252634.099,222560249.901,222594869.111,223218014.889,2.0,239697938663.0,1.28667840979e-13,0.142857142857,0.00291478458338,147,0.142822580645,0.142859007249
720.0,-578.4,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,574687.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,220863151.52,780494.441883,220863151.52,221415044.433,220311258.608,220366447.899,221359855.141,2.0,609171573811.0,1.28667840979e-13,0.142857142857,0.00291478458338,330,0.142822580645,0.142859007249
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,213305871.655,3301149.04356,213305871.655,215640136.529,210971606.781,211205033.268,215406710.042,2.0,10897585007800.0,1.28667840979e-13,0.142857142857,0.00145725915308,11,0.142822580645,0.0714229782537
720.0,-578.4,-12310.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,210520153.585,3128928.41924,210520153.585,212732640.088,208307667.082,208528915.732,212511391.438,2.0,9790193052700.0,1.28667840979e-13,0.142857142857,0.00291465778471,75,0.142822580645,0.14285279261
720.0,-667.0,-14535.9,-1e+200,-1e+200,-1e+200,-1e+200,459750.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,207405107.143,223867.105424,207405107.143,207563405.091,207246809.195,207262638.99,207547575.297,2.0,50116480890.7,1.28667840979e-13,0.142857142857,0.00145821521224,258,0.0714516129032,0.142859007249
720.0,-401.3,-10084.3,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,184306979.137,96867.5260485,184306979.137,184375474.822,184238483.453,184245333.021,184368625.254,2.0,9383317602.76,1.28667840979e-13,0.142857142857,0.00145808199845,28,0.142903225806,0.0714229782537
