npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2206966757.73,17180035.3935,2206966757.73,2219114877.26,2194818638.2,2196033450.15,2217900065.3,2.0,295153616121000.0,0.0156246745464,83,0.249994792742,0.25,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2206302453.54,51407650.8613,2206302453.54,2242653152.07,2169951755.01,2173586824.86,2239018082.22,2.0,2642746567080000.0,0.00781233727318,109,0.249994792742,0.25,0.125,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2201223864.4,14362424.9814,2201223864.4,2211379632.5,2191068096.3,2192083673.11,2210364055.69,2.0,206279251348000.0,0.00390603549646,104,0.124993135887,0.25,0.125,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2193954094.8,10684786.5765,2193954094.8,2201509379.84,2186398809.75,2187154338.26,2200753851.34,2.0,114164664185000.0,0.0156252662803,88,0.250004260484,0.25,0.25,1.17734560967e-13
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2182823087.25,3997862.89362,2182823087.25,2185650003.21,2179996171.28,2180278862.88,2185367311.61,2.0,15982907716200.0,0.0156246745464,57,0.249994792742,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2181738744.56,81261373.9359,2181738744.56,2239199213.12,2124278276.0,2130024322.85,2233453166.26,2.0,6603410893950000.0,0.00781233727318,31,0.249994792742,0.125,0.25,1.17734560967e-13
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2122409098.59,60713040.7957,2122409098.59,2165339701.44,2079478495.74,2083771556.02,2161046641.16,2.0,3686073322660000.0,0.00390603549646,26,0.124993135887,0.125,0.25,1.17734560967e-13
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2121117044.62,21650365.4524,2121117044.62,2136426164.85,2105807924.4,2107338836.42,2134895252.83,2.0,468738324225000.0,0.00781207099292,52,0.124993135887,0.25,0.25,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2112944002.93,9454043.59241,2112944002.93,2119629021.26,2106258984.6,2106927486.43,2118960519.43,2.0,89378940247200.0,0.00781207099292,78,0.124993135887,0.25,0.25,1.17734560967e-13
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2110133793.38,67544690.0513,2110133793.38,2157895101.75,2062372485.01,2067148615.85,2153118970.91,2.0,4562285154120000.0,0.00781263314013,36,0.250004260484,0.125,0.25,1.17734560967e-13
