npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1865863412.86,3711488.12632,1865863412.86,1868487831.28,1863238994.43,1863501436.28,1868225389.44,2.0,13775144111800.0,0.124996134146,8,8.705791516489999e-14,0.0078118081358,0.25,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1852235273.81,2111545.10784,1852235273.81,1853728361.67,1850742185.94,1850891494.73,1853579052.89,2.0,4458622742460.0,0.249997067283,33,8.705791516489999e-14,0.0156239161913,0.25,0.249985591609
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1832509420.28,289213.316555,1832509420.28,1832713924.97,1832304915.58,1832325366.05,1832693474.51,2.0,83644342472.6,0.125001466359,102,8.705791516489999e-14,0.00389545432585,0.124645892351,0.250014408391
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1821932757.46,5747831.18737,1821932757.46,1825997087.87,1817868427.05,1818274860.09,1825590654.83,2.0,33037563358500.0,0.124996134146,19,8.705791516489999e-14,0.0078118081358,0.25,0.249985591609
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1778114909.42,2782870.18567,1778114909.42,1780082695.8,1776147123.04,1776343901.68,1779885917.16,2.0,7744366470310.0,0.250002932717,88,8.705791516489999e-14,0.0156242827598,0.25,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1753669066.03,2807414.66309,1753669066.03,1755654207.98,1751683924.09,1751882438.28,1755455693.78,2.0,7881577090540.0,0.250002399496,58,8.705791516489999e-14,0.0156242494354,0.25,0.249985591609
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1728888600.76,2329987.34192,1728888600.76,1730536150.61,1727241050.91,1727405805.89,1730371395.62,2.0,5428841013500.0,0.249997067283,44,8.705791516489999e-14,0.0156239161913,0.25,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1705182410.38,5956918.40038,1705182410.38,1709394587.78,1700970232.99,1701391450.73,1708973370.04,2.0,35484876828800.0,0.249997067283,28,8.705791516489999e-14,0.00778982790274,0.124645892351,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1683851554.02,1462564.38272,1683851554.02,1684885743.21,1682817364.82,1682920783.74,1684782324.29,2.0,2139094573610.0,0.124996134146,3,8.705791516489999e-14,0.00389483918385,0.124645892351,0.249985591609
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1683802620.12,,1683802620.12,1683802620.12,1683802620.12,1683802620.12,1683802620.12,1.0,,0.125001466359,113,8.705791516489999e-14,0.00781214137989,0.25,0.249985591609
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,703280.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1657040379.45,1156099.84324,1657040379.45,1657857865.49,1656222893.41,1656304642.02,1657776116.89,2.0,1336566847540.0,0.250002932717,83,8.705791516489999e-14,0.0156242827598,0.25,0.249985591609
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1638237111.48,2522927.11066,1638237111.48,1640021090.35,1636453132.61,1636631530.5,1639842692.46,2.0,6365161205720.0,0.250002399496,69,8.705791516489999e-14,0.0156242494354,0.25,0.249985591609
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1623722037.9,7286438.14828,1623722037.9,1628874327.72,1618569748.07,1619084977.05,1628359098.74,2.0,53092180888700.0,0.124996134146,14,8.705791516489999e-14,0.0078118081358,0.25,0.249985591609
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1609590539.87,1529882.09551,1609590539.87,1610672329.87,1608508749.87,1608616928.87,1610564150.87,2.0,2340539226160.0,0.250002399496,53,8.705791516489999e-14,0.00778999405277,0.124645892351,0.249985591609
894.0,-541.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1597917685.33,4215174.2044,1597917685.33,1600898263.59,1594937107.07,1595235164.89,1600600205.77,2.0,17767693573400.0,0.249997067283,39,8.705791516489999e-14,0.0156239161913,0.25,0.249985591609
894.0,-188.0,-4627.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1589622637.9,4071964.08912,1589622637.9,1592501951.32,1586743324.48,1587031255.83,1592214019.98,2.0,16580891543100.0,0.124996134146,25,8.705791516489999e-14,0.00195871023787,0.125354107649,0.125007204196
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,937707.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1566199136.12,3080004.21354,1566199136.12,1568377027.99,1564021244.26,1564239033.44,1568159238.8,2.0,9486425955450.0,0.125001466359,108,8.705791516489999e-14,0.00781214137989,0.25,0.249985591609
