npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2382442433.93,80827.8572393,2382442433.93,2382499587.85,2382385280.0,2382390995.39,2382493872.46,2.0,6533142505.9,1,0.124991734973,0.00194757553204,0.125007204196,1.74117872884e-13,0.124645892351
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2335236751.16,236620.143291,2335236751.16,2335404066.87,2335069435.45,2335086167.02,2335387335.3,2.0,55989092211.3,26,0.249995200952,0.00389533385232,0.125007204196,1.74117872884e-13,0.124645892351
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2282055673.85,70975.5333104,2282055673.85,2282105861.13,2282005486.57,2282010505.3,2282100842.4,2.0,5037526328.7,51,0.250005865503,0.00389550002345,0.125007204196,1.74117872884e-13,0.124645892351
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2229021595.1,210950.937515,2229021595.1,2229170759.94,2228872430.26,2228887346.74,2229155843.45,2.0,44500298038.3,76,0.250004799048,0.00389548340634,0.125007204196,1.74117872884e-13,0.124645892351
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2175856224.52,87207.6121352,2175856224.52,2175917889.61,2175794559.43,2175800725.94,2175911723.1,2.0,7605167614.32,101,0.125002399524,0.00194774170317,0.125007204196,1.74117872884e-13,0.124645892351
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2169143870.34,212618.024254,2169143870.34,2169294213.99,2168993526.7,2169008561.06,2169279179.62,2.0,45206424237.6,7,0.124991734973,0.00781243366828,0.250014408391,1.74117872884e-13,0.25
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2120673109.68,1236028.21358,2120673109.68,2121547113.61,2119799105.75,2119886506.14,2121459713.22,2.0,1527765744770.0,32,0.249995200952,0.0156256005667,0.250014408391,1.74117872884e-13,0.25
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2071314458.9,1322483.85031,2071314458.9,2072249596.2,2070379321.61,2070472835.34,2072156082.47,2.0,1748963534340.0,57,0.250005865503,0.0156262671395,0.250014408391,1.74117872884e-13,0.25
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2026195150.8,3227753.46269,2026195150.8,2028477517.16,2023912784.44,2024141021.08,2028249280.53,2.0,10418392415900.0,27,0.249995200952,0.00779066770464,0.250014408391,1.74117872884e-13,0.124645892351
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,2017711311.55,1610550.25969,2017711311.55,2018850142.56,2016572480.54,2016686363.64,2018736259.46,2.0,2593872138990.0,82,0.250004799048,0.0156262004822,0.250014408391,1.74117872884e-13,0.25
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1997729759.11,2894440.06759,1997729759.11,1999776437.31,1995683080.91,1995887748.73,1999571769.49,2.0,8377783304880.0,2,0.124991734973,0.00389515106407,0.250014408391,1.74117872884e-13,0.124645892351
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1971029696.16,2992636.58905,1971029696.16,1973145809.78,1968913582.53,1969125193.89,1972934198.42,2.0,8955873754140.0,52,0.250005865503,0.0077910000469,0.250014408391,1.74117872884e-13,0.124645892351
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1963787475.42,2456656.71238,1963787475.42,1965524594.04,1962050356.8,1962224068.66,1965350882.18,2.0,6035162202490.0,107,0.125002399524,0.00781310024112,0.250014408391,1.74117872884e-13,0.25
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1962750973.58,8571666.46461,1962750973.58,1968812057.06,1956689890.1,1957295998.45,1968205948.72,2.0,73473465980500.0,13,0.124991734973,0.00781153320336,0.249985591609,1.74117872884e-13,0.25
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1917196820.85,700800.351308,1917196820.85,1917692361.53,1916701280.17,1916750834.24,1917642807.46,2.0,491121132394.0,77,0.250004799048,0.00779096681268,0.250014408391,1.74117872884e-13,0.124645892351
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1916995053.03,222892.900037,1916995053.03,1917152662.11,1916837443.95,1916853204.86,1917136901.2,2.0,49681244886.8,38,0.249995200952,0.0156237995523,0.249985591609,1.74117872884e-13,0.25
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1864667122.31,7432854.11861,1864667122.31,1869922943.86,1859411300.76,1859936882.91,1869397361.7,2.0,55247320348500.0,63,0.250005865503,0.0156244660483,0.249985591609,1.74117872884e-13,0.25
894.0,-894.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1864459175.72,3600279.53819,1864459175.72,1867004957.79,1861913393.64,1862167971.85,1866750379.59,2.0,12962012753100.0,102,0.125002399524,0.00389548340634,0.250014408391,1.74117872884e-13,0.124645892351
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1813941329.65,5900926.51508,1813941329.65,1818113914.8,1809768744.49,1810186003.01,1817696656.29,2.0,34820933736400.0,33,0.249995200952,0.0156237995523,0.249985591609,1.74117872884e-13,0.25
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1812351327.14,5511135.32219,1812351327.14,1816248288.3,1808454365.98,1808844062.1,1815858592.18,2.0,30372612539500.0,88,0.250004799048,0.0156243993987,0.249985591609,1.74117872884e-13,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1787818499.58,4651145.8939,1787818499.58,1791107356.38,1784529642.78,1784858528.46,1790778470.7,2.0,21633158126300.0,8,0.124991734973,0.00781153320336,0.249985591609,1.74117872884e-13,0.25
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1769258717.97,5980008.26876,1769258717.97,1773487222.37,1765030213.57,1765453064.01,1773064371.93,2.0,35760498894500.0,19,0.124991734973,0.00781153320336,0.249985591609,1.74117872884e-13,0.25
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1756500104.54,6115583.72091,1756500104.54,1760824475.26,1752175733.82,1752608170.9,1760392038.19,2.0,37400364247400.0,113,0.125002399524,0.00781219969937,0.249985591609,1.74117872884e-13,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1753169435.86,1211732.64882,1753169435.86,1754026260.23,1752312611.49,1752398293.92,1753940577.8,2.0,1468296012230.0,58,0.250005865503,0.0156244660483,0.249985591609,1.74117872884e-13,0.25
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1721752544.62,2426468.91615,1721752544.62,1723468317.25,1720036772.0,1720208349.26,1723296739.99,2.0,5887751401020.0,44,0.249995200952,0.0156237995523,0.249985591609,1.74117872884e-13,0.25
894.0,-718.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1706805588.0,4555255.14317,1706805588.0,1710026639.8,1703584536.2,1703906641.38,1709704534.62,2.0,20750349419400.0,83,0.250004799048,0.0156243993987,0.249985591609,1.74117872884e-13,0.25
894.0,-894.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1684066654.44,5299953.88661,1684066654.44,1687814287.77,1680319021.11,1680693784.44,1687439524.44,2.0,28089511200100.0,28,0.249995200952,0.00778976974847,0.249985591609,1.74117872884e-13,0.124645892351
894.0,-365.0,-8965.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1671634779.72,2818956.43203,1671634779.72,1673628082.93,1669641476.51,1669840806.83,1673428752.61,2.0,7946515365690.0,69,0.250005865503,0.0156244660483,0.249985591609,1.74117872884e-13,0.25
