npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,PointProbability
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2141246059.99,106046609.3,2141246059.99,2216232336.54,2066259783.43,2073758411.08,2208733708.89,2.0,1.12458833439e+16,0.25,0.00781233727318,109,0.249994792742,0.125,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2091507211.49,53618518.8919,2091507211.49,2129421229.8,2053593193.19,2057384595.02,2125629827.97,2.0,2874945568160000.0,0.25,0.00390603549646,104,0.124993135887,0.125,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2041103211.23,6147131.78045,2041103211.23,2045449889.8,2036756532.66,2037191200.52,2045015221.94,2.0,37787229126300.0,0.25,0.0156246745464,83,0.249994792742,0.25,1.17734560967e-13
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2020400100.11,16659423.3622,2020400100.11,2032180091.34,2008620108.88,2009798108.0,2031002092.22,2.0,277536386761000.0,0.25,0.0156246745464,57,0.249994792742,0.25,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1990312640.01,26782370.5055,1990312640.01,2009250635.82,1971374644.21,1973268443.79,2007356836.24,2.0,717295369896000.0,0.25,0.0156252662803,88,0.250004260484,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1963920970.01,87680202.3441,1963920970.01,2025920235.66,1901921704.35,1908121630.92,2019720309.1,2.0,7687817883110000.0,0.25,0.00781263314013,114,0.250004260484,0.125,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1963166694.48,35396529.0551,1963166694.48,1988195820.21,1938137568.76,1940640481.33,1985692907.64,2.0,1252914269150000.0,0.25,0.00781207099292,78,0.124993135887,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1955766744.74,5610848.51468,1955766744.74,1959734213.77,1951799275.71,1952196022.61,1959337466.87,2.0,31481621054600.0,0.25,0.00781266272682,119,0.250005207258,0.125,1.17734560967e-13
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1908354343.22,39808725.6862,1908354343.22,1936503363.1,1880205323.34,1883020225.33,1933688461.11,2.0,1584734640760000.0,0.25,0.0156253254536,93,0.250005207258,0.25,1.17734560967e-13
1280.0,-385.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1882328747.94,102374250.42,1882328747.94,1954718274.63,1809939221.25,1817178173.92,1947479321.96,2.0,1.0480487149e+16,0.25,0.00390633136341,124,0.125002603629,0.125,1.17734560967e-13
