smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3218004091.31,17414871.7367,-3219566802.41,-3196089355.01,-3236793405.41,-3235107257.06,-3198713130.02,4.0,303277757607000.0,4.95258127397e-14,0.250000944804,95,0.125226860254,0.249981948155,0.00782614319848
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3228029448.77,9377017.022,-3228579280.27,-3218400545.65,-3236558688.9,-3236410260.45,-3218878872.99,4.0,87928448230800.0,4.95258127397e-14,0.124998488314,53,0.249546279492,0.250018051845,0.00779879001474
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3228473351.01,25190341.5145,-3226204074.24,-3203062692.29,-3258422563.28,-3255576097.46,-3204547592.04,4.0,634553305617000.0,4.95258127397e-14,0.249999055196,107,0.249546279492,0.124990974078,0.00779772866837
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3255142989.62,10108915.4533,-3254201981.47,-3245114168.63,-3267053826.92,-3265963597.15,-3245639793.52,4.0,102190171642000.0,4.95258127397e-14,0.250000944804,70,0.125226860254,0.250018051845,0.00782727349068
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3258869298.53,21257734.1342,-3257659030.43,-3235978481.45,-3284180651.81,-3281657061.29,-3237775911.11,4.0,451891260522000.0,4.95258127397e-14,0.124998488314,77,0.249546279492,0.249981948155,0.00779766383568
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3259718289.04,10739667.7563,-3256442590.55,-3250769190.24,-3275218784.83,-3272619965.58,-3251402590.39,4.0,115340463516000.0,4.95258127397e-14,0.250000944804,64,0.250453720508,0.250018051845,0.0156545469814
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3282148746.13,23604455.8439,-3281164334.6,-3255585737.62,-3310680577.71,-3307551807.08,-3258123861.33,4.0,557170335688000.0,4.95258127397e-14,0.249999055196,58,0.249546279492,0.250018051845,0.0155977097136
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3283530795.97,32170192.8285,-3270732573.65,-3261741584.86,-3330916451.7,-3322689684.87,-3262289418.3,4.0,1034921306620000.0,4.95258127397e-14,0.124998488314,101,0.125226860254,0.124990974078,0.00195650474422
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3290643454.58,19287078.2563,-3284052811.05,-3275840099.38,-3318628096.83,-3313991114.04,-3276522696.06,4.0,371991387664000.0,4.95258127397e-14,0.249999055196,82,0.249546279492,0.249981948155,0.0155954573367
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-3316327605.63,27246876.5808,-3317690742.53,-3284697032.17,-3345231905.27,-3343188666.34,-3287558153.25,4.0,742392283407000.0,4.95258127397e-14,0.250000944804,88,0.249546279492,0.249981948155,0.0155955752144
