smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,582210725.235,1145283.10606,582210725.235,583020562.685,581400887.784,581481871.529,582939578.94,2.0,1311673393020.0,2.43433201164e-13,0.00781194885362,0.25,27,0.124991181658,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,532542738.215,1411474.20216,532542738.215,533540801.194,531544675.235,531644481.533,533440994.896,2.0,1992259423350.0,2.43433201164e-13,0.0156246325691,0.25,32,0.249994121105,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,482136391.491,545247.192046,482136391.491,482521939.478,481750843.504,481789398.303,482483384.679,2.0,297294500435.0,2.43433201164e-13,0.0156253674309,0.25,37,0.250005878895,0.25
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,432708156.241,572272.003144,432708156.241,433112813.655,432303498.827,432343964.568,433072347.913,2.0,327495245582.0,2.43433201164e-13,0.0156253674309,0.25,42,0.250005878895,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,423095207.957,176934.671173,423095207.957,423220319.663,422970096.252,422982607.422,423207808.493,2.0,31305877863.0,2.43433201164e-13,0.00781231628454,0.25,31,0.249994121105,0.125
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,400995116.564,1419122.84339,400995116.564,401998587.95,399991645.178,400091992.317,401898240.812,2.0,2013909644640.0,2.43433201164e-13,0.00390597442681,0.25,26,0.124991181658,0.125
720.0,-550.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,382705968.579,1095951.60738,382705968.579,383480923.393,381931013.766,382008509.247,383403427.912,2.0,1201109925710.0,2.43433201164e-13,0.00781268371546,0.25,47,0.125002939447,0.25
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,376692668.845,262142.050162,376692668.845,376878031.266,376507306.424,376525842.666,376859495.024,2.0,68718454463.0,2.43433201164e-13,0.00781268371546,0.25,36,0.250005878895,0.125
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,326164011.715,2063805.05782,326164011.715,327623342.267,324704681.164,324850614.219,327477409.211,2.0,4259291316670.0,2.43433201164e-13,0.00781268371546,0.25,41,0.250005878895,0.125
720.0,-705.1,-13824.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,276763273.609,2348180.69181,276763273.609,278423688.099,275102859.118,275268900.567,278257646.65,2.0,5513952561410.0,2.43433201164e-13,0.00390634185773,0.25,46,0.125002939447,0.125
