smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-ft_capacity
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,126236274.307,21567395.4837,127098747.89,164276084.645,88822966.6274,94415791.4961,153133411.775,10.0,465152547949000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.00068712193249,403,0.111136071887
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,110293710.03,18943879.6468,113805583.849,139779981.287,84697063.5945,86926147.0233,135334083.623,10.0,358870576074000.0,1.73883786583e-14,0.111110467246,0.110483870968,0.00136429691928,314,0.111136071887
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,108497349.548,21835374.9506,108320909.856,145546644.364,69739545.396,78110476.6722,136977182.973,10.0,476783599234000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,607,0.111103979461
720.0,-430.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,107397731.166,11307325.4184,108129218.11,128338818.065,91194473.1478,92051739.4354,123426453.902,10.0,127855608118000.0,1.73883786583e-14,0.0555547717199,0.110483870968,0.000681945807749,505,0.111103979461
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,91803982.1368,10099462.951,89953018.225,106691065.444,78394040.1816,79288809.9062,105975271.441,10.0,101999151898000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137425529096,313,0.111136071887
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,58761224.2744,14639438.278,54010461.4781,87477713.2713,42068347.9438,43821640.7767,80651964.2307,10.0,214313153094000.0,1.73883786583e-14,0.111110467246,0.111290322581,0.00137425529096,312,0.111136071887
720.0,-636.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,43901551.7872,13958513.2699,45899161.8545,59905388.3929,14898333.3057,22630443.7448,58757773.4094,10.0,194840092705000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.00068712193249,402,0.111136071887
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,34769621.402,2161622.53605,35810494.2538,36918499.4451,30713298.351,31128582.5226,36774217.4956,10.0,4672611988380.0,1.73883786583e-14,0.11111130707,0.111290322581,0.00137386883568,122,0.111103979461
720.0,-223.0,-5601.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,29082195.8309,24904614.2714,35302096.3127,66542448.4424,-18323956.6901,-11407350.4285,57665227.2648,10.0,620239812009000.0,1.73883786583e-14,0.0555547717199,0.111290322581,0.000686923514375,708,0.111103979461
720.0,-498.0,-9063.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,26496472.6644,22576669.0982,28518415.471,62587302.7486,-4544016.86392,-3294514.33117,55130370.8106,10.0,509705987569000.0,1.73883786583e-14,0.0555547717199,0.110483870968,0.000681945807749,504,0.111103979461
