smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1636462084.31,2462639.45711,-1635931416.68,-1634080058.54,-1639905445.32,-1639342845.33,-1634324257.96,4.0,6064593095710.0,0.0155979749784,1.7334191682000001e-13,0.250018051845,0.250003306843,0.249546279492,63
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1646907726.8,3227660.18405,-1647851680.31,-1642553828.35,-1649373718.24,-1649368749.63,-1643125169.07,4.0,10417790263700.0,0.0155979749784,1.7334191682000001e-13,0.250018051845,0.250003306843,0.249546279492,68
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1661196788.6,4794497.02463,-1659941742.35,-1656921809.87,-1667981859.81,-1666905689.2,-1657244952.73,4.0,22987201719200.0,0.00779900812097,1.7334191682000001e-13,0.250018051845,0.125001984106,0.249546279492,73
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1734530400.16,2173987.63839,-1734067410.34,-1732486978.71,-1737499801.25,-1737077228.19,-1732631757.88,4.0,4726222251870.0,0.0155975623434,1.7334191682000001e-13,0.250018051845,0.249996693157,0.249546279492,57
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1747860982.32,4208229.18077,-1747143538.33,-1743755352.95,-1753401499.68,-1752688917.77,-1744037468.47,4.0,17709192837900.0,0.0155979749784,1.7334191682000001e-13,0.250018051845,0.250003306843,0.249546279492,62
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1762436464.29,2193865.44019,-1762587169.21,-1759987811.98,-1764583706.77,-1764490637.37,-1760171304.33,4.0,4813045569670.0,0.0155979749784,1.7334191682000001e-13,0.250018051845,0.250003306843,0.249546279492,67
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1771989587.05,1159817.89424,-1771940441.13,-1770825324.78,-1773252141.18,-1773165672.0,-1770882306.4,4.0,1345177547790.0,0.00779855422245,1.7334191682000001e-13,0.250018051845,0.124994709051,0.249546279492,52
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1785856922.21,4816120.20306,-1787029904.92,-1779066230.86,-1790301648.16,-1789915036.09,-1780156632.55,4.0,23195013810400.0,0.00779900812097,1.7334191682000001e-13,0.250018051845,0.125001984106,0.249546279492,72
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1809674356.12,5122096.47225,-1810004579.74,-1803218411.38,-1815469853.64,-1814840465.31,-1804045933.88,4.0,26235872271000.0,0.00782578236135,1.7334191682000001e-13,0.249981948155,0.124994709051,0.250453720508,79
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-1813551758.48,2953578.94893,-1812806380.99,-1810840524.95,-1817753746.99,-1817035879.03,-1811111166.42,4.0,8723628607590.0,0.015652020206,1.7334191682000001e-13,0.249981948155,0.249996693157,0.250453720508,84
