npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
1280.0,-600.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2252965767.08,68437258.9265,2252965767.08,2301358216.95,2204573317.21,2209412562.19,2296518971.97,2.0,4683658409370000.0,38,0.0156265677537,0.249999659503,0.25,0.250025424591,8.656992832709999e-15
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2230935488.63,10615526.477,2230935488.63,2238441799.38,2223429177.87,2224179808.94,2237691168.31,2.0,112689402384000.0,32,0.0156249787189,0.249999659503,0.25,0.25,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2190266870.96,6223351.58358,2190266870.96,2194667445.07,2185866296.85,2186306354.27,2194227387.66,2.0,38730104932800.0,44,0.0156249787189,0.249999659503,0.25,0.25,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2150925704.56,12747776.2136,2150925704.56,2159939743.57,2141911665.56,2142813069.46,2159038339.67,2.0,162505798392000.0,27,0.00781248935947,0.249999659503,0.125,0.25,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2114366771.46,50819832.0992,2114366771.46,2150301819.36,2078431723.57,2082025228.36,2146708314.57,2.0,2582655334590000.0,39,0.0156249787189,0.249999659503,0.25,0.25,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2113470320.54,119205004.06,2113470320.54,2197760987.26,2029179653.82,2037608720.49,2189331920.59,2.0,1.4209832993e+16,5,0.00195291892277,0.124999523304,0.125,0.124987287705,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2097594193.92,19087423.876,2097594193.92,2111091040.78,2084097347.06,2085447031.75,2109741356.09,2.0,364329750223000.0,45,0.0078116948421,0.249999659503,0.25,0.124987287705,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2042452402.37,33800269.2876,2042452402.37,2066352801.99,2018552002.75,2020942042.71,2063962762.03,2.0,1142458203910000.0,34,0.0156249787189,0.249999659503,0.25,0.25,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2032854118.52,43217946.6487,2032854118.52,2063413821.66,2002294415.37,2005350385.69,2060357851.35,2.0,1867790912530000.0,28,0.00781328387685,0.249999659503,0.125,0.250025424591,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1991779639.46,24580497.0504,1991779639.46,2009160675.61,1974398603.31,1976136706.92,2007422571.99,2.0,604200835242000.0,33,0.0156265677537,0.249999659503,0.25,0.250025424591,8.656992832709999e-15
1280.0,-600.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,1835556.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1879195242.3,38025028.8166,1879195242.3,1906082998.03,1852307486.57,1854996262.14,1903394222.46,2.0,1445902816510000.0,40,0.0078116948421,0.249999659503,0.25,0.124987287705,8.656992832709999e-15
