smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-673981938.693,10911562.1471,-672226133.332,-662663292.914,-688812195.194,-686507157.09,-663914847.801,4.0,119062188489000.0,0.249546279492,0.249981948155,4.95258127397e-14,78,0.00779766383568,0.124998488314
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-695909697.018,3176592.73776,-697063765.659,-691253814.601,-698257442.152,-698147074.228,-692056623.71,4.0,10090741421600.0,0.125226860254,0.250018051845,4.95258127397e-14,56,0.00782721432901,0.249999055196
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-743469086.164,13172743.3696,-744277207.555,-727506951.585,-757814977.963,-756596691.072,-729210111.31,4.0,173521167882000.0,0.249546279492,0.250018051845,4.95258127397e-14,63,0.0155978276082,0.250000944804
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-786346525.517,3504999.91412,-786320316.725,-782313953.451,-790431515.166,-790024431.122,-782705312.22,4.0,12285024398000.0,0.125226860254,0.250018051845,4.95258127397e-14,41,0.00782727349068,0.250000944804
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-795969667.937,10261233.719,-794086955.026,-786639259.836,-809065501.86,-807570458.981,-787004674.968,4.0,105292917436000.0,0.250453720508,0.249981948155,4.95258127397e-14,84,0.0156521680907,0.249999055196
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-842294879.894,10386845.1871,-844966471.8,-827492500.875,-851754075.1,-850830687.458,-830018843.66,4.0,107886552941000.0,0.125226860254,0.124990974078,4.95258127397e-14,105,0.00195650474422,0.124998488314
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-854382923.189,7629123.47579,-854427795.836,-846359200.935,-862316900.151,-861862837.208,-846840187.465,4.0,58203525008900.0,0.249546279492,0.250018051845,4.95258127397e-14,62,0.0155978276082,0.250000944804
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-854691781.231,14109780.835,-855467769.803,-840921034.052,-866910551.266,-866894903.906,-841402274.556,4.0,199085915213000.0,0.249546279492,0.249981948155,4.95258127397e-14,77,0.00779766383568,0.124998488314
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-934435778.632,23183893.7333,-936533687.96,-907921018.089,-956754720.521,-955849527.633,-910084956.573,4.0,537492928636000.0,0.249546279492,0.249981948155,4.95258127397e-14,83,0.0155954573367,0.249999055196
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-962609772.152,4856959.50221,-963318576.39,-956270884.516,-967531051.313,-967144852.3,-957082366.071,4.0,23590055606100.0,0.249546279492,0.250018051845,4.95258127397e-14,47,0.00779891969886,0.125000566882
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-988438956.222,15292724.9587,-981630926.355,-979263329.49,-1011230642.69,-1007033728.54,-979375425.717,4.0,233867436662000.0,0.125226860254,0.250018051845,4.95258127397e-14,61,0.00782727349068,0.250000944804
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-989766921.3,13128980.1349,-985447557.145,-979801138.054,-1008371432.86,-1005554509.29,-980026443.125,4.0,172370119382000.0,0.125226860254,0.249981948155,4.95258127397e-14,76,0.00391300948845,0.124998488314
