smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,843734249.861,9309624.55284,841728540.323,857015116.95,830671900.737,832999142.906,856330234.836,10.0,86669109314800.0,0.125226860254,0.124999315018,26,0.250018051845,2.4762864257000002e-14,0.00391360050885
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,764387257.534,14850274.8125,760537516.222,789980399.991,749352986.226,750208833.808,789734454.668,10.0,220530662008000.0,0.249546279492,0.124999315018,53,0.250018051845,2.4762864257000002e-14,0.00779884159372
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,717307765.282,1854607.51062,717078331.336,719561848.078,713571346.969,714493394.406,719409407.872,10.0,3439569018450.0,0.125226860254,0.249999574839,6,0.124990974078,2.4762864257000002e-14,0.00391305015624
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,605840021.14,11153025.0651,608046915.513,616593777.429,581234930.094,588447840.386,616553633.425,10.0,124389968102000.0,0.249546279492,0.124999315018,52,0.250018051845,2.4762864257000002e-14,0.00779884159372
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,525923366.851,29024603.4293,524124708.547,564204413.664,479446157.145,484422455.757,562762136.349,10.0,842427604231000.0,0.250453720508,0.124999315018,79,0.249981948155,2.4762864257000002e-14,0.00782607073597
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,465971269.838,13003915.1674,470146273.706,479193612.979,438026143.301,445618587.802,479029175.901,10.0,169101809681000.0,0.249546279492,0.249999574839,32,0.250018051845,2.4762864257000002e-14,0.0155977421347
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,429325616.79,18594554.3328,430332770.431,460795475.257,395918406.551,402471215.085,453916330.227,10.0,345757450836000.0,0.125226860254,0.124999315018,51,0.250018051845,2.4762864257000002e-14,0.00391360050885
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,410213882.966,10276196.8815,412634267.875,422357214.287,393319314.877,395696992.307,421484181.435,10.0,105600222348000.0,0.125226860254,0.249999574839,31,0.250018051845,2.4762864257000002e-14,0.00782723059849
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,364031364.553,30782763.1309,370965603.49,410716058.48,322931067.734,324869294.075,404125603.047,10.0,947578505973000.0,0.249546279492,0.124999315018,78,0.249981948155,2.4762864257000002e-14,0.00779771540721
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,288721530.713,46424101.69,297293357.703,357523690.29,201856904.624,217712418.59,347933943.17,10.0,2155197217720000.0,0.125226860254,0.124999315018,105,0.124990974078,2.4762864257000002e-14,0.00195651768399
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,224421630.287,24798156.9887,222583710.291,276407261.461,194613743.746,196467007.725,262165624.13,10.0,614948590037000.0,0.249546279492,0.249999574839,58,0.250018051845,2.4762864257000002e-14,0.0155977421347
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,190580674.701,20873733.0367,193874783.981,222518297.859,149495411.094,159894168.47,218949865.673,10.0,435712730887000.0,0.249546279492,0.124999315018,77,0.249981948155,2.4762864257000002e-14,0.00779771540721
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,171810652.15,2866389.33463,172130163.822,174864222.077,165206167.833,167280072.898,174739213.188,10.0,8216187817670.0,0.125226860254,0.250000519641,11,0.124990974078,2.4762864257000002e-14,0.0039130649445
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,148801950.725,19636542.9047,143664699.877,186226333.831,123726889.138,127517083.565,179778135.239,10.0,385593817247000.0,0.249546279492,0.249999574839,57,0.250018051845,2.4762864257000002e-14,0.0155977421347
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,117060211.606,27026490.9142,115203399.666,165525735.514,76591788.1333,83914550.9413,155935256.619,10.0,730431211135000.0,0.250453720508,0.124999315018,104,0.124990974078,2.4762864257000002e-14,0.00391303536798
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,44149164.3468,23874387.8228,47835089.3909,81362154.4848,7124298.42554,10650756.3433,72667640.2837,10.0,569986393915000.0,0.125226860254,0.249999574839,56,0.250018051845,2.4762864257000002e-14,0.00782723059849
