smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight,prefix
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-709111352.246,32875190.6015,-703060730.322,-650107198.041,-752304827.7,-750856217.599,-664407456.972,10.0,1080778157090000.0,0.250000519641,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155978010819,38
720.0,-154.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-721633403.79,62877750.5443,-716713756.724,-607195030.054,-808417050.424,-802915161.893,-629330962.53,10.0,3953611513520000.0,0.250000425161,0.125226860254,0.250018051845,2.4762864257000002e-14,0.0078272572212,45
720.0,-292.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-794643031.859,62336505.1555,-802214443.455,-646530416.363,-869288340.551,-867511873.627,-697299221.128,10.0,3885839875000000.0,0.12500016534,0.250453720508,0.124990974078,2.4762864257000002e-14,0.00391306198685,24
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-808578419.081,35213180.0496,-817173450.323,-755709457.59,-865290610.778,-856220108.199,-759316190.194,10.0,1239968049200000.0,0.250000425161,0.125226860254,0.124990974078,2.4762864257000002e-14,0.00391306346567,16
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-841174102.62,21461684.3652,-837646369.16,-812327283.964,-884491612.108,-874283858.634,-814781973.599,10.0,460603895789000.0,0.249999574839,0.250453720508,0.250018051845,2.4762864257000002e-14,0.015654461197,59
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-842973838.221,24424975.0385,-840459748.206,-812610510.519,-897585378.804,-883184930.428,-813517906.496,10.0,596579405633000.0,0.249999574839,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00782723059849,31
720.0,-154.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-868856801.337,45610124.1208,-881208273.734,-801065303.373,-918887678.99,-917717677.482,-803998324.984,10.0,2080283422310000.0,0.250000519641,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00782726017928,65
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-874952495.419,44765976.0162,-858675063.754,-824494053.448,-966911764.713,-946961470.831,-827733046.179,10.0,2003992608680000.0,0.250000519641,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155978010819,37
720.0,-292.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-880177377.62,51616789.5417,-864988785.676,-817807461.952,-959879146.805,-954889606.167,-823207501.186,10.0,2664292962590000.0,0.250000425161,0.250453720508,0.250018051845,2.4762864257000002e-14,0.0156545144424,44
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-911520553.856,9691035.00307,-911047242.619,-897328194.301,-935423016.563,-926285155.075,-900887691.751,10.0,93916159430800.0,0.124999315018,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00391360050885,26
720.0,-430.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-949145829.647,41901562.1434,-953350699.102,-879702220.601,-1031724493.65,-1007062716.02,-886981516.689,10.0,1755740910060000.0,0.12500016534,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00389888422603,23
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-967815069.223,24941117.376,-966899755.651,-922369623.792,-1002106906.78,-1001487307.11,-931676803.277,10.0,622059335963000.0,0.249999574839,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977421347,58
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-977722736.902,17693843.6148,-978106622.802,-938874149.964,-997712973.169,-997189701.579,-950908077.717,10.0,313072101866000.0,0.124999315018,0.249546279492,0.250018051845,2.4762864257000002e-14,0.00779884159372,53
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1000188392.03,30661422.52,-998037632.474,-940187446.604,-1058148296.7,-1044827854.52,-956793817.398,10.0,940122830949000.0,0.250000519641,0.125226860254,0.250018051845,2.4762864257000002e-14,0.00782726017928,36
720.0,-292.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1020088149.64,43321570.7899,-1027398363.44,-960044408.257,-1110800658.78,-1084969589.63,-965455006.629,10.0,1876758495710000.0,0.250000519641,0.250453720508,0.250018051845,2.4762864257000002e-14,0.0156545203586,64
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1081734228.62,45815385.6793,-1088294996.82,-1005425801.79,-1157420742.67,-1141647936.06,-1018303385.87,10.0,2099049564940000.0,0.249999574839,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977421347,57
720.0,-154.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1082023645.34,36767530.6908,-1083168724.13,-1004812836.37,-1124849614.15,-1123150719.05,-1028223348.75,10.0,1351851313100000.0,0.249999574839,0.125226860254,0.249981948155,2.4762864257000002e-14,0.00782610031248,85
720.0,-430.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,3969093.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1088213710.97,35571950.9201,-1079082655.5,-1030409325.49,-1161351523.09,-1141663759.94,-1045648800.45,10.0,1265363692260000.0,0.250000425161,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155977951872,43
720.0,-567.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,5292123.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1131320561.4,21483931.5022,-1135938056.44,-1100258965.04,-1159574446.05,-1158183726.37,-1102372417.89,10.0,461559312790000.0,0.12500016534,0.249546279492,0.124990974078,2.4762864257000002e-14,0.00389888422603,22
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1140067806.58,11326009.5235,-1142408164.7,-1122072333.45,-1158799860.51,-1154947142.38,-1124993127.02,10.0,128278491726000.0,0.124999315018,0.249546279492,0.250018051845,2.4762864257000002e-14,0.00779884159372,52
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1164571315.59,43886214.4338,-1182994715.48,-1081702630.64,-1210842663.56,-1204367371.88,-1093674226.46,10.0,1925999817330000.0,0.250000519641,0.249546279492,0.250018051845,2.4762864257000002e-14,0.0155978010819,63
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1191716960.75,34220346.3897,-1185481271.5,-1131479378.54,-1242847188.85,-1242758095.99,-1150295764.67,10.0,1171032107030000.0,0.124999315018,0.250453720508,0.249981948155,2.4762864257000002e-14,0.00782607073597,79
