npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity
522.0,-522.0,-10527.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,558985573.892,717149.698826,558985573.892,559492675.307,558478472.477,558529182.618,559441965.166,2.0,514303690527.0,0.125333333333,0.00391680974125,1.0563053673200001e-12,0.12500456621,102,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,556381486.516,171650.334115,556381486.516,556502861.631,556260111.4,556272248.912,556490724.119,2.0,29463837201.6,0.249333333333,0.0155839025875,1.0563053673200001e-12,0.25000913242,88,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,547395103.158,394138.469626,547395103.158,547673801.143,547116405.174,547144274.972,547645931.345,2.0,155345133239.0,0.249333333333,0.00779081278539,1.0563053673200001e-12,0.12498630137,19,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,544648181.047,687753.400743,544648181.047,545134496.14,544161865.953,544210497.463,545085864.631,2.0,473004740233.0,0.250666666667,0.0156660943683,1.0563053673200001e-12,0.24999086758,33,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,544595405.951,110859.391885,544595405.951,544673795.379,544517016.523,544524855.466,544665956.436,2.0,12289804769.1,0.250666666667,0.00783247488584,1.0563053673200001e-12,0.12498630137,8,0.25
522.0,-334.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,521890303.526,281520.553083,521890303.526,522089368.618,521691238.433,521711144.943,522069462.108,2.0,79253821808.0,0.249333333333,0.00779195129376,1.0563053673200001e-12,0.12500456621,113,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,514767156.077,383571.485738,514767156.077,515038382.075,514495930.078,514523052.678,515011259.476,2.0,147127084671.0,0.249333333333,0.0155827640791,1.0563053673200001e-12,0.24999086758,44,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,509972202.372,222556.127797,509972202.372,510129573.319,509814831.425,509830568.52,510113836.225,2.0,49531230019.9,0.250666666667,0.015667238965,1.0563053673200001e-12,0.25000913242,58,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,480225718.553,1495521.80806,480225718.553,481283212.164,479168224.941,479273974.302,481177462.803,2.0,2236585478380.0,0.249333333333,0.0155839025875,1.0563053673200001e-12,0.25000913242,69,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,474259350.954,784318.176852,474259350.954,474813947.656,473704754.253,473760213.923,474758487.986,2.0,615155002540.0,0.250666666667,0.015667238965,1.0563053673200001e-12,0.25000913242,83,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,453670270.999,2091494.22293,453670270.999,455149180.747,452191361.251,452339252.226,455001289.772,2.0,4374348084530.0,0.125333333333,0.00195769405898,1.0563053673200001e-12,0.12498630137,25,0.124972890913
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,453061947.054,2437442.30356,453061947.054,454785479.036,451338415.073,451510768.271,454613125.838,2.0,5941124983200.0,0.125333333333,0.00783304718417,1.0563053673200001e-12,0.24999086758,28,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,445076159.804,677757.359869,445076159.804,445555406.629,444596912.979,444644837.662,445507481.947,2.0,459355038857.0,0.249333333333,0.0155839025875,1.0563053673200001e-12,0.25000913242,94,0.25
522.0,-428.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,439417106.886,2377502.65389,439417106.886,441098255.135,437735958.637,437904073.462,440930140.31,2.0,5652518869270.0,0.250666666667,0.0078336194825,1.0563053673200001e-12,0.12500456621,108,0.25
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,433453569.665,704248.87697,433453569.665,433951548.822,432955590.508,433005388.424,433901750.906,2.0,495966480714.0,0.125333333333,0.00391623744292,1.0563053673200001e-12,0.12498630137,3,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,433211150.813,1071085.72355,433211150.813,433968522.791,432453778.834,432529516.032,433892785.593,2.0,1147224627200.0,0.249333333333,0.00779081278539,1.0563053673200001e-12,0.12498630137,14,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,430289558.959,442716.450579,430289558.959,430602606.763,429976511.155,430007815.935,430571301.983,2.0,195997855613.0,0.249333333333,0.0155827640791,1.0563053673200001e-12,0.24999086758,39,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,68440.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,419892324.19,1305100.27928,419892324.19,420815169.448,418969478.933,419061763.459,420722884.922,2.0,1703286738970.0,0.125333333333,0.00391567420506,1.0563053673200001e-12,0.24999086758,50,0.124972890913
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,417283606.701,289856.128406,417283606.701,417488565.935,417078647.467,417099143.391,417468070.012,2.0,84016575174.7,0.125333333333,0.0078336194825,1.0563053673200001e-12,0.25000913242,53,0.25
522.0,-241.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,410067413.257,333267.661299,410067413.257,410303069.08,409831757.433,409855323.016,410279503.498,2.0,111067334068.0,0.249333333333,0.00779195129376,1.0563053673200001e-12,0.12500456621,119,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,395933912.592,1614249.92195,395933912.592,397075359.659,394792465.526,394906610.232,396961214.952,2.0,2605802810500.0,0.249333333333,0.0155839025875,1.0563053673200001e-12,0.25000913242,64,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,136880.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,385719531.583,1067792.29044,385719531.583,386474574.752,384964488.413,385039992.73,386399070.435,2.0,1140180375510.0,0.125333333333,0.00391596029216,1.0563053673200001e-12,0.25000913242,75,0.124972890913
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,381936914.33,554428.002014,381936914.33,382328954.13,381544874.53,381584078.51,382289750.15,2.0,307390409417.0,0.125333333333,0.0078336194825,1.0563053673200001e-12,0.25000913242,78,0.25
522.0,-334.0,-5916.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,359483421.41,300203.80243,359483421.41,359695697.555,359271145.266,359292372.88,359674469.94,2.0,90122322993.6,0.249333333333,0.0155839025875,1.0563053673200001e-12,0.25000913242,89,0.25
522.0,-147.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,205320.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,351322362.63,628046.377844,351322362.63,351766458.483,350878266.778,350922676.363,351722048.898,2.0,394442252723.0,0.125333333333,0.00391596029216,1.0563053673200001e-12,0.25000913242,100,0.124972890913
522.0,-522.0,-8222.0,-1e+200,-1e+200,-1e+200,-1e+200,273760.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,346284908.663,409127.789991,346284908.663,346574205.698,345995611.629,346024541.332,346545275.995,2.0,167385548543.0,0.125333333333,0.00391680974125,1.0563053673200001e-12,0.12500456621,103,0.25
522.0,-241.0,-3611.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,335949719.449,105980.02574,335949719.449,336024658.644,335874780.254,335882274.174,336017164.724,2.0,11231765855.9,0.249333333333,0.00389456158541,1.0563053673200001e-12,0.12498630137,20,0.124972890913
