cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-455123080.493,0.0,0.0,0.0,0.0,0.0,-522286396.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-108502301.82,137344685.849,115598361.6,0.0,-17593816.4802,22270653.7724,-20223440.0,-14623184.5594,-18631611.15,0.0,-20190167.0357,25557173.463,-27050057.67,-4988314.2852,-10978185.959,440497476.0,10501477.1152,6584785.5605,28140298.6269,89560246.5741,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-201756090.682,255387456.559,115598361.6,0.0,-32715062.9403,41411472.0763,-20223440.0,-14623184.5349,-18631611.15,0.0,-37542882.5288,47522636.1124,-27050057.67,-4988314.2852,-10978185.959,440497476.0,11611699.4364,6584785.5605,28140298.6269,89560246.5741,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-177706480.342,224944911.825,115598361.6,0.0,-28815381.3332,36475166.2445,-20223440.0,-14623184.4593,-18631611.15,0.0,-33067718.023,41857870.9152,-27050057.67,-4988314.2852,-10978185.959,440497476.0,15467637.1257,6310816.52146,26479101.6413,93614333.7419,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-156625322.202,198259901.522,115598361.6,0.0,-25397038.8531,32148150.4469,-20223440.0,-14623184.5694,-18631611.15,0.0,-29144924.7089,36892309.758,-27050057.67,-4988314.2852,-10978185.959,440497476.0,10720317.8789,3775840.50206,23770783.4261,93892094.4756,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-137955363.067,174627041.857,115598361.6,0.0,-22369676.0303,28316045.608,-20223440.0,-14623184.5856,-18631611.15,0.0,-25670808.6103,32494694.4434,-27050057.67,-4988314.2852,-10978185.959,440497476.0,8945496.05453,3733084.95029,26108113.5486,98382001.3622,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-121374513.514,153638624.702,115598361.6,0.0,-19681065.5656,24912741.2222,-20223440.0,-14623184.6097,-18631611.15,0.0,-22585435.1532,28589158.4218,-27050057.67,-4988314.2852,-10978185.959,440497476.0,9378154.45578,3675708.11807,26108353.057,97669857.8344,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-112493018.133,142396225.485,115598361.6,0.0,-18240917.3182,23089768.7572,-20223440.0,-14623184.5897,-18631611.15,0.0,-20932761.6867,26497166.692,-27050057.67,-4988314.2852,-10978185.959,440497476.0,11268498.5334,3717580.76993,26351768.409,97065427.7736,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-110092990.931,139358216.368,115598361.6,0.0,-17851749.1859,22597150.8683,-20223440.0,-14623184.5346,-18631611.15,0.0,-20486163.3262,25931852.3116,-27050057.67,-4988314.2852,-10978185.959,440497476.0,8269998.75555,3768967.07116,26829805.7343,96975983.4561,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-107926785.301,136616183.925,115598361.6,0.0,-17500495.5842,22152526.0559,-20223440.0,-14623184.5538,-18631611.15,0.0,-20083074.6104,25421613.4309,-27050057.67,-4988314.2852,-10978185.959,440497476.0,6480996.53195,3819547.65201,27412114.7399,98106139.7728,0.0,-192.261130388,243.368519478,0.0,0.0
10,0.0,-105445457.102,133475262.155,115598361.6,0.0,-17098144.3693,21643220.7206,-20223440.0,-14623184.6298,-18631611.15,0.0,-19621347.7165,24837149.0082,-27050057.67,-4988314.2852,-10978185.959,440497476.0,12068565.1777,3857801.13516,27751034.0552,98843213.8807,0.0,-187.840884171,237.773271103,0.0,0.0
11,0.0,-103370697.021,130848983.571,115598361.6,0.0,-16761718.8051,21217365.576,-20223440.0,-14623184.5677,-18631611.15,0.0,-19235275.2378,24348449.6681,-27050057.67,-4988314.2852,-10978185.959,0.0,10526654.1948,3979586.83021,27701023.8518,98555442.6558,0.0,-184.144899737,233.094809794,0.0,0.0
12,0.0,-100994117.15,127840654.62,115598361.6,0.0,-16376352.694,20729560.3721,-20223440.0,-14623184.5435,-18631611.15,0.0,-18793039.9695,23788658.1892,-27050057.67,-4988314.2852,-10978185.959,0.0,11739210.454,4041821.73223,28503785.3443,100196261.531,0.0,-179.911252537,227.735762705,0.0,0.0
13,0.0,-99006942.2782,125325243.39,115598361.6,0.0,-16054129.2073,20321682.5408,-20223440.0,-14623184.5545,-18631611.15,0.0,-18423265.394,23320589.1063,-27050057.67,-4988314.2852,-10978185.959,0.0,15321555.282,4096254.29258,28893739.1889,100765508.704,0.0,-176.371292683,223.254800864,0.0,0.0
14,0.0,-96730688.8248,122443909.905,115598361.6,0.0,-15685031.1803,19854469.8485,-20223440.0,-14623184.5552,-18631611.15,0.0,-17999698.9197,22784429.0122,-27050057.67,-4988314.2852,-10978185.959,0.0,10712572.6029,4124937.72594,29166558.4705,101260111.883,0.0,-172.316367293,218.121983915,0.0,0.0
15,0.0,-94827401.7859,120034685.805,115598361.6,0.0,-15376410.2358,19463810.425,-20223440.0,-14623184.5672,-18631611.15,0.0,-17645534.2376,22336119.288,-27050057.67,-4988314.2852,-10978185.959,0.0,8966850.1929,4168798.81088,29371284.6667,101419343.839,0.0,-168.9258455,213.830184177,0.0,0.0
16,0.0,-46323619.7541,58637493.3596,115598361.6,0.0,-7511446.77097,9508160.46959,-20223440.0,-14623184.5715,-18631611.15,0.0,-8619924.23059,10911296.4944,-27050057.67,-4988314.2852,-10978185.959,0.0,9356819.24013,4189221.70211,29634376.0591,101966050.067,0.0,-82.5210486232,104.457023574,0.0,0.0
17,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.5413,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-10978185.959,0.0,11228431.5764,4227957.98139,30077860.0248,102993445.629,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.5804,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-10978185.959,0.0,8301201.77062,4262567.70016,30615239.8261,104303087.99,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.5901,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-10978185.959,0.0,6475625.4236,4320563.02879,30959548.0797,105077362.043,0.0,0.0,0.0,0.0,0.0
