smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-htse_capacity
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1386045652.04,836517.539619,-1386252638.02,-1384886492.56,-1386790839.53,-1386746022.22,-1385055501.47,4.0,699761594090.0,0.000771611513037,0.111111111111,0.125001065112,91,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1413221791.47,4694401.4166,-1414661852.04,-1406583117.83,-1416980343.97,-1416838402.77,-1407589095.37,4.0,22037404660200.0,0.000771582291858,0.111111111111,0.124996331281,51,4.6512022819799996e-14,0.0555555555556
1200.0,-685.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1467605309.49,4711974.67332,-1468049245.96,-1462497896.61,-1471824849.44,-1471759650.06,-1462829457.87,4.0,22202705322100.0,0.00154322302607,0.111111111111,0.125001065112,144,4.6512022819799996e-14,0.111111111111
1200.0,-685.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1469264645.55,5925882.918,-1468503776.8,-1462866369.84,-1477184658.76,-1475959443.07,-1463635064.28,4.0,35116088357800.0,0.00308644605215,0.111111111111,0.250002130224,134,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1496913604.46,3834182.25486,-1496235678.44,-1493723330.54,-1501459730.41,-1501048693.51,-1493727611.83,4.0,14700953563500.0,0.00308645189638,0.111111111111,0.250002603607,123,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1501982328.44,3494261.48026,-1502343988.25,-1497392880.55,-1505848456.69,-1505386250.31,-1498072082.82,4.0,12209863292400.0,0.00308639345403,0.111111111111,0.249997869776,113,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1502567234.39,9816210.22211,-1505540555.79,-1488331832.34,-1510855993.65,-1510080535.64,-1490891283.18,4.0,96357983124700.0,0.00308644605215,0.111111111111,0.250002130224,133,4.6512022819799996e-14,0.111111111111
1200.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1506234305.33,4253836.64126,-1506179364.37,-1501901359.03,-1510677133.56,-1510423621.0,-1502121907.02,4.0,18095126170600.0,0.00154322302607,0.111111111111,0.125001065112,143,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1565309107.03,5892564.27025,-1564918403.79,-1558605734.04,-1572793886.48,-1571793328.4,-1559371870.19,4.0,34722313679000.0,0.00308639345403,0.111111111111,0.249997869776,112,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1569766264.37,5094638.65626,-1571500099.38,-1562594889.73,-1573469968.98,-1573449189.68,-1563655970.03,4.0,25955343037900.0,0.00308645189638,0.111111111111,0.250002603607,122,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1576009565.27,4463337.09705,-1576471780.15,-1570813497.61,-1580281203.16,-1580107937.85,-1571264091.85,4.0,19921378041900.0,0.00308644605215,0.111111111111,0.250002130224,132,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1593197810.76,6318724.2032,-1593758852.31,-1586345992.43,-1598927546.0,-1598817775.66,-1586792387.7,4.0,39926275556100.0,0.00154322302607,0.111111111111,0.125001065112,142,4.6512022819799996e-14,0.111111111111
1200.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1613500859.85,5091835.2505,-1612088082.06,-1609428872.67,-1620398402.59,-1619481023.37,-1609498585.22,4.0,25926786218200.0,0.00154316458372,0.111111111111,0.124996331281,102,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1639438972.75,4931363.55669,-1637969032.37,-1635319602.37,-1646498223.88,-1645362381.57,-1635573480.45,4.0,24318346528200.0,0.00154319672701,0.111111111111,0.249997869776,111,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1643889140.27,6662202.95826,-1646294959.54,-1634104176.1,-1648862465.9,-1648588553.61,-1635821579.95,4.0,44384948257100.0,0.00154322594819,0.111111111111,0.250002603607,121,4.6512022819799996e-14,0.0555555555556
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1661510610.3,2321236.21778,-1661796373.99,-1658462603.34,-1663987089.89,-1663739106.17,-1658882045.27,4.0,5388137578730.0,0.00154322302607,0.111111111111,0.250002130224,131,4.6512022819799996e-14,0.0555555555556
1200.0,-585.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,792178.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1661970156.0,6376527.35219,-1659798259.02,-1657099616.31,-1671184489.64,-1669686553.15,-1657294414.62,4.0,40660101073300.0,0.00308644605215,0.111111111111,0.250002130224,185,4.6512022819799996e-14,0.111111111111
1200.0,-585.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1664558763.25,5670902.60058,-1665599391.55,-1656823413.43,-1670212856.46,-1669688782.72,-1657971864.14,4.0,32159136305300.0,0.00154322302607,0.111111111111,0.125001065112,195,4.6512022819799996e-14,0.111111111111
1200.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1056237.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1674919573.57,3498495.1674,-1674102715.73,-1671809273.67,-1679663589.17,-1679019320.54,-1671963427.59,4.0,12239468436300.0,0.000771611513037,0.111111111111,0.125001065112,141,4.6512022819799996e-14,0.0555555555556
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1693613633.59,3653316.62167,-1694733464.2,-1688563190.02,-1696424415.95,-1696386185.1,-1689273319.24,4.0,13346722338200.0,0.00308639345403,0.111111111111,0.249997869776,164,4.6512022819799996e-14,0.111111111111
1200.0,-685.0,-17217.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1697605521.13,4282800.02652,-1699052278.06,-1691329758.31,-1700987770.1,-1700710908.72,-1692474673.86,4.0,18342376067200.0,0.00308645189638,0.111111111111,0.250002603607,174,4.6512022819799996e-14,0.111111111111
