npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,742736565.356,2356207.38275,742736565.356,744402655.574,741070475.138,741237084.16,744236046.552,2.0,5551713230520.0,0.0078261378354,28,0.24999911444,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,741339087.097,1097210.69016,741339087.097,742114932.216,740563241.977,740640826.489,742037347.704,2.0,1203871298610.0,0.00195598529803,25,0.124998671661,4.07233133368e-14,0.124974348451,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,740088096.95,403091.78565,740088096.95,740373125.885,739803068.015,739831570.908,740344622.991,2.0,162482987658.0,0.00195654831992,101,0.12500044278,4.07233133368e-14,0.125008550516,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,727196106.371,1284325.33824,727196106.371,728104261.527,726287951.215,726378766.731,728013446.012,2.0,1649491574460.0,0.0155998617723,82,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,710379136.369,13583575.1064,710379136.369,719984174.439,700774098.298,701734602.105,719023670.632,2.0,184513512671000.0,0.0155998617723,63,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,696072857.783,11968454.7608,696072857.783,704535833.305,687609882.262,688456179.814,703689535.753,2.0,143243909360000.0,0.0156501344566,44,0.24999911444,4.07233133368e-14,0.249982898967,0.250420168067
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,693923777.886,2803302.71118,693923777.886,695906012.243,691941543.529,692139766.965,695707788.807,2.0,7858506090540.0,0.00779875336278,9,0.124998671661,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,606657541.796,9901226.20392,606657541.796,613658765.987,599656317.605,600356440.024,612958643.568,2.0,98034280341200.0,0.00782619327968,77,0.25000088556,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,597721762.116,2448725.85662,597721762.116,599453272.774,595990251.457,596163402.523,599280121.708,2.0,5996258320860.0,0.0155976172269,39,0.24999911444,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,576385385.654,25536745.7474,576385385.654,594442591.742,558328179.567,560133900.176,592636871.133,2.0,652125383369000.0,0.0155998617723,58,0.25000088556,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,569336309.729,10879903.4129,569336309.729,577029563.211,561643056.247,562412381.596,576260237.863,2.0,118372298274000.0,0.00391197059605,20,0.124998671661,4.07233133368e-14,0.124974348451,0.250420168067
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,538031540.322,2017858.9519,538031540.322,539458382.071,536604698.574,536747382.749,539315697.896,2.0,4071754749770.0,0.00391250589581,4,0.124998671661,4.07233133368e-14,0.249982898967,0.125210084034
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,465479206.329,3256398.58612,465479206.329,467781827.851,463176584.806,463406846.958,467551565.699,2.0,10604131751700.0,0.00782619327968,53,0.25000088556,4.07233133368e-14,0.250017101033,0.125210084034
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,445909662.082,23897042.54,445909662.082,462807422.913,429011901.252,430701677.335,461117646.83,2.0,571068642160000.0,0.0155976172269,34,0.24999911444,4.07233133368e-14,0.249982898967,0.249579831933
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,428197915.303,13480575.5567,428197915.303,437730121.694,418665708.913,419618929.552,436776901.055,2.0,181725917341000.0,0.00779993088613,107,0.12500044278,4.07233133368e-14,0.250017101033,0.249579831933
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,427686553.813,19243510.2834,427686553.813,441293770.428,414079337.198,415440058.86,439933048.767,2.0,370312688026000.0,0.00391199831061,50,0.24999911444,4.07233133368e-14,0.124974348451,0.125210084034
