smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,800199640.439,2002.93548897,800199640.439,800201056.728,800198224.149,800198365.778,800200915.099,2.0,4011750.57296,0.111112744118,0.000995603463273,0.0714226770094,3.52823036852e-13,41,0.125454545455
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,795133904.622,429340.659428,795133904.622,795437494.314,794830314.931,794860673.9,795407135.345,2.0,184333401838.0,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,77,0.250909090909
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,793631313.646,887956.996253,793631313.646,794259194.059,793003433.233,793066221.274,794196406.018,2.0,788467627194.0,0.111112156236,0.00199119639134,0.142845354019,3.52823036852e-13,71,0.125454545455
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,791514922.25,2353713.15362,791514922.25,793179248.782,789850595.718,790017028.372,793012816.129,2.0,5539965609530.0,0.0555501992922,0.00199098568719,0.142845354019,3.52823036852e-13,102,0.250909090909
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,791260727.531,376312.749536,791260727.531,791526820.829,790994634.234,791021243.564,791500211.499,2.0,141611285464.0,0.11110627741,0.00398218207852,0.142845354019,3.52823036852e-13,107,0.250909090909
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,791215756.266,920088.100735,791215756.266,791866356.801,790565155.73,790630215.784,791801296.747,2.0,846562113113.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,113,0.250909090909
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,760147001.789,176479.86037,760147001.789,760271791.895,760022211.683,760034690.693,760259312.884,2.0,31145141116.2,0.0555560781178,0.000497799097835,0.0714226770094,3.52823036852e-13,46,0.125454545455
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,756467002.04,128425.159554,756467002.04,756557812.341,756376191.738,756385272.768,756548731.311,2.0,16493021606.5,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,82,0.250909090909
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,754402929.955,482504.137168,754402929.955,754744111.902,754061748.007,754095866.202,754709993.707,2.0,232810242384.0,0.111112156236,0.00199119639134,0.142845354019,3.52823036852e-13,76,0.125454545455
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,752333234.32,2957236.2035,752333234.32,754424316.093,750242152.547,750451260.725,754215207.916,2.0,8745245963310.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,118,0.250909090909
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,750730234.541,3545717.26781,750730234.541,753237435.265,748223033.817,748473753.889,752986715.193,2.0,12572110943300.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,112,0.250909090909
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,738749774.122,439583.208171,738749774.122,739060606.389,738438941.854,738470025.081,739029523.162,2.0,193233396906.0,0.11110627741,0.00199109103926,0.142845354019,3.52823036852e-13,106,0.125454545455
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,716235765.111,688979.535161,716235765.111,716722947.213,715748583.01,715797301.22,716674229.003,2.0,474692799871.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,87,0.250909090909
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,714471135.928,569741.999748,714471135.928,714874004.36,714068267.497,714108554.34,714833717.517,2.0,324605946277.0,0.111112156236,0.00199119639134,0.142845354019,3.52823036852e-13,81,0.125454545455
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,711868759.716,2413566.79421,711868759.716,713575409.163,710162110.269,710332775.214,713404744.218,2.0,5825304670100.0,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,123,0.250909090909
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,710188663.41,521900.805029,710188663.41,710557703.009,709819623.812,709856527.772,710520799.049,2.0,272380450290.0,0.0555501992922,0.000995492843593,0.142845354019,3.52823036852e-13,101,0.125454545455
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,709144317.708,148259.288675,709144317.708,709249152.856,709039482.559,709049966.074,709238669.341,2.0,21980816678.3,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,117,0.250909090909
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,709072910.479,4835998.22072,709072910.479,712492477.614,705653343.343,705995300.057,712150520.901,2.0,23386878790800.0,0.11110627741,0.00395446760626,0.142886614953,3.52823036852e-13,159,0.249090909091
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,701275311.957,2806599.55054,701275311.957,703259877.531,699290746.383,699489202.94,703061420.974,2.0,7877001037110.0,0.111112744118,0.00199120692655,0.142845354019,3.52823036852e-13,111,0.125454545455
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,676230499.841,470249.758317,676230499.841,676563016.634,675897983.048,675931234.728,676529764.955,2.0,221134835197.0,0.111112744118,0.00398241385309,0.142845354019,3.52823036852e-13,92,0.250909090909
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,673714561.215,2035367.59683,673714561.215,675153783.445,672275338.985,672419261.208,675009861.222,2.0,4142721254220.0,0.111112744118,0.00199120692655,0.142845354019,3.52823036852e-13,86,0.125454545455
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,670806853.649,2693506.69326,670806853.649,672711450.496,668902256.801,669092716.485,672520990.812,2.0,7254978306630.0,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,128,0.250909090909
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,670198660.255,1032540.04109,670198660.255,670928776.32,669468544.19,669541555.797,670855764.714,2.0,1066138936460.0,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,122,0.250909090909
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,667587606.778,1685096.63588,667587606.778,668779150.036,666396063.52,666515217.846,668659995.711,2.0,2839550672260.0,0.11110627741,0.00398333233331,0.142886614953,3.52823036852e-13,158,0.250909090909
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,666884223.853,599184.428672,666884223.853,667307911.225,666460536.48,666502905.217,667265542.488,2.0,359021979563.0,0.111112744118,0.00395469776777,0.142886614953,3.52823036852e-13,164,0.249090909091
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,666283211.732,3426233.36757,666283211.732,668705924.58,663860498.884,664102770.168,668463653.295,2.0,11739075089100.0,0.0555501992922,0.00199156078415,0.142886614953,3.52823036852e-13,153,0.250909090909
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,658778125.75,496434.645353,658778125.75,659129158.054,658427093.446,658462196.676,659094054.823,2.0,246447357107.0,0.111112744118,0.00199120692655,0.142845354019,3.52823036852e-13,116,0.125454545455
720.0,-636.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,635309596.084,674579.330064,635309596.084,635786595.703,634832596.465,634880296.427,635738895.741,2.0,455057272549.0,0.0555560781178,0.00199119639134,0.142845354019,3.52823036852e-13,97,0.250909090909
720.0,-705.0,-15988.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,632839188.933,39994.0239451,632839188.933,632867468.978,632810908.887,632813736.892,632864640.974,2.0,1599521951.32,0.111112744118,0.00199120692655,0.142845354019,3.52823036852e-13,91,0.125454545455
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,631046919.41,2154448.77185,631046919.41,632570344.747,629523494.074,629675836.608,632418002.213,2.0,4641649510510.0,0.0555501992922,0.000981348792189,0.142886614953,3.52823036852e-13,205,0.123636363636
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,629937721.177,977863.738165,629937721.177,630629175.258,629246267.097,629315412.505,630560029.85,2.0,956217490418.0,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,133,0.250909090909
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,472511.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,629241343.478,40214.9714236,629241343.478,629269779.757,629212907.199,629215750.827,629266936.129,2.0,1617243926.6,0.111112156236,0.00398239278268,0.142845354019,3.52823036852e-13,127,0.250909090909
720.0,-498.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,628961475.928,3059927.1234,628961475.928,631125171.147,626797780.709,627014150.231,630908801.625,2.0,9363154000540.0,0.111112744118,0.00395469776777,0.142886614953,3.52823036852e-13,169,0.249090909091
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,625953145.741,1418234.98419,625953145.741,626955989.316,624950302.167,625050586.524,626855704.959,2.0,2011390470370.0,0.111112744118,0.00398356417483,0.142886614953,3.52823036852e-13,163,0.250909090909
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,619377517.038,2793404.21102,619377517.038,621352752.098,617402281.978,617599805.484,621155228.592,2.0,7803107086150.0,0.111112156236,0.00199119639134,0.142845354019,3.52823036852e-13,121,0.125454545455
