smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,240429776.973,11496192.5841,240429776.973,248558812.707,232300741.239,233113644.812,247745909.133,2.0,132162443931000.0,0.00391331593177,2.6175466018599997e-14,0.124999250922,0.25,0.125226860254,2
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,135094714.571,7188193.43382,135094714.571,140177534.892,130011894.249,130520176.281,139669252.86,2.0,51670124842000.0,0.00391389666791,2.6175466018599997e-14,0.249999500615,0.125018050542,0.125226860254,26
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-8409720.35104,8569942.52632,-8409720.35104,-2349855.8763,-14469584.8258,-13863598.3783,-2955842.32377,2.0,73443914904500.0,0.00782550166399,2.6175466018599997e-14,0.124999250922,0.249963898917,0.250453720508,8
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-81824423.1727,17469827.1858,-81824423.1727,-69471389.9035,-94177456.4419,-92942153.115,-70706693.2304,2.0,305194861902000.0,0.00779827450171,2.6175466018599997e-14,0.124999250922,0.25,0.249546279492,19
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-134879130.856,11795320.5829,-134879130.856,-126538579.685,-143219682.026,-142385626.909,-127372634.802,2.0,139129587653000.0,0.0156533262635,2.6175466018599997e-14,0.249999500615,0.25,0.250453720508,32
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-179023497.572,8849178.13184,-179023497.572,-172766183.707,-185280811.437,-184655080.05,-173391915.093,2.0,78307953609000.0,0.00391275083199,2.6175466018599997e-14,0.124999250922,0.249963898917,0.125226860254,3
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-201287187.589,715491.697325,-201287187.589,-200781258.558,-201793116.62,-201742523.717,-200831851.461,2.0,511928368940.0,0.00782666313177,2.6175466018599997e-14,0.249999500615,0.25,0.125226860254,27
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-224131480.368,10569327.9284,-224131480.368,-216657836.917,-231605123.818,-230857759.473,-217405201.262,2.0,111710692859000.0,0.00779827450171,2.6175466018599997e-14,0.124999250922,0.25,0.249546279492,14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-270150224.647,949090.364772,-270150224.647,-269479116.414,-270821332.88,-270754222.056,-269546227.237,2.0,900772520503.0,0.00195694051577,2.6175466018599997e-14,0.124999250922,0.125018050542,0.125226860254,25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-379280462.33,39173457.9341,-379280462.33,-351580644.583,-406980280.078,-404210298.303,-354350626.357,2.0,1534559806510000.0,0.0155943590951,2.6175466018599997e-14,0.249999500615,0.249963898917,0.249546279492,38
