smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,prefix
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,cooper,nebraska,nebraska,894871662.931,5376937.49294,897296198.459,898062556.289,886831698.515,888359642.611,897989333.51,4.0,28911456803000.0,1.20542198438e-11,0.5,0.125,0.5,0.5,1
720.0,-705.1,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,881228487.559,2110698.33825,881652296.802,883026338.307,878583018.327,878866717.385,882996924.794,4.0,4455047475080.0,1.20542198438e-11,0.5,0.125,0.5,0.5,3
720.0,-352.55,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,cooper,nebraska,nebraska,138479778.901,10213951.6388,138921726.75,147862364.385,128213297.718,128661788.25,147679042.563,4.0,104324808079000.0,1.20542198438e-11,0.5,0.125,0.5,0.5,6
720.0,-352.55,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,119793134.164,25374536.1854,122354623.135,143499915.903,90963374.4839,93241061.3748,142759122.395,4.0,643867086626000.0,1.20542198438e-11,0.5,0.125,0.5,0.5,8
720.0,-705.1,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-183737714.93,7854463.74339,-185982263.826,-172929810.972,-190056521.096,-189898666.811,-174434394.594,4.0,61692600696200.0,1.20542198438e-11,0.5,0.125,0.5,0.5,5
720.0,-705.1,-7746.7,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-211881305.695,30780528.1136,-205170022.549,-183119329.207,-254065848.475,-248010672.743,-185147735.052,4.0,947440910950000.0,1.20542198438e-11,0.5,0.125,0.5,0.5,7
720.0,-352.55,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,30375.5,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-421839759251000.0,8810191.49314,-421839758491000.0,-421839750941000.0,-421839769081000.0,-421839768354000.0,-421839751211000.0,4.0,77619474145800.0,1.20542198438e-11,0.5,0.125,0.5,0.5,2
720.0,-352.55,-15493.4,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,60751.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-421839772411000.0,10188984.3803,-421839771900000.0,-421839760514000.0,-421839785331000.0,-421839783483000.0,-421839762055000.0,4.0,103815402703000.0,1.20542198438e-11,0.5,0.125,0.5,0.5,4
