smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,141756806.364,258439.725201,141756806.364,141939550.846,141574061.882,141592336.33,141921276.398,2.0,66791091562.2,0.125018050542,0.00391384975812,26,0.125226860254,1.83230531396e-13,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,69062864.1662,97421.44591,69062864.1662,69131751.5312,68993976.8011,69000865.5376,69124862.7947,2.0,9490938123.19,0.125018050542,0.00391395921408,51,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,3417154.00272,2306831.65916,3417154.00272,5048330.31197,1785977.69346,1949095.32439,4885212.68104,2.0,5321472303730.0,0.25,0.0156531386514,32,0.250453720508,1.83230531396e-13,0.249996504259
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-4665324.69345,398099.61243,-4665324.69345,-4383825.75792,-4946823.62899,-4918673.73544,-4411975.65147,2.0,158483301417.0,0.125018050542,0.00391395921408,76,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-68049189.2218,884225.661576,-68049189.2218,-67423947.2604,-68674431.1832,-68611906.9871,-67486471.4566,2.0,781855020590.0,0.25,0.0156535764121,57,0.250453720508,1.83230531396e-13,0.250003495741
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-77347171.5555,78830.4287446,-77347171.5555,-77291430.0247,-77402913.0862,-77397338.9331,-77297004.1778,2.0,6214236496.05,0.125018050542,0.00195697413424,101,0.125226860254,1.83230531396e-13,0.125001398296
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-82499034.2291,314617.037859,-82499034.2291,-82276566.3881,-82721502.07,-82699255.2859,-82298813.1722,2.0,98983880511.0,0.25,0.00391318616671,2,0.125226860254,1.83230531396e-13,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-91797824.7175,941205.458567,-91797824.7175,-91132291.9552,-92463357.4797,-92396804.2035,-91198845.2314,2.0,885867715235.0,0.25,0.00782656932572,27,0.125226860254,1.83230531396e-13,0.249996504259
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-124819580.517,3676410.30227,-124819580.517,-122219965.862,-127419195.172,-127159233.706,-122479927.327,2.0,13515992710600.0,0.249963898917,0.0155941721897,38,0.249546279492,1.83230531396e-13,0.249996504259
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-144080916.06,3133381.51656,-144080916.06,-141865280.741,-146296551.378,-146074987.846,-142086844.273,2.0,9818079728310.0,0.25,0.0156535764121,82,0.250453720508,1.83230531396e-13,0.250003495741
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-163469507.357,1549694.87081,-163469507.357,-162373707.605,-164565307.109,-164455727.134,-162483287.58,2.0,2401554192610.0,0.25,0.00779801591193,19,0.249546279492,1.83230531396e-13,0.124995105963
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-166810889.74,1183274.23374,-166810889.74,-165974188.505,-167647590.975,-167563920.851,-166057858.629,2.0,1400137912240.0,0.25,0.00782678820604,52,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-200141426.361,372014.40235,-200141426.361,-199878372.454,-200404480.267,-200378174.877,-199904677.845,2.0,138394715556.0,0.249963898917,0.0155946083013,63,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-214747573.175,195677.744637,-214747573.175,-214609208.115,-214885938.235,-214872101.729,-214623044.621,2.0,38289779746.4,0.249963898917,0.00782524217136,8,0.250453720508,1.83230531396e-13,0.124995105963
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-216509324.031,988246.854905,-216509324.031,-215810527.978,-217208120.083,-217138240.478,-215880407.584,2.0,976631846229.0,0.25,0.00782676631801,107,0.250453720508,1.83230531396e-13,0.125001398296
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-230312641.042,1860493.34169,-230312641.042,-228997073.584,-231628208.5,-231496651.755,-229128630.33,2.0,3461435474490.0,0.249963898917,0.0156508782704,33,0.250453720508,1.83230531396e-13,0.249996504259
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-238450575.209,3410601.91499,-238450575.209,-236038915.467,-240862234.951,-240621068.977,-236280081.441,2.0,11632205422500.0,0.25,0.015596424381,44,0.249546279492,1.83230531396e-13,0.249996504259
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-241654303.539,604943.18377,-241654303.539,-241226544.112,-242082062.967,-242039287.024,-241269320.054,2.0,365956255590.0,0.25,0.00782678820604,77,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-265756461.24,94027.0579243,-265756461.24,-265689974.07,-265822948.411,-265816299.694,-265696622.787,2.0,8841087621.91,0.125018050542,0.00195687562387,25,0.125226860254,1.83230531396e-13,0.124995105963
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-273063356.564,1764294.17956,-273063356.564,-271815812.185,-274310900.942,-274186146.504,-271940566.623,2.0,3112733952040.0,0.249963898917,0.0155946083013,88,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-305313559.75,2522245.44011,-305313559.75,-303530062.896,-307097056.605,-306918706.919,-303708412.581,2.0,6361722060140.0,0.249963898917,0.0156513159678,58,0.250453720508,1.83230531396e-13,0.250003495741
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-316386590.568,2640146.31586,-316386590.568,-314519725.205,-318253455.931,-318066769.395,-314706411.741,2.0,6970372569170.0,0.25,0.003913383159,102,0.125226860254,1.83230531396e-13,0.125001398296
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-316416822.081,7529505.86699,-316416822.081,-311092657.423,-321740986.738,-321208570.273,-311625073.889,2.0,56693458601000.0,0.25,0.0155968605555,69,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-328469164.188,896443.088896,-328469164.188,-327835283.201,-329103045.175,-329039657.077,-327898671.3,2.0,803610211629.0,0.25,0.00779801591193,14,0.249546279492,1.83230531396e-13,0.124995105963
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-335784664.575,1792644.30004,-335784664.575,-334517073.634,-337052255.516,-336925496.422,-334643832.728,2.0,3213573586460.0,0.125018050542,0.00391384975812,50,0.125226860254,1.83230531396e-13,0.249996504259
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-344379450.388,1229477.2172,-344379450.388,-343510078.71,-345248822.065,-345161884.898,-343597015.878,2.0,1511614227600.0,0.249963898917,0.00779728234506,113,0.249546279492,1.83230531396e-13,0.125001398296
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-353523681.462,2251290.43144,-353523681.462,-351931778.731,-355115584.192,-354956393.919,-352090969.004,2.0,5068308606700.0,0.249963898917,0.0078254391352,28,0.125226860254,1.83230531396e-13,0.249996504259
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-357838169.505,5143901.06269,-357838169.505,-354200882.182,-361475456.828,-361111728.096,-354564610.914,2.0,26459718142800.0,0.25,0.015596424381,39,0.249546279492,1.83230531396e-13,0.249996504259
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-373442536.675,483637.540975,-373442536.675,-373100553.29,-373784520.06,-373750321.721,-373134751.628,2.0,233905271041.0,0.249963898917,0.00391262108568,3,0.125226860254,1.83230531396e-13,0.124995105963
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-375657418.686,208170.295466,-375657418.686,-375510220.058,-375804617.313,-375789897.451,-375524939.921,2.0,43334871914.4,0.249963898917,0.0156513159678,83,0.250453720508,1.83230531396e-13,0.250003495741
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-387657153.478,3621514.56354,-387657153.478,-385096355.972,-390217950.984,-389961871.234,-385352435.723,2.0,13115367733900.0,0.25,0.0155968605555,94,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-400252575.376,164277.596682,-400252575.376,-400136413.573,-400368737.178,-400357120.998,-400148029.753,2.0,26987128771.8,0.125018050542,0.00391395921408,75,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-425981137.67,5676533.15297,-425981137.67,-421967222.584,-429995052.756,-429593661.248,-422368614.093,2.0,32223028636700.0,0.125018050542,0.00389957098961,20,0.249546279492,1.83230531396e-13,0.124995105963
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-427792954.885,1457594.4543,-427792954.885,-426762279.962,-428823629.808,-428720562.316,-426865347.455,2.0,2124581593200.0,0.249963898917,0.00782565798392,53,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-431321065.901,2004482.07365,-431321065.901,-429903683.034,-432738448.768,-432596710.481,-430045421.321,2.0,4017948383580.0,0.25,0.0155968605555,64,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-454211111.377,875944.168704,-454211111.377,-453591725.315,-454830497.439,-454768558.832,-453653663.921,2.0,767278186686.0,0.249963898917,0.00782563609905,108,0.250453720508,1.83230531396e-13,0.125001398296
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-461980681.434,1908624.01312,-461980681.434,-460631080.452,-463330282.417,-463195322.318,-460766040.55,2.0,3642845623470.0,0.25,0.00779840846903,119,0.249546279492,1.83230531396e-13,0.125001398296
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-472519955.02,2976385.23558,-472519955.02,-470415332.837,-474624577.204,-474414114.985,-470625795.055,2.0,8858869070590.0,0.125018050542,0.0077993382861,45,0.249546279492,1.83230531396e-13,0.249996504259
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-477404779.971,10913354.3373,-477404779.971,-469687873.114,-485121686.829,-484349996.143,-470459563.8,2.0,119101302891000.0,0.125018050542,0.00391395921408,100,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-488452469.984,2465337.76112,-488452469.984,-486709212.935,-490195727.033,-490021401.328,-486883538.64,2.0,6077890276430.0,0.25,0.0156531386514,34,0.250453720508,1.83230531396e-13,0.249996504259
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-494282842.959,2564506.34147,-494282842.959,-492469463.135,-496096222.784,-495914884.801,-492650801.117,2.0,6576692775440.0,0.25,0.00782637233343,9,0.250453720508,1.83230531396e-13,0.124995105963
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-501056807.387,638635.243458,-501056807.387,-500605224.076,-501508390.698,-501463232.367,-500650382.407,2.0,407854974186.0,0.249963898917,0.00782565798392,78,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-505346290.46,4999027.31523,-505346290.46,-501811444.346,-508881136.574,-508527651.963,-502164928.958,2.0,24990274098400.0,0.25,0.0155968605555,89,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-535166661.72,2468091.52559,-535166661.72,-533421457.466,-536911865.974,-536737345.549,-533595977.891,2.0,6091475778670.0,0.125018050542,0.00779955640487,70,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-556782291.712,12730135.0206,-556782291.712,-547780726.914,-565783856.511,-564883700.031,-548680883.393,2.0,162056337642000.0,0.125018050542,0.00195697413424,125,0.125226860254,1.83230531396e-13,0.125001398296
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-570997127.624,2822339.19111,-570997127.624,-569001432.443,-572992822.804,-572793253.286,-569201001.961,2.0,7965598509650.0,0.25,0.0156535764121,59,0.250453720508,1.83230531396e-13,0.250003495741
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-577132179.88,1340139.1773,-577132179.88,-576184558.38,-578079801.38,-577985039.23,-576279320.53,2.0,1795973014530.0,0.249963898917,0.00391281804952,103,0.125226860254,1.83230531396e-13,0.125001398296
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-577717840.051,2231158.6188,-577717840.051,-576140172.662,-579295507.441,-579137740.702,-576297939.401,2.0,4978068782230.0,0.25,0.00779840846903,114,0.249546279492,1.83230531396e-13,0.125001398296
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-584681195.3,903029.282839,-584681195.3,-584042657.171,-585319733.43,-585255879.617,-584106510.984,2.0,815461885664.0,0.125018050542,0.00389957098961,15,0.249546279492,1.83230531396e-13,0.124995105963
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-619066052.859,722719.117375,-619066052.859,-618555013.27,-619577092.448,-619525988.489,-618606117.229,2.0,522322922619.0,0.125018050542,0.00779955640487,95,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-623545870.114,680300.155571,-623545870.114,-623064825.261,-624026914.968,-623978810.482,-623112929.746,2.0,462808301670.0,0.125018050542,0.0077993382861,40,0.249546279492,1.83230531396e-13,0.249996504259
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-639097131.803,1851300.39905,-639097131.803,-637788064.737,-640406198.869,-640275292.163,-637918971.444,2.0,3427313167520.0,0.25,0.00782656932572,29,0.125226860254,1.83230531396e-13,0.249996504259
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-642839241.046,2260327.00814,-642839241.046,-641240948.491,-644437533.601,-644277704.346,-641400777.747,2.0,5109078183740.0,0.25,0.0156535764121,84,0.250453720508,1.83230531396e-13,0.250003495741
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-658020202.283,3167365.73834,-658020202.283,-655780536.491,-660259868.075,-660035901.496,-656004503.07,2.0,10032205720400.0,0.25,0.00391318616671,4,0.125226860254,1.83230531396e-13,0.124995105963
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-693978040.517,4819617.97405,-693978040.517,-690570055.965,-697386025.069,-697045226.614,-690910854.42,2.0,23228717415700.0,0.125018050542,0.0038997672965,120,0.249546279492,1.83230531396e-13,0.125001398296
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-695791952.701,682553.994628,-695791952.701,-695309314.143,-696274591.259,-696226327.403,-695357577.999,2.0,465879955583.0,0.125018050542,0.00779955640487,65,0.249546279492,1.83230531396e-13,0.250003495741
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-709652006.462,297432.633681,-709652006.462,-709441689.83,-709862323.094,-709841291.431,-709462721.493,2.0,88466171578.7,0.25,0.00782678820604,54,0.125226860254,1.83230531396e-13,0.250003495741
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-720539625.504,3791680.31266,-720539625.504,-717858502.643,-723220748.366,-722952636.079,-718126614.929,2.0,14376839593400.0,0.25,0.00782676631801,109,0.250453720508,1.83230531396e-13,0.125001398296
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-751867801.724,3029727.04414,-751867801.724,-749725461.186,-754010142.262,-753795908.208,-749939695.24,2.0,9179245961990.0,0.125018050542,0.00391375124775,10,0.250453720508,1.83230531396e-13,0.124995105963
