smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,PointProbability
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1432157046.57,108818.758577,-1432157046.57,-1432080100.09,-1432233993.06,-1432226298.41,-1432087794.74,2.0,11841522218.2,0.5,0.5,5,0.5,0.125,7.15560056468e-08
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1432575192.63,1162256.99423,-1432575192.63,-1431753352.83,-1433397032.43,-1433314848.45,-1431835536.81,2.0,1350841320630.0,0.5,0.5,1,0.5,0.125,7.15560056468e-08
720.0,-333.5,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1777688117.04,286752.158301,-1777688117.04,-1777485352.64,-1777890881.43,-1777870604.99,-1777505629.08,2.0,82226800290.1,0.5,0.5,4,0.5,0.125,7.15560056468e-08
720.0,-333.5,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1781783357.99,2870607.96877,-1781783357.99,-1779753531.63,-1783813184.35,-1783610201.71,-1779956514.26,2.0,8240390110340.0,0.5,0.5,8,0.5,0.125,7.15560056468e-08
720.0,-667.0,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2174525363.49,4447936.4235,-2174525363.49,-2171380197.49,-2177670529.5,-2177356012.9,-2171694714.09,2.0,19784138427500.0,0.5,0.5,6,0.5,0.125,7.15560056468e-08
720.0,-667.0,-8380.85,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2177069679.67,5272122.46365,-2177069679.67,-2173341726.13,-2180797633.22,-2180424837.86,-2173714521.48,2.0,27795275271700.0,0.5,0.5,2,0.5,0.125,7.15560056468e-08
720.0,-333.5,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-578083155728000.0,1174297.35804,-578083155728000.0,-578083154898000.0,-578083156559000.0,-578083156475000.0,-578083154981000.0,2.0,1378974285100.0,0.5,0.5,7,0.5,0.125,7.15560056468e-08
720.0,-333.5,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,5.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-578083156438000.0,6545793.71624,-578083156438000.0,-578083151810000.0,-578083161067000.0,-578083160604000.0,-578083152273000.0,2.0,42847415375500.0,0.5,0.5,3,0.5,0.125,7.15560056468e-08
