smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,78057907.5163,1937227.39468,78057907.5163,79427734.1437,76688080.8888,76825063.5515,79290751.481,2.0,3752849978700.0,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.000343445534943,401
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,58841943.6989,10861002.0524,58841943.6989,66521831.9007,51162055.4972,51930044.3174,65753843.0805,2.0,117961365582000.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137417895726,312
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,56376372.5435,1547468.36025,56376372.5435,57470597.9147,55282147.1723,55391569.7094,57361175.3776,2.0,2394658325970.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137418115324,223
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,53778117.6998,7677634.71104,53778117.6998,59207025.2675,48349210.1322,48892100.8889,58664134.5107,2.0,58946074756200.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,134
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,26267507.5102,8408615.4632,26267507.5102,32213296.5246,20321718.4958,20916297.3972,31618717.6232,2.0,70704814008000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000686869116419,14
720.0,-598.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,22012086.2524,3103402.61252,22012086.2524,24206523.2845,19817649.2203,20037092.9235,23987079.5813,2.0,9631107775370.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137418115324,213
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,20598076.2878,2766973.07087,20598076.2878,22554621.7096,18641530.866,18837185.4082,22358967.1674,2.0,7656139974940.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.00068708947863,302
720.0,-529.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,11753260.7108,13174047.4701,11753260.7108,21068719.0126,2437802.409,3369348.23918,20137173.1824,2.0,173555526744000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,124
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-36924048.8924,7446435.16227,-36924048.8924,-31658624.0935,-42189473.6913,-41662931.2114,-32185166.5733,2.0,55449396625900.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111111604332,0.000687090576621,203
720.0,-460.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-39240794.7362,32241903.8155,-39240794.7362,-16442325.9099,-62039263.5624,-59759416.6798,-18722172.7925,2.0,1039540361650000.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.055553937791,0.000686869116419,35
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1564426.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-51274651.3342,1940208.5346,-51274651.3342,-49902716.7224,-52646585.9459,-52509392.4847,-50039910.1836,2.0,3764409157720.0,0.055548424363,3.6760970142599995e-14,0.0556451612903,0.111111604332,0.00034344608378,501
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-51275872.5259,146197.538135,-51275872.5259,-51172495.2553,-51379249.7965,-51368912.0694,-51182832.9823,2.0,21373720156.8,0.111096848726,3.6760970142599995e-14,0.0556451612903,0.055553937791,0.00034343455821,4
720.0,-598.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-52153645.3439,461029.940005,-52153645.3439,-51827647.947,-52479642.7408,-52447043.0012,-51860247.6867,2.0,212548605581.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111109828737,0.00137376238165,114
720.0,-598.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-59663625.312,1036622.10536,-59663625.312,-58930622.7917,-60396627.8322,-60323327.5802,-59003923.0438,2.0,1074585389330.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137417895726,412
720.0,-460.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-70265827.4226,6936607.1286,-70265827.4226,-65360905.4835,-75170749.3617,-74680257.1678,-65851397.6774,2.0,48116518456500.0,0.111096848726,3.6760970142599995e-14,0.111290322581,0.111111604332,0.00137378433512,234
720.0,-323.0,-8106.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-72152512.9286,4892658.78848,-72152512.9286,-68692880.7212,-75612145.1359,-75266181.9152,-69038843.942,2.0,23938110020500.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.055553937791,0.000681891803981,56
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-75506237.842,7159050.20163,-75506237.842,-70444024.8976,-80568450.7865,-80062229.492,-70950246.1921,2.0,51251999789400.0,0.111096848726,3.6760970142599995e-14,0.110483870968,0.111109828737,0.00136380758179,145
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-86823738.9191,11070780.2726,-86823738.9191,-78995515.1153,-94651962.7229,-93869140.3425,-79778337.4957,2.0,122562175845000.0,0.111128939092,3.6760970142599995e-14,0.111290322581,0.111111426772,0.00137417895726,323
720.0,-667.0,-11568.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-99825422.5636,7432306.71388,-99825422.5636,-94569988.0863,-105080857.041,-104555313.593,-95095531.534,2.0,55239183089200.0,0.111096848726,3.6760970142599995e-14,0.0556451612903,0.111109828737,0.000686881190826,104
720.0,-667.0,-15031.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-103867194.574,3095183.2196,-103867194.574,-101678569.531,-106055819.618,-105836957.113,-101897432.035,2.0,9580159162880.0,0.111128939092,3.6760970142599995e-14,0.0556451612903,0.111111426772,0.00068708947863,402
