npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1910971234.81,133964.356939,1910971234.81,1911065961.92,1910876507.71,1910885980.42,1911056489.21,2.0,17946448930.1,1.74117872884e-13,0.124645892351,1,0.00194757553204,0.124991734973,0.125007204196
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1863537407.81,141759.654982,1863537407.81,1863637647.03,1863437168.6,1863447192.52,1863627623.11,2.0,20095799780.6,1.74117872884e-13,0.124645892351,26,0.00389533385232,0.249995200952,0.125007204196
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1810487678.24,98405.7116595,1810487678.24,1810557261.59,1810418094.9,1810425053.23,1810550303.25,2.0,9683684087.2,1.74117872884e-13,0.124645892351,51,0.00389550002345,0.250005865503,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1776144711.61,3832286.42129,1776144711.61,1778854547.33,1773434875.9,1773705859.47,1778583563.76,2.0,14686419214800.0,1.74117872884e-13,0.25,7,0.00781243366828,0.124991734973,0.250014408391
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1757421683.6,116399.214636,1757421683.6,1757503990.27,1757339376.92,1757347607.59,1757495759.6,2.0,13548777167.9,1.74117872884e-13,0.124645892351,76,0.00389548340634,0.250004799048,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,117213.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1733210931.09,540110.554593,1733210931.09,1733592846.93,1732829015.26,1732867206.84,1733554655.34,2.0,291719411183.0,1.74117872884e-13,0.25,32,0.0156256005667,0.249995200952,0.250014408391
894.0,-894.0,-21978.0,-1e+200,-1e+200,-1e+200,-1e+200,468853.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1704566968.29,362989.95309,1704566968.29,1704823640.95,1704310295.64,1704335962.9,1704797973.69,2.0,131761706044.0,1.74117872884e-13,0.124645892351,101,0.00194774170317,0.125002399524,0.125007204196
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,234427.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1676489770.67,1877552.48958,1676489770.67,1677817400.77,1675162140.58,1675294903.59,1677684637.76,2.0,3525203351110.0,1.74117872884e-13,0.25,57,0.0156262671395,0.250005865503,0.250014408391
894.0,-541.0,-13302.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1650541194.04,2710480.63308,1650541194.04,1652457793.27,1648624594.8,1648816254.73,1652266133.35,2.0,7346705262320.0,1.74117872884e-13,0.25,13,0.00781153320336,0.124991734973,0.249985591609
894.0,-718.0,-17640.0,-1e+200,-1e+200,-1e+200,-1e+200,351640.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1622674431.43,1007626.53844,1622674431.43,1623386930.99,1621961931.87,1622033181.83,1623315681.03,2.0,1015311240970.0,1.74117872884e-13,0.25,82,0.0156262004822,0.250004799048,0.250014408391
