smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,1047564563.6,40060.1132547,1047564563.6,1047592890.38,1047536236.83,1047539069.5,1047590057.7,2.0,1604812673.98,0.1,7,0.00200001607205,1.2171516948100001e-13,0.100002567295,0.199996472705
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,975597684.138,14889.944751,975597684.138,975608212.919,975587155.357,975588208.235,975607160.041,2.0,221710454.689,0.1,13,0.00200007486181,1.2171516948100001e-13,0.100002567295,0.20000235153
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,510312.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,903657048.642,293808.785731,903657048.642,903864802.827,903449294.457,903470069.876,903844027.408,2.0,86323602572.6,0.1,19,0.00200007486181,1.2171516948100001e-13,0.100002567295,0.20000235153
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,896201511.219,422566.256538,896201511.219,896500310.684,895902711.753,895932591.7,896470430.737,2.0,178562241165.0,0.2,38,0.0039998503852,1.2171516948100001e-13,0.200001925471,0.0999952969395
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,680416.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,832031779.247,109047.193553,832031779.247,832108887.257,831954671.237,831962382.038,832101176.456,2.0,11891290421.8,0.1,25,0.00200007486181,1.2171516948100001e-13,0.100002567295,0.20000235153
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,823864813.052,1155077.83633,823864813.052,824681576.423,823048049.681,823129726.018,824599900.086,2.0,1334204807980.0,0.2,44,0.00799993592568,1.2171516948100001e-13,0.200001925471,0.199996472705
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,760279347.107,181843.7172,760279347.107,760407930.033,760150764.182,760163622.474,760395071.74,2.0,33067137485.0,0.1,31,0.00100003743091,1.2171516948100001e-13,0.100002567295,0.100001175765
720.0,-581.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,340208.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,753167060.631,953205.36112,753167060.631,753841078.606,752493042.657,752560444.454,753773676.809,2.0,908600460469.0,0.2,50,0.00800017108097,1.2171516948100001e-13,0.200001925471,0.20000235153
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,749003451.601,163451.227641,749003451.601,749119029.073,748887874.13,748899431.877,749107471.325,2.0,26716303817.4,0.1,37,0.0019999251926,1.2171516948100001e-13,0.200001925471,0.0999952969395
720.0,-705.1,-14603.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,170104.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,743254386.196,1844757.41959,743254386.196,744558826.677,741949945.715,742080389.764,744428382.629,2.0,3403129937110.0,0.1,43,0.00399996796284,1.2171516948100001e-13,0.200001925471,0.199996472705
