smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,265595195.336,23941.943233,265595195.336,265612124.847,265578265.826,265579958.777,265610431.896,2.0,573216645.772,26,1.83230531396e-13,0.125226860254,0.00391384975812,0.249996504259,0.125018050542
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,172388647.465,839086.460264,172388647.465,172981971.191,171795323.739,171854656.112,172922638.819,2.0,704066087799.0,51,1.83230531396e-13,0.125226860254,0.00391395921408,0.250003495741,0.125018050542
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,93829580.4461,313148.316435,93829580.4461,94051009.7442,93608151.148,93630294.0778,94028866.8143,2.0,98061868085.8,32,1.83230531396e-13,0.250453720508,0.0156531386514,0.249996504259,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,78415396.8878,172060.466347,78415396.8878,78537062.0103,78293731.7653,78305898.2775,78524895.4981,2.0,29604804079.6,76,1.83230531396e-13,0.125226860254,0.00391395921408,0.250003495741,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,10892074.5296,1893760.53492,10892074.5296,12231165.4458,9552983.61338,9686892.705,12097256.3541,2.0,3586328963620.0,2,1.83230531396e-13,0.125226860254,0.00391318616671,0.124995105963,0.25
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,448250.738631,428068.676326,448250.738631,750941.002474,145560.474788,175829.501172,720671.97609,2.0,183242791651.0,57,1.83230531396e-13,0.250453720508,0.0156535764121,0.250003495741,0.25
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-14690159.6065,193014.294657,-14690159.6065,-14553677.8899,-14826641.3231,-14812993.1514,-14567326.0615,2.0,37254517941.8,101,1.83230531396e-13,0.125226860254,0.00195697413424,0.125001398296,0.125018050542
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-19971098.6838,1742755.80433,-19971098.6838,-18738784.2366,-21203413.131,-21080181.6862,-18862015.6813,2.0,3037197793510.0,27,1.83230531396e-13,0.125226860254,0.00782656932572,0.249996504259,0.25
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-65144790.067,2972172.55756,-65144790.067,-63043146.6966,-67246433.4373,-67036269.1002,-63253311.0337,2.0,8833809711920.0,38,1.83230531396e-13,0.249546279492,0.0155941721897,0.249996504259,0.249963898917
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,536375.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-91603828.093,1329652.91673,-91603828.093,-90663621.499,-92544034.6871,-92450014.0277,-90757642.1584,2.0,1767976878960.0,82,1.83230531396e-13,0.250453720508,0.0156535764121,0.250003495741,0.25
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-113915252.326,3059646.38174,-113915252.326,-111751755.621,-116078749.03,-115862399.36,-111968105.292,2.0,9361435981280.0,52,1.83230531396e-13,0.125226860254,0.00782678820604,0.250003495741,0.25
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-114655693.573,200976.954288,-114655693.573,-114513581.405,-114797805.74,-114783594.523,-114527792.622,2.0,40391736154.9,19,1.83230531396e-13,0.249546279492,0.00779801591193,0.124995105963,0.25
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-153412205.072,3207068.84293,-153412205.072,-151144464.945,-155679945.198,-155453171.186,-151371238.958,2.0,10285290563300.0,8,1.83230531396e-13,0.250453720508,0.00782524217136,0.124995105963,0.249963898917
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-161262755.79,155067.231676,-161262755.79,-161153106.699,-161372404.881,-161361439.972,-161164071.608,2.0,24045846339.7,63,1.83230531396e-13,0.249546279492,0.0155946083013,0.250003495741,0.249963898917
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-187098080.282,4143443.83453,-187098080.282,-184168223.049,-190027937.515,-189734951.792,-184461208.773,2.0,17168126809900.0,33,1.83230531396e-13,0.250453720508,0.0156508782704,0.249996504259,0.249963898917
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,715166.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-187175326.007,1956647.44008,-187175326.007,-185791767.333,-188558884.68,-188420528.813,-185930123.201,2.0,3828469204760.0,107,1.83230531396e-13,0.250453720508,0.00782676631801,0.125001398296,0.25
