npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1067747354.49,3544352.68942,1067747354.49,1070253590.31,1065241118.67,1065491742.25,1070002966.73,2.0,12562435987000.0,0.250017101033,0.125210084034,52,4.07233133368e-14,0.25000088556,0.00782619327968
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1006761750.45,34154483.5041,1006761750.45,1030912617.34,982610883.557,985025970.246,1028497530.65,2.0,1166528743430000.0,0.250017101033,0.125210084034,28,4.07233133368e-14,0.24999911444,0.0078261378354
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,997969783.54,25494462.2233,997969783.54,1015997090.66,979942476.419,981745207.131,1014194359.95,2.0,649967604055000.0,0.249982898967,0.250420168067,44,4.07233133368e-14,0.24999911444,0.0156501344566
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,992241293.166,1877447.29667,992241293.166,993568848.881,990913737.451,991046493.023,993436093.309,2.0,3524808351760.0,0.249982898967,0.249579831933,9,4.07233133368e-14,0.124998671661,0.00779875336278
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,979134253.656,1267722.79185,979134253.656,980030669.039,978237838.273,978327479.811,979941027.5,2.0,1607121076960.0,0.124974348451,0.250420168067,20,4.07233133368e-14,0.124998671661,0.00391197059605
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,957273469.626,6636954.84097,957273469.626,961966505.401,952580433.852,953049737.429,961497201.823,2.0,44049169561100.0,0.249982898967,0.249579831933,39,4.07233133368e-14,0.24999911444,0.0155976172269
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,947904006.038,24005291.1917,947904006.038,964878310.224,930929701.852,932627132.271,963180879.806,2.0,576254005198000.0,0.250017101033,0.249579831933,63,4.07233133368e-14,0.25000088556,0.0155998617723
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,873040690.623,717243.537099,873040690.623,873547858.392,872533522.854,872584239.631,873497141.615,2.0,514438291511.0,0.250017101033,0.249579831933,58,4.07233133368e-14,0.25000088556,0.0155998617723
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,871146644.884,1669069.99429,871146644.884,872326855.596,869966434.173,870084455.244,872208834.524,2.0,2785794645830.0,0.250017101033,0.249579831933,82,4.07233133368e-14,0.25000088556,0.0155998617723
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,852075220.049,66773562.5697,852075220.049,899291258.946,804859181.152,809580785.042,894569655.057,2.0,4458708658240000.0,0.124974348451,0.125210084034,50,4.07233133368e-14,0.24999911444,0.00391199831061
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,845064758.088,29839536.8289,845064758.088,866164496.927,823965019.248,826074993.132,864054523.043,2.0,890397958164000.0,0.249982898967,0.125210084034,4,4.07233133368e-14,0.124998671661,0.00391250589581
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,829810738.804,2097781.93458,829810738.804,831294094.636,828327382.973,828475718.556,831145759.053,2.0,4400689045040.0,0.249982898967,0.249579831933,34,4.07233133368e-14,0.24999911444,0.0155976172269
