smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight-ft_capacity,PointProbability,ProbabilityWeight
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1740392495.11,1160104.4545,-1740741128.86,-1738711379.17,-1741376343.55,-1741282980.84,-1739013922.14,4.0,1345842345340.0,0.142851127809,0.0714534883721,73,0.142857142857,9.43922884283e-14,0.00145817305712
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1759692795.41,441747.661951,-1759600775.78,-1759282218.0,-1760287412.05,-1760207250.39,-1759307167.89,4.0,195140996839.0,0.0714211779319,0.0714534883721,65,0.142857142857,9.43922884283e-14,0.000729041758125
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1777838691.0,1011242.64515,-1777583662.41,-1777010252.35,-1779177186.84,-1779010085.81,-1777024336.22,4.0,1022611687380.0,0.14285902256,0.0714534883721,81,0.142857142857,9.43922884283e-14,0.0014582536439
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1815046722.45,427136.643705,-1815006853.63,-1814668984.11,-1815504198.41,-1815476095.19,-1814673166.04,4.0,182445712396.0,0.14285902256,0.0714534883721,89,0.142857142857,9.43922884283e-14,0.0014582536439
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1853261286.18,963469.254855,-1853275757.2,-1852363671.94,-1854129958.37,-1854119178.51,-1852383134.41,4.0,928273005051.0,0.142859899754,0.0714534883721,97,0.142857142857,9.43922884283e-14,0.00145826259799
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1890900467.74,1087830.81741,-1890383922.35,-1890302857.72,-1892531168.51,-1892210450.8,-1890313648.21,4.0,1183375887310.0,0.142859899754,0.0714534883721,105,0.142857142857,9.43922884283e-14,0.00145826259799
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1910234156.15,994549.200142,-1910202853.21,-1909133963.82,-1911396954.37,-1911285164.11,-1909226972.31,4.0,989128111503.0,0.0714211779319,0.142848837209,131,0.142857142857,9.43922884283e-14,0.0014574903171
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,488579.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1928074425.15,742226.068791,-1928176905.77,-1927149513.03,-1928794376.04,-1928755620.16,-1927249757.29,4.0,550899537193.0,0.142859899754,0.0714534883721,113,0.142857142857,9.43922884283e-14,0.00145826259799
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1947690295.87,737131.929083,-1947699335.85,-1946788326.31,-1948574185.46,-1948462834.32,-1946905101.44,4.0,543363480874.0,0.142851127809,0.142848837209,139,0.142857142857,9.43922884283e-14,0.00291515964308
960.0,-945.1,-20663.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,570009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1965713443.62,449376.073619,-1965793452.42,-1965121576.31,-1966145293.34,-1966117664.61,-1965197210.31,4.0,201938855541.0,0.0714299498771,0.0714534883721,121,0.142857142857,9.43922884283e-14,0.000729131298995
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1984488759.91,425223.512941,-1984591376.16,-1983899989.36,-1984872297.98,-1984847791.16,-1983986065.93,4.0,180815035958.0,0.14285902256,0.142848837209,147,0.142857142857,9.43922884283e-14,0.00291532075107
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,244289.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2022534073.14,519481.933091,-2022610498.22,-2021848093.88,-2023067202.26,-2023020718.74,-2021940432.44,4.0,269861478808.0,0.14285902256,0.142848837209,155,0.142857142857,9.43922884283e-14,0.00291532075107
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,81430.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2032754353.86,1011942.35505,-2032979733.0,-2031375228.62,-2033682720.8,-2033625487.64,-2031567689.27,4.0,1024027329940.0,0.142851127809,0.142848837209,138,0.142857142857,9.43922884283e-14,0.00291515964308
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2050092335.25,1058359.55569,-2050139837.23,-2048751766.95,-2051337899.57,-2051167257.55,-2048950910.17,4.0,1120124949110.0,0.0714211779319,0.142848837209,130,0.142857142857,9.43922884283e-14,0.0014574903171
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,325719.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2059559220.96,787323.737839,-2059897097.57,-2058391580.81,-2060051107.91,-2060045101.92,-2058600312.76,4.0,619878668165.0,0.142859899754,0.142848837209,163,0.142857142857,9.43922884283e-14,0.00291533865196
960.0,-822.2,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,162860.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2069407175.41,1247548.11416,-2069771185.38,-2067643540.45,-2070442790.43,-2070391936.3,-2067912800.56,4.0,1556376297140.0,0.14285902256,0.142848837209,146,0.142857142857,9.43922884283e-14,0.00291532075107
960.0,-699.4,-17575.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,407149.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-2098555298.19,1800077.71946,-2099153513.47,-2095939600.08,-2099974565.77,-2099892338.86,-2096380756.14,4.0,3240279796080.0,0.142859899754,0.142848837209,171,0.142857142857,9.43922884283e-14,0.00291533865196
