smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,474461397.779,10787978.5416,474461397.779,482089650.561,466833144.997,467595970.275,481326825.283,2.0,116380481015000.0,2,0.00391331593177,0.124999250922,2.6175466018599997e-14,0.25,0.125226860254
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,330663625.852,2737198.62105,330663625.852,332599117.558,328728134.145,328921683.316,332405568.388,2.0,7492256291060.0,26,0.00391389666791,0.249999500615,2.6175466018599997e-14,0.125018050542,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,295212142.639,3946060.5546,295212142.639,298002428.816,292421856.462,292700885.08,297723400.199,2.0,15571393900500.0,8,0.00782550166399,0.124999250922,2.6175466018599997e-14,0.249963898917,0.250453720508
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,263006083.364,3597729.0216,263006083.364,265550061.952,260462104.776,260716502.635,265295664.093,2.0,12943654112800.0,19,0.00779827450171,0.124999250922,2.6175466018599997e-14,0.25,0.249546279492
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,121306015.173,16964456.5758,121306015.173,133301697.457,109310332.889,110509901.118,132102129.229,2.0,287792786914000.0,32,0.0156533262635,0.249999500615,2.6175466018599997e-14,0.25,0.250453720508
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,93287524.7959,9014829.83569,93287524.7959,99661972.104,86913077.4879,87550522.2187,99024527.3732,2.0,81267156966500.0,3,0.00391275083199,0.124999250922,2.6175466018599997e-14,0.249963898917,0.125226860254
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,87560610.4083,4945399.35403,87560610.4083,91057535.8272,84063684.9894,84413377.5313,90707843.2853,2.0,24456974770800.0,25,0.00195694051577,0.124999250922,2.6175466018599997e-14,0.125018050542,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,69452434.9527,18741440.4058,69452434.9527,82704634.5529,56200235.3525,57525455.3126,81379414.5928,2.0,351241588485000.0,14,0.00779827450171,0.124999250922,2.6175466018599997e-14,0.25,0.249546279492
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,48658188.6055,104650.266333,48658188.6055,48732187.5185,48584189.6925,48591589.5838,48724787.6272,2.0,10951678243.6,27,0.00782666313177,0.249999500615,2.6175466018599997e-14,0.25,0.125226860254
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-67461104.5172,40522673.0101,-67461104.5172,-38807247.64,-96114961.3945,-93249575.7067,-41672633.3277,2.0,1642087027880000.0,20,0.00389970030317,0.124999250922,2.6175466018599997e-14,0.125018050542,0.249546279492
