smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-266298821.061,9399802.55477,-266298821.061,-259652156.933,-272945485.189,-272280818.777,-260316823.346,2.0,88356288068600.0,0.249963898917,0.00391273051049,0.125226860254,0.124998601718,5.2351036610599995e-14,3
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-301524271.142,5926577.30105,-301524271.142,-297333548.143,-305714994.14,-305295921.841,-297752620.443,2.0,35124318505300.0,0.249963898917,0.0156510345916,0.250453720508,0.249999001227,5.2351036610599995e-14,33
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-308024677.401,17725322.156,-308024677.401,-295490981.906,-320558372.897,-319305003.347,-296744351.456,2.0,314187045535000.0,0.25,0.00782671003417,0.125226860254,0.250000998773,5.2351036610599995e-14,52
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-370976875.694,16934467.05,-370976875.694,-359002399.207,-382951352.181,-381753904.532,-360199846.856,2.0,286776174267000.0,0.25,0.00779823400012,0.249546279492,0.124998601718,5.2351036610599995e-14,14
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-431037701.896,9302150.79835,-431037701.896,-424460087.986,-437615315.805,-436957554.414,-425117849.377,2.0,86530009475200.0,0.125018050542,0.00195693035208,0.125226860254,0.124998601718,5.2351036610599995e-14,25
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-439562220.856,13221314.1418,-439562220.856,-430213339.97,-448911101.742,-447976213.653,-431148228.058,2.0,174803147636000.0,0.249963898917,0.00782551729578,0.125226860254,0.249999001227,5.2351036610599995e-14,28
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,2503082.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-449503778.337,1990314.10013,-449503778.337,-448096413.741,-450911142.934,-450770406.475,-448237150.2,2.0,3961350217190.0,0.125018050542,0.00195695849761,0.125226860254,0.125000399509,5.2351036610599995e-14,101
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-470107649.863,3435177.5682,-470107649.863,-467678612.51,-472536687.216,-472293783.48,-467921516.245,2.0,11800444925000.0,0.249963898917,0.0155944525465,0.249546279492,0.250000998773,5.2351036610599995e-14,63
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-472229293.207,11351284.0924,-472229293.207,-464202723.25,-480255863.164,-479453206.169,-465005380.246,2.0,128851650545000.0,0.25,0.0156534200683,0.250453720508,0.250000998773,5.2351036610599995e-14,82
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-487594245.06,36540724.5631,-487594245.06,-461756050.932,-513432439.188,-510848619.775,-464339870.345,2.0,1335224551600000.0,0.25,0.0155965801582,0.249546279492,0.249999001227,5.2351036610599995e-14,44
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-508322303.276,85091.005246,-508322303.276,-508262134.849,-508382471.703,-508376454.86,-508268151.692,2.0,7240479173.77,0.25,0.00782659121466,0.250453720508,0.124998601718,5.2351036610599995e-14,9
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,625771.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-569613343.912,539176.996757,-569613343.912,-569232088.202,-569994599.623,-569956474.052,-569270213.773,2.0,290711833832.0,0.25,0.0155965801582,0.249546279492,0.249999001227,5.2351036610599995e-14,39
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-572155112.447,13626286.5899,-572155112.447,-562519872.797,-581790352.097,-580826828.132,-563483396.762,2.0,185675686229000.0,0.25,0.00782671003417,0.125226860254,0.250000998773,5.2351036610599995e-14,77
