smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-339337951.137,3553233.61252,-339847622.723,-334657845.799,-342998713.304,-342677998.734,-335284363.321,4.0,12625469105100.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,63
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-342444648.003,2574015.10738,-343050301.978,-338890943.405,-344787044.649,-344634041.997,-339407338.442,4.0,6625553773030.0,0.249546279492,1.7334191682000001e-13,0.124994709051,0.00779855422245,0.250018051845,52
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-353091299.745,2586252.98746,-353185178.569,-350205940.7,-355788901.141,-355621992.125,-350429177.01,4.0,6688704515130.0,0.250453720508,1.7334191682000001e-13,0.124994709051,0.00782578236135,0.249981948155,79
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-360570736.534,1563086.60022,-360505077.081,-358830443.556,-362442348.418,-362246004.171,-358987392.131,4.0,2443239719780.0,0.249546279492,1.7334191682000001e-13,0.249996693157,0.0155975623434,0.250018051845,57
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-413255607.588,621222.831754,-413416207.33,-412402887.097,-413787128.594,-413764442.993,-412521932.544,4.0,385917806692.0,0.125226860254,1.7334191682000001e-13,0.125001984106,0.00391368407525,0.250018051845,46
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-414137354.514,2407782.01052,-414135679.045,-411282762.159,-416995297.808,-416676362.361,-411600692.324,4.0,5797414210170.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,68
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-430308157.481,3821735.17145,-430714382.595,-425281676.408,-434522188.324,-434023218.243,-426024381.557,4.0,14605659720700.0,0.250453720508,1.7334191682000001e-13,0.249996693157,0.015652020206,0.249981948155,84
720.0,-567.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-439261968.803,1809832.86104,-438588461.003,-437957590.997,-441913362.211,-441460612.609,-438006235.919,4.0,3275494984880.0,0.249546279492,1.7334191682000001e-13,0.250003306843,0.0155979749784,0.250018051845,62
720.0,-705.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-484230051.529,1322935.12798,-484378997.456,-482489461.659,-485672749.544,-485511390.794,-482740187.965,4.0,1750157352860.0,0.125226860254,1.7334191682000001e-13,0.249996693157,0.00782714037597,0.250018051845,56
720.0,-430.0,-10794.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-493977000.706,790484.697458,-493955645.75,-493148881.775,-494847829.547,-494783518.706,-493200379.643,4.0,624866056915.0,0.249546279492,1.7334191682000001e-13,0.125001984106,0.00779900812097,0.250018051845,73
