npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,prefix,PointProbability
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,840932761.237,819570.880141,840932761.237,841512285.364,840353237.11,840411189.523,841454332.952,2.0,671696427575.0,0.0155998617723,0.25000088556,0.250017101033,0.249579831933,57,4.07233133368e-14
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,817667348.169,7187295.42901,817667348.169,822749533.505,812585162.833,813093381.366,822241314.972,2.0,51657215583800.0,0.0155997512558,0.24999911444,0.250017101033,0.249579831933,33,4.07233133368e-14
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,747598313.226,815984.642655,747598313.226,748175301.5,747021324.952,747079023.779,748117602.673,2.0,665830937049.0,0.00391309663984,0.25000088556,0.125008550516,0.125210084034,76,4.07233133368e-14
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,737606838.911,27191544.7668,737606838.911,756834164.607,718379513.216,720302245.785,754911432.037,2.0,739380106804000.0,0.0156501344566,0.24999911444,0.249982898967,0.250420168067,44,4.07233133368e-14
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,733686134.384,3655647.28957,733686134.384,736271067.372,731101201.396,731359694.695,736012574.073,2.0,13363757105700.0,0.00782619327968,0.25000088556,0.250017101033,0.125210084034,52,4.07233133368e-14
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,709447518.102,4584383.28761,709447518.102,712689166.612,706205869.591,706530034.443,712365001.761,2.0,21016570127700.0,0.0078261378354,0.24999911444,0.250017101033,0.125210084034,28,4.07233133368e-14
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,694048916.779,7093195.2128,694048916.779,699064563.215,689033270.344,689534834.988,698562998.571,2.0,50313418326900.0,0.00779875336278,0.124998671661,0.249982898967,0.249579831933,9,4.07233133368e-14
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,690571419.115,28833064.5934,690571419.115,710959474.611,670183363.618,672222169.168,708920669.062,2.0,831345613850000.0,0.00391197059605,0.124998671661,0.124974348451,0.250420168067,20,4.07233133368e-14
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,633732254.459,13372241.9987,633732254.459,643187857.456,624276651.462,625222211.762,642242297.157,2.0,178816856072000.0,0.0155998617723,0.25000088556,0.250017101033,0.249579831933,63,4.07233133368e-14
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,613734200.691,31516921.7098,613734200.691,636020029.754,591448371.628,593676954.534,633791446.848,2.0,993316354064000.0,0.0155976172269,0.24999911444,0.249982898967,0.249579831933,39,4.07233133368e-14
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,574925139.718,30680457.8822,574925139.718,596619499.536,553230779.899,555400215.881,594450063.554,2.0,941290495862000.0,0.00391199831061,0.24999911444,0.124974348451,0.125210084034,50,4.07233133368e-14
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,562174056.405,4531226.50695,562174056.405,565378117.395,558969995.414,559290401.513,565057711.296,2.0,20532013657300.0,0.00389884317795,0.124998671661,0.124974348451,0.249579831933,15,4.07233133368e-14
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,550408741.501,12167534.3826,550408741.501,559012487.573,541804995.429,542665370.036,558152112.966,2.0,148048892952000.0,0.0155998617723,0.25000088556,0.250017101033,0.249579831933,82,4.07233133368e-14
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,545763174.115,41910112.987,545763174.115,575398099.209,516128249.022,519091741.531,572434606.699,2.0,1756457570580000.0,0.00391250589581,0.124998671661,0.249982898967,0.125210084034,4,4.07233133368e-14
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,545059753.164,3058074.88907,545059753.164,547222138.656,542897367.673,543113606.222,547005900.107,2.0,9351822027140.0,0.0155998617723,0.25000088556,0.250017101033,0.249579831933,58,4.07233133368e-14
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,507355796.759,22947947.3668,507355796.759,523582445.957,491129147.562,492751812.482,521959781.037,2.0,526608288348000.0,0.0155976172269,0.24999911444,0.249982898967,0.249579831933,34,4.07233133368e-14
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,472866289.798,7289200.00359,472866289.798,478020532.55,467712047.046,468227471.321,477505108.274,2.0,53132436692400.0,0.00782399662122,0.24999911444,0.124974348451,0.250420168067,45,4.07233133368e-14
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,460263939.207,2603202.74978,460263939.207,462104681.524,458423196.89,458607271.122,461920607.293,2.0,6776664556480.0,0.00195654831992,0.12500044278,0.125008550516,0.125210084034,101,4.07233133368e-14
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,451191866.089,37071047.1751,451191866.089,477405054.933,424978677.246,427599996.13,474783736.048,2.0,1374262538660000.0,0.01565024533,0.25000088556,0.249982898967,0.250420168067,69,4.07233133368e-14
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,442377249.684,22185167.5387,442377249.684,458064532.092,426689967.275,428258695.516,456495803.851,2.0,492181658722000.0,0.00782619327968,0.25000088556,0.250017101033,0.125210084034,77,4.07233133368e-14
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,413953797.946,19463796.3485,413953797.946,427716780.331,400190815.56,401567113.799,426340482.093,2.0,378839368296000.0,0.00782619327968,0.25000088556,0.250017101033,0.125210084034,53,4.07233133368e-14
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,409802461.246,742497.967716,409802461.246,410327486.594,409277435.898,409329938.433,410274984.06,2.0,551303232063.0,0.00389884317795,0.124998671661,0.124974348451,0.249579831933,10,4.07233133368e-14
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,376197670.521,12770627.134,376197670.521,385227867.567,367167473.474,368070493.179,384324847.862,2.0,163088917397000.0,0.00782506722831,0.24999911444,0.249982898967,0.125210084034,29,4.07233133368e-14
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,353320512.415,17883981.2393,353320512.415,365966396.824,340674628.006,341939216.447,364701808.383,2.0,319836784968000.0,0.0155998617723,0.25000088556,0.250017101033,0.249579831933,88,4.07233133368e-14
