npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1598489035.73,251484.57752,1598489035.73,1598666862.18,1598311209.28,1598328991.92,1598649079.53,2.0,63244492730.2,0.00195638614221,2.85069050095e-13,1,0.125008550516,0.12499008153,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1558674816.01,245449.937191,1558674816.01,1558848375.33,1558501256.7,1558518612.63,1558831019.4,2.0,60245671667.0,0.00391298574928,2.85069050095e-13,26,0.125008550516,0.249993800956,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1514692123.93,179000.2893,1514692123.93,1514818696.25,1514565551.61,1514578208.84,1514806039.02,2.0,32041103569.5,0.00391317980826,2.85069050095e-13,51,0.125008550516,0.250006199044,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1470555899.43,253326.062515,1470555899.43,1470735028.01,1470376770.86,1470394683.72,1470717115.15,2.0,64174093949.3,0.00391317980826,2.85069050095e-13,76,0.125008550516,0.250006199044,0.125210084034
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1426252210.25,330660.437413,1426252210.25,1426486022.49,1426018398.01,1426041779.24,1426462641.27,2.0,109336324870.0,0.00195659960708,2.85069050095e-13,101,0.125008550516,0.125003719426,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1396420650.36,11137450.2142,1396420650.36,1404296016.94,1388545283.79,1389332820.45,1403508480.28,2.0,124042797274000.0,0.00779928435215,2.85069050095e-13,7,0.250017101033,0.12499008153,0.249579831933
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1365427702.97,2460469.7246,1365427702.97,1367167517.8,1363687888.15,1363861869.63,1366993536.32,2.0,6053911265660.0,0.0155994196985,2.85069050095e-13,32,0.250017101033,0.249993800956,0.249579831933
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1306173091.81,1725428.96871,1306173091.81,1307393154.33,1304953029.29,1305075035.54,1307271148.08,2.0,2977105126070.0,0.0156001933296,2.85069050095e-13,57,0.250017101033,0.250006199044,0.249579831933
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1273829741.79,2295888.42883,1273829741.79,1275453180.07,1272206303.51,1272368647.34,1275290836.24,2.0,5271103677640.0,0.0156001933296,2.85069050095e-13,82,0.250017101033,0.250006199044,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1267309019.79,151202.468936,1267309019.79,1267415936.08,1267202103.5,1267212795.13,1267405244.45,2.0,22862186612.5,0.00782597149857,2.85069050095e-13,27,0.250017101033,0.249993800956,0.125210084034
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1248543446.25,1261845.47727,1248543446.25,1249435705.74,1247651186.75,1247740412.7,1249346479.79,2.0,1592254008520.0,0.00391277228441,2.85069050095e-13,2,0.250017101033,0.12499008153,0.125210084034
769.0,-620.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1223067476.33,931745.434502,1223067476.33,1223726319.84,1222408632.81,1222474517.17,1223660435.49,2.0,868149554716.0,0.00780013534634,2.85069050095e-13,107,0.250017101033,0.125003719426,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1220008672.75,4639580.29277,1220008672.75,1223289351.44,1216727994.06,1217056061.93,1222961283.57,2.0,21525705293100.0,0.00782635961652,2.85069050095e-13,52,0.250017101033,0.250006199044,0.125210084034
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1207834260.77,8796273.5156,1207834260.77,1214054165.42,1201614356.12,1202236346.58,1213432174.96,2.0,77374427761300.0,0.00779928435215,2.85069050095e-13,13,0.250017101033,0.12499008153,0.249579831933
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1179365081.91,1019176.42728,1179365081.91,1180085748.47,1178644415.35,1178716482.0,1180013681.81,2.0,1038720589920.0,0.0155994196985,2.85069050095e-13,38,0.250017101033,0.249993800956,0.249579831933
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1177130073.64,5329395.32702,1177130073.64,1180898525.22,1173361622.07,1173738467.22,1180521680.06,2.0,28402454551700.0,0.00782635961652,2.85069050095e-13,77,0.250017101033,0.250006199044,0.125210084034
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1134603130.63,916207.128227,1134603130.63,1135250986.91,1133955274.36,1134020059.99,1135186201.28,2.0,839435501813.0,0.00391319921416,2.85069050095e-13,102,0.250017101033,0.125003719426,0.125210084034
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1127312198.19,6758642.7856,1127312198.19,1132091280.33,1122533116.04,1123011024.26,1131613372.12,2.0,45679252303300.0,0.0156001933296,2.85069050095e-13,63,0.250017101033,0.250006199044,0.249579831933
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1087023049.66,996515.718216,1087023049.66,1087727692.68,1086318406.63,1086388870.94,1087657228.38,2.0,993043576651.0,0.0156001933296,2.85069050095e-13,88,0.250017101033,0.250006199044,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1071164385.18,16391367.4301,1071164385.18,1082754832.24,1059573938.12,1060732982.82,1081595787.53,2.0,268676926230000.0,0.0155994196985,2.85069050095e-13,33,0.250017101033,0.249993800956,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1052919319.73,7431495.61877,1052919319.73,1058174180.68,1047664458.79,1048189944.88,1057648694.58,2.0,55227127131800.0,0.00779928435215,2.85069050095e-13,8,0.250017101033,0.12499008153,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1028554537.79,16089860.8621,1028554537.79,1039931787.52,1017177288.07,1018315013.04,1038794062.54,2.0,258883622560000.0,0.0156001933296,2.85069050095e-13,58,0.250017101033,0.250006199044,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1027011599.97,25871606.4122,1027011599.97,1045305588.3,1008717611.63,1010547010.46,1043476189.47,2.0,669340018350000.0,0.00782447404289,2.85069050095e-13,19,0.249982898967,0.12499008153,0.250420168067
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1026427059.76,22305229.4092,1026427059.76,1042199238.74,1010654880.79,1012232098.69,1040622020.84,2.0,497523258997000.0,0.00780013534634,2.85069050095e-13,113,0.250017101033,0.125003719426,0.249579831933
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,983197687.663,12633913.5536,983197687.663,992131213.61,974264161.717,975157514.311,991237861.015,2.0,159615771679000.0,0.0156001933296,2.85069050095e-13,83,0.250017101033,0.250006199044,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,976286174.787,27234422.5857,976286174.787,995543819.679,957028529.895,958954294.384,993618055.189,2.0,741713773575000.0,0.0156498018285,2.85069050095e-13,44,0.249982898967,0.249993800956,0.250420168067
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,948660034.071,11360027.7599,948660034.071,956692786.734,940627281.407,941430556.673,955889511.468,2.0,129050230707000.0,0.00782597149857,2.85069050095e-13,28,0.250017101033,0.249993800956,0.125210084034
769.0,-620.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,936702207.518,19360496.0316,936702207.518,950392145.549,923012269.487,924381263.29,949023151.746,2.0,374828806589000.0,0.00780013534634,2.85069050095e-13,108,0.250017101033,0.125003719426,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,929148288.07,45229984.6588,929148288.07,961130716.935,897165859.205,900364102.091,957932474.048,2.0,2045751512240000.0,0.0156505779582,2.85069050095e-13,69,0.249982898967,0.250006199044,0.250420168067
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,913190408.15,5534552.98461,913190408.15,917103928.096,909276888.203,909668240.198,916712576.101,2.0,30631276739500.0,0.00782635961652,2.85069050095e-13,53,0.250017101033,0.250006199044,0.125210084034
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,909542209.982,2438051.45632,909542209.982,911266172.7,907818247.265,907990643.536,911093776.428,2.0,5944094903650.0,0.00391277228441,2.85069050095e-13,3,0.250017101033,0.12499008153,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,883328855.787,6794127.32265,883328855.787,888133029.289,878524682.285,879005099.635,887652611.939,2.0,46160166076400.0,0.00779821741859,2.85069050095e-13,14,0.249982898967,0.12499008153,0.249579831933
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,881451896.073,26139185.5707,881451896.073,899935091.445,862968700.701,864817020.239,898086771.908,2.0,683257022299000.0,0.0156505779582,2.85069050095e-13,94,0.249982898967,0.250006199044,0.250420168067
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,879259767.091,6364447.50229,879259767.091,883760111.078,874759423.103,875209457.502,883310076.679,2.0,40506192009400.0,0.00195585087924,2.85069050095e-13,25,0.124974348451,0.12499008153,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,878893102.999,20583506.576,878893102.999,893447840.079,864338365.918,865793839.626,891992366.371,2.0,423680742965000.0,0.0155972857149,2.85069050095e-13,39,0.249982898967,0.249993800956,0.249579831933
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,871835709.547,3235252.81792,871835709.547,874123378.754,869548040.341,869776807.261,873894611.833,2.0,10466860795900.0,0.00782635961652,2.85069050095e-13,78,0.250017101033,0.250006199044,0.125210084034
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,861645177.718,6589867.2733,861645177.718,866304917.554,856985437.882,857451411.865,865838943.57,2.0,43426350679700.0,0.00782532778557,2.85069050095e-13,119,0.249982898967,0.125003719426,0.250420168067
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,843019475.405,4653835.44426,843019475.405,846310234.006,839728716.804,840057792.664,845981158.146,2.0,21658184342300.0,0.00391191516495,2.85069050095e-13,50,0.124974348451,0.249993800956,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,828910836.53,19624161.7091,828910836.53,842787214.35,815034458.71,816422096.492,841399576.568,2.0,385107722784000.0,0.0155980592402,2.85069050095e-13,64,0.249982898967,0.250006199044,0.249579831933
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,810128371.008,25116143.2967,810128371.008,827888166.25,792368575.765,794144555.29,826112186.726,2.0,630820654101000.0,0.00391319921416,2.85069050095e-13,103,0.250017101033,0.125003719426,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,790448214.467,2357789.06352,790448214.467,792115423.102,788781005.831,788947726.695,791948702.239,2.0,5559169268070.0,0.0155980592402,2.85069050095e-13,89,0.249982898967,0.250006199044,0.249579831933
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,755312029.041,51712152.1276,755312029.041,791878042.48,718746015.602,722402616.946,788221441.137,2.0,2674146677670000.0,0.00391210917083,2.85069050095e-13,75,0.124974348451,0.250006199044,0.125210084034
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,752455543.002,18042481.7433,752455543.002,765213504.192,739697581.812,740973377.931,763937708.073,2.0,325531147459000.0,0.00779906829636,2.85069050095e-13,114,0.249982898967,0.125003719426,0.249579831933
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,748828498.279,18276062.1554,748828498.279,761751625.763,735905370.796,737197683.544,760459313.015,2.0,334014447907000.0,0.00391210917083,2.85069050095e-13,100,0.124974348451,0.250006199044,0.125210084034
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,737916589.721,7244470.58687,737916589.721,743039203.999,732793975.443,733306236.871,742526942.571,2.0,52482354084000.0,0.0155972857149,2.85069050095e-13,34,0.249982898967,0.249993800956,0.249579831933
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,719891132.636,4269168.16522,719891132.636,722909890.395,716872374.876,717174250.652,722608014.619,2.0,18225796822900.0,0.0155980592402,2.85069050095e-13,59,0.249982898967,0.250006199044,0.249579831933
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,712238314.96,18403459.023,712238314.96,725251525.633,699225104.288,700526425.355,723950204.565,2.0,338687304013000.0,0.00391170175848,2.85069050095e-13,20,0.124974348451,0.12499008153,0.250420168067
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,692238681.89,26427047.0352,692238681.89,710925426.056,673551937.725,675420612.141,709056751.639,2.0,698388814999000.0,0.0078238303299,2.85069050095e-13,45,0.124974348451,0.249993800956,0.250420168067
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,688607749.798,24386914.0193,688607749.798,705851902.073,671363597.522,673088012.75,704127486.845,2.0,594721575384000.0,0.00779821741859,2.85069050095e-13,9,0.249982898967,0.12499008153,0.249579831933
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,682931670.425,4879698.16977,682931670.425,686382138.091,679481202.759,679826249.525,686037091.324,2.0,23811454228100.0,0.0155980592402,2.85069050095e-13,84,0.249982898967,0.250006199044,0.249579831933
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,670971279.389,50154342.4899,670971279.389,706435755.07,635506803.709,639053251.277,702889307.502,2.0,2515458070590000.0,0.00195606428571,2.85069050095e-13,125,0.124974348451,0.125003719426,0.125210084034
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,663243541.501,13348867.4629,663243541.501,672682616.205,653804466.797,654748374.267,671738708.735,2.0,178192262543000.0,0.00782421834166,2.85069050095e-13,70,0.124974348451,0.250006199044,0.250420168067
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,623489388.992,642391.584098,623489388.992,623943628.437,623035149.546,623080573.491,623898204.492,2.0,412666947320.0,0.00779906829636,2.85069050095e-13,109,0.249982898967,0.125003719426,0.249579831933
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,611476441.015,4780738.27467,611476441.015,614856933.468,608095948.562,608433997.808,614518884.223,2.0,22855458450900.0,0.00782421834166,2.85069050095e-13,95,0.124974348451,0.250006199044,0.250420168067
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,606198062.877,10298760.3655,606198062.877,613480386.17,598915739.585,599643971.914,612752153.84,2.0,106064465065000.0,0.00782490091423,2.85069050095e-13,29,0.249982898967,0.249993800956,0.125210084034
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,587944587.831,4951577.8558,587944587.831,591445882.11,584443293.551,584793422.979,591095752.682,2.0,24518123262100.0,0.00391212857142,2.85069050095e-13,120,0.124974348451,0.125003719426,0.250420168067
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,569279481.47,29664209.4373,569279481.47,590255245.122,548303717.819,550401294.184,588157668.757,2.0,879965321539000.0,0.00782528897909,2.85069050095e-13,54,0.249982898967,0.250006199044,0.125210084034
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,100824.0,1e+200,-1e+200,ref,cooper,nebraska,covid,569117189.375,2417450.42268,569117189.375,570826584.962,567407793.788,567578733.347,570655645.403,2.0,5844066546130.0,0.0077975758657,2.85069050095e-13,40,0.124974348451,0.249993800956,0.249579831933
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,565911220.467,7973227.66197,565911220.467,571549143.814,560273297.119,560837089.454,570985351.48,2.0,63572359349500.0,0.00391223702145,2.85069050095e-13,4,0.249982898967,0.12499008153,0.125210084034
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,543160367.739,31323411.0065,543160367.739,565309364.071,521011371.406,523226271.04,563094464.438,2.0,981156077080000.0,0.00389857524251,2.85069050095e-13,15,0.124974348451,0.12499008153,0.249579831933
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,536171499.773,4039404.27725,536171499.773,539027789.93,533315209.617,533600838.632,538742160.914,2.0,16316786915100.0,0.00782528897909,2.85069050095e-13,79,0.249982898967,0.250006199044,0.125210084034
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,201649.0,1e+200,-1e+200,ref,cooper,nebraska,covid,510344141.293,17484120.0377,510344141.293,522707281.135,497981001.452,499217315.436,521470967.151,2.0,305694453494000.0,0.00779796257541,2.85069050095e-13,65,0.124974348451,0.250006199044,0.249579831933
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,403298.0,1e+200,-1e+200,ref,cooper,nebraska,covid,496719959.325,5624520.75316,496719959.325,500697096.091,492742822.56,493140536.236,500299382.414,2.0,31635233702800.0,0.00391266389279,2.85069050095e-13,104,0.249982898967,0.125003719426,0.125210084034
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,302473.0,1e+200,-1e+200,ref,cooper,nebraska,covid,468546657.418,10586902.1729,468546657.418,476032727.736,461060587.099,461809194.131,475284120.704,2.0,112082497618000.0,0.00779796257541,2.85069050095e-13,90,0.124974348451,0.250006199044,0.249579831933
