turbine_capacity,elec_market_capacity,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-turbine_capacity
1788.0,-1e+200,3517704974.51,24805249.9897,3517704974.51,3535244934.99,3500165014.03,3501919010.08,3533490938.94,2.0,615300427053000.0,0.5,0.00111856823266,2,0.5
894.0,-1e+200,1759078570.8,24430110.9818,1759078570.8,1776353267.94,1741803873.66,1743531343.38,1774625798.23,2.0,596830322585000.0,0.5,0.00111856823266,1,0.5
