cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-455123080.493,0.0,0.0,0.0,0.0,0.0,-522286396.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-97871823.1356,137344685.849,-104272648.704,0.0,-15870067.8782,22270653.7724,-20223440.0,-13190482.7391,-18631611.15,0.0,-18212041.8097,25557173.463,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,8691592.61651,4717521.30653,28926817.8896,82382326.7739,0.0,-174.349187708,244.666275201,0.0,0.0
2,0.0,-181989101.544,255387456.559,-104272648.704,0.0,-29509815.0016,41411472.0763,-20223440.0,-13190482.757,-18631611.15,0.0,-33864630.4937,47522636.1124,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,8971544.58047,4717521.30653,28926817.8896,82382326.7739,0.0,-324.19598419,454.948055276,0.0,0.0
3,0.0,-160295744.167,224944911.825,-104272648.704,0.0,-25992203.4658,36475166.2445,-20223440.0,-13190482.716,-18631611.15,0.0,-29827918.8142,41857870.9152,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,6284923.47918,5023062.72635,27428376.153,86039216.0344,0.0,-285.551365992,400.717605939,0.0,0.0
4,0.0,-141280005.824,198259901.522,-104272648.704,0.0,-22908772.0085,32148150.4469,-20223440.0,-13190482.707,-18631611.15,0.0,-26289459.9336,36892309.758,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,5851272.74099,3180305.41894,19611880.4779,88713789.9447,0.0,-251.676667152,353.180840797,0.0,0.0
5,0.0,-124439230.027,174627041.857,-104272648.704,0.0,-20178014.1002,28316045.608,-20223440.0,-13190482.7133,-18631611.15,0.0,-23155719.2603,32494694.4434,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,6662478.07199,3122992.49043,21963045.2493,91699191.1835,0.0,-221.676453745,311.081186844,0.0,0.0
6,0.0,-109482883.962,153638624.702,-104272648.704,0.0,-17752819.395,24912741.2222,-20223440.0,-13190482.6805,-18631611.15,0.0,-20372634.2913,28589158.4218,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,7709577.23898,3068706.41011,22090819.0244,89752341.0296,0.0,-195.033169662,273.692351476,0.0,0.0
7,0.0,-101471550.281,142396225.485,-104272648.704,0.0,-16453769.2164,23089768.7572,-20223440.0,-13190482.6615,-18631611.15,0.0,-18881880.9847,26497166.692,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,6214600.56389,3106999.31011,22444440.2768,87902993.0188,0.0,-180.761753486,253.665104527,0.0,0.0
8,0.0,-99306664.9839,139358216.368,-104272648.704,0.0,-16102729.7087,22597150.8683,-20223440.0,-13190482.6873,-18631611.15,0.0,-18479037.9573,25931852.3116,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,4696632.86118,3152348.28935,22963658.1934,86561893.8327,0.0,-176.905219697,248.253185092,0.0,0.0
9,0.0,-97352692.6651,136616183.925,-104272648.704,0.0,-15785890.0675,22152526.0559,-20223440.0,-13190482.7044,-18631611.15,0.0,-18115441.7308,25421613.4309,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,9647202.46975,3197755.411,23526067.2725,87599483.0495,0.0,-173.42440698,243.368519478,0.0,0.0
10,0.0,-95114471.8114,133475262.155,-104272648.704,0.0,-15422959.0855,21643220.7206,-20223440.0,-13190482.7334,-18631611.15,0.0,-17698952.3832,24837149.0082,-27050057.67,-4499585.77169,-13243408.7316,440497476.0,8697702.50512,3229966.11721,23834971.5615,88280288.7068,0.0,-169.437232988,237.773271103,0.0,0.0
11,0.0,-93242985.6924,130848983.571,-104272648.704,0.0,-15119494.7095,21217365.576,-20223440.0,-13190482.6796,-18631611.15,0.0,-17350705.2335,24348449.6681,-27050057.67,-4499585.77169,-13243408.7316,0.0,8931694.12708,3342400.54072,23711944.9372,88030527.4675,0.0,-166.103361459,233.094809794,0.0,0.0
12,0.0,-91099250.4825,127840654.62,-104272648.704,0.0,-14771884.7212,20729560.3721,-20223440.0,-13190482.6818,-18631611.15,0.0,-16951797.8256,23788658.1892,-27050057.67,-4499585.77169,-13243408.7316,0.0,6254092.67002,3398556.7412,24542883.4127,89541118.2555,0.0,-162.284504504,227.735762705,0.0,0.0
13,0.0,-89306768.4398,125325243.39,-104272648.704,0.0,-14481230.9786,20321682.5408,-20223440.0,-13190482.6899,-18631611.15,0.0,-16618251.7972,23320589.1063,-27050057.67,-4499585.77169,-13243408.7316,0.0,5825725.38748,3447827.46452,24898252.2955,90075320.1378,0.0,-159.091371096,223.254800864,0.0,0.0
14,0.0,-87253530.1982,122443909.905,-104272648.704,0.0,-14148295.214,19854469.8485,-20223440.0,-13190482.7328,-18631611.15,0.0,-16236184.1141,22784429.0122,-27050057.67,-4499585.77169,-13243408.7316,0.0,6643444.32893,3473710.97551,25091920.997,90540418.1657,0.0,-155.433725738,218.121983915,0.0,0.0
15,0.0,-85536717.1046,120034685.805,-104272648.704,0.0,-13869911.3089,19463810.425,-20223440.0,-13190482.7205,-18631611.15,0.0,-15916718.6047,22336119.288,-27050057.67,-4499585.77169,-13243408.7316,0.0,7641891.2614,3512776.17508,25430681.6038,90691709.5994,0.0,-152.375389245,213.830184177,0.0,0.0
16,0.0,-41785077.768,58637493.3596,-104272648.704,0.0,-6775515.15063,9508160.46959,-20223440.0,-13190482.7022,-18631611.15,0.0,-7775389.88192,10911296.4944,-27050057.67,-4499585.77169,-13243408.7316,0.0,6227461.91185,3531508.36038,25645152.1228,91214687.7549,0.0,-74.4360749986,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-20223440.0,-13190482.7032,-18631611.15,0.0,0.0,0.0,-27050057.67,-4499585.77169,-13243408.7316,0.0,4712127.0253,3565832.6581,26019704.4325,92171317.8023,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-20223440.0,-13190482.6991,-18631611.15,0.0,0.0,0.0,-27050057.67,-4499585.77169,-13243408.7316,0.0,9157568.02321,3596805.73417,26505264.0671,93372714.3278,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-104272648.704,0.0,0.0,0.0,-20223440.0,-13190482.7408,-18631611.15,0.0,0.0,0.0,-27050057.67,-4499585.77169,-13243408.7316,0.0,8709877.5057,3649276.0116,26848281.8708,94095013.5874,0.0,0.0,0.0,0.0,0.0
