smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-meoh_capacity,PointProbability,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1715564593.98,253167.077802,-1715564593.98,-1715385577.82,-1715743610.13,-1715725708.52,-1715403479.43,2.0,64093569282.7,0.0714285714286,9.835748238069999e-14,1,0.0714534883721,0.000364517961013,0.0714206061936
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1752801060.42,877275.932295,-1752801060.42,-1752180732.66,-1753421388.18,-1753359355.41,-1752242765.44,2.0,769613061384.0,0.0714285714286,9.835748238069999e-14,65,0.0714534883721,0.000729082573159,0.142850352821
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1790280828.88,677355.671334,-1790280828.88,-1789801866.09,-1790759791.67,-1790711895.39,-1789849762.37,2.0,458810705488.0,0.0714285714286,9.835748238069999e-14,129,0.0714534883721,0.000729129224292,0.142859493254
960.0,-907.0,-22792.9,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-1827511273.78,792727.443644,-1827511273.78,-1826950730.83,-1828071816.74,-1828015762.44,-1827006785.13,2.0,628416799907.0,0.0714285714286,9.835748238069999e-14,193,0.0714534883721,0.000729129224292,0.142859493254
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2041360904.57,726133.758844,-2041360904.57,-2040847450.47,-2041874358.68,-2041823013.27,-2040898795.88,2.0,527270235733.0,0.142857142857,9.835748238069999e-14,66,0.0714534883721,0.00145816514632,0.142850352821
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2075321476.03,154366.551496,-2075321476.03,-2075212322.4,-2075430629.67,-2075419714.31,-2075223237.76,2.0,23829032220.9,0.142857142857,9.835748238069999e-14,2,0.0714534883721,0.000729035922026,0.0714206061936
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2080321202.64,481763.044902,-2080321202.64,-2079980544.73,-2080661860.56,-2080627794.77,-2080014610.52,2.0,232095631433.0,0.142857142857,9.835748238069999e-14,130,0.0714534883721,0.00145825844858,0.142859493254
960.0,-907.0,-19705.5,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2118263368.45,767939.8928,-2118263368.45,-2117720352.94,-2118806383.95,-2118752082.4,-2117774654.49,2.0,589731678954.0,0.142857142857,9.835748238069999e-14,194,0.0714534883721,0.00145825844858,0.142859493254
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2144222164.78,1731847.0753,-2144222164.78,-2142997563.97,-2145446765.59,-2145324305.51,-2143120024.05,2.0,2999294292220.0,0.142857142857,9.835748238069999e-14,19,0.142848837209,0.00145747864965,0.0714206061936
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2182017858.32,3368775.59888,-2182017858.32,-2179635774.25,-2184399942.39,-2184161733.98,-2179873982.65,2.0,11348649035600.0,0.142857142857,9.835748238069999e-14,83,0.142848837209,0.00291514382791,0.142850352821
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2220801276.75,1426105.25841,-2220801276.75,-2219792868.06,-2221809685.45,-2221708844.58,-2219893708.93,2.0,2033776208070.0,0.142857142857,9.835748238069999e-14,147,0.142848837209,0.00291533035653,0.142859493254
960.0,-661.3,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2258239862.81,4933001.28288,-2258239862.81,-2254751704.15,-2261728021.47,-2261379205.6,-2255100520.01,2.0,24334501656900.0,0.142857142857,9.835748238069999e-14,211,0.142848837209,0.00291533035653,0.142859493254
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2260192258.39,123694.297439,-2260192258.39,-2260104793.31,-2260279723.46,-2260270976.96,-2260113539.82,2.0,15300279219.0,0.142857142857,9.835748238069999e-14,75,0.142848837209,0.00291514382791,0.142850352821
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2286009561.54,151558.780143,-2286009561.54,-2285902393.3,-2286116729.78,-2286106012.96,-2285913110.12,2.0,22970063838.5,0.142857142857,9.835748238069999e-14,11,0.142848837209,0.00145747864965,0.0714206061936
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2294421583.26,1570690.35868,-2294421583.26,-2293310937.45,-2295532229.06,-2295421164.48,-2293422002.03,2.0,2467068202850.0,0.142857142857,9.835748238069999e-14,139,0.142848837209,0.00291533035653,0.142859493254
960.0,-784.1,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2334829004.89,1367782.53272,-2334829004.89,-2333861836.59,-2335796173.19,-2335699456.36,-2333958553.42,2.0,1870829056820.0,0.142857142857,9.835748238069999e-14,203,0.142848837209,0.00291533035653,0.142859493254
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2353927028.66,2016603.32658,-2353927028.66,-2352501074.77,-2355352982.55,-2355210387.16,-2352643670.16,2.0,4066688976790.0,0.142857142857,9.835748238069999e-14,67,0.0714534883721,0.00145816514632,0.142850352821
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,156294.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2390192085.53,5404070.6426,-2390192085.53,-2386370830.53,-2394013340.52,-2393631215.02,-2386752956.03,2.0,29203979510200.0,0.142857142857,9.835748238069999e-14,131,0.0714534883721,0.00145825844858,0.142859493254
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,234441.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2423020369.14,2379946.05287,-2423020369.14,-2421337493.15,-2424703245.13,-2424534957.53,-2421505780.75,2.0,5664143214550.0,0.142857142857,9.835748238069999e-14,195,0.0714534883721,0.00145825844858,0.142859493254
960.0,-907.0,-16618.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2432670456.32,1760158.49494,-2432670456.32,-2431425836.31,-2433915076.33,-2433790614.33,-2431550298.32,2.0,3098157927300.0,0.142857142857,9.835748238069999e-14,3,0.0714534883721,0.000729035922026,0.0714206061936
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,78147.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2465805739.01,96122.7546489,-2465805739.01,-2465737769.95,-2465873708.06,-2465866911.15,-2465744566.86,2.0,9239583961.3,0.142857142857,9.835748238069999e-14,84,0.142848837209,0.00291514382791,0.142850352821
960.0,-661.3,-13530.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2495803932.51,3685082.18446,-2495803932.51,-2493198185.91,-2498409679.11,-2498149104.45,-2493458760.57,2.0,13579830706200.0,0.142857142857,9.835748238069999e-14,20,0.142848837209,0.00145747864965,0.0714206061936
