npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity
1193.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,264059.0,ref,braidwood,illinois,covid,2901686716.09,764148.877036,2901947103.76,2902263097.5,2900589559.35,2900763153.8,2902245735.65,4.0,583923506275.0,5.88667788813e-14,6,0.125,0.00390621671525,0.125,0.249997869776
1193.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,528119.0,ref,braidwood,illinois,covid,2872171330.81,3176044.66358,2872504811.02,2875128559.98,2868547141.22,2868837817.56,2875037971.77,4.0,10087259705100.0,5.88667788813e-14,11,0.125,0.00390629068136,0.125,0.250002603607
1193.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,792178.0,ref,braidwood,illinois,covid,2831099519.97,2954822.10209,2830130369.53,2835237718.13,2828899622.7,2828921632.24,2834634218.32,4.0,8730973654990.0,5.88667788813e-14,16,0.125,0.00390628328475,0.125,0.250002130224
1193.0,-985.0,-24756.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1056237.0,ref,braidwood,illinois,covid,2789972117.95,7653809.2856600005,2789284529.21,2799892860.36,2781426553.03,2782411145.07,2798495715.08,4.0,58580796581200.0,5.88667788813e-14,21,0.125,0.00195314164237,0.125,0.125001065112
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,264059.0,ref,braidwood,illinois,covid,2641880521.53,3309058.84364,2642515762.17,2644706036.88,2637784524.9,2638207992.87,2644663713.29,4.0,10949870430700.0,5.88667788813e-14,32,0.25,0.015624866861,0.25,0.249997869776
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,528119.0,ref,braidwood,illinois,covid,2611052587.01,5378212.3035,2612594410.06,2615547622.01,2603473905.91,2604620019.06,2615326602.69,4.0,28925167581600.0,5.88667788813e-14,37,0.25,0.015625162725400002,0.25,0.250002603607
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,792178.0,ref,braidwood,illinois,covid,2570472363.83,4656481.94604,2570030498.03,2576208004.84,2565620454.42,2565977875.43,2575585464.35,4.0,21682824113800.0,5.88667788813e-14,42,0.25,0.015625133139,0.25,0.250002130224
1193.0,-785.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,1056237.0,ref,braidwood,illinois,covid,2528125461.5,6767528.55945,2527951376.3,2536538307.39,2520060785.99,2521113489.33,2535381152.94,4.0,45799442803000.0,5.88667788813e-14,47,0.25,0.0078125665695,0.25,0.125001065112
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,264059.0,ref,braidwood,illinois,covid,2483704552.24,4491569.37685,2482127587.94,2490309424.82,2480253608.26,2480521458.65,2489095395.85,4.0,20174195467000.0,5.88667788813e-14,31,0.25,0.0078124334305,0.125,0.249997869776
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,braidwood,illinois,covid,2442725534.6,7021937.320889999,2439484115.86,2453243454.06,2438690452.62,2438806687.89,2451182367.54,4.0,49307603738600.0,5.88667788813e-14,26,0.25,0.0039061353525300002,0.125,0.124996331281
1193.0,-985.0,-19730.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,528119.0,ref,braidwood,illinois,covid,2437224104.68,6961031.96776,2436685442.27,2445963717.26,2429561816.92,2430300086.37,2444902250.37,4.0,48455966056200.0,5.88667788813e-14,36,0.25,0.00781258136272,0.125,0.250002603607
1193.0,-585.0,-14704.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,264059.0,ref,braidwood,illinois,covid,2400965210.14,8598550.92086,2405050896.33,2405680416.38,2388078631.53,2390587349.3,2405623110.31,4.0,73935077938600.0,5.88667788813e-14,58,0.25,0.015624866861,0.25,0.249997869776
