smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,832618750.4,13900.2281655,832618750.4,832628579.346,832608921.455,832609904.349,832627596.451,2.0,193216343.053,0.0833064516129,0.000578519417815,0.0833344030397,0.0833326083,1,1.83809210519e-14
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,677550350.037,11090753.6333,677550350.037,685392697.139,669708002.934,670492237.644,684608462.429,2.0,123004816155000.0,0.166693548387,0.00231515316968,0.16666559696,0.0833326083,9,1.83809210519e-14
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,559229161.169,6358937.4794,559229161.169,563725608.982,554732713.357,555182358.138,563275964.201,2.0,40436085866900.0,0.0833064516129,0.00115701655746,0.16666559696,0.0833326083,2,1.83809210519e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,452929996.948,2276847.92545,452929996.948,454539971.556,451320022.34,451481019.801,454378974.095,2.0,5184036475630.0,0.0833064516129,0.00115704499897,0.0833344030397,0.166666104396,50,1.83809210519e-14
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,428145744.148,3954200.56716,428145744.148,430941786.183,425349702.113,425629306.316,430662181.98,2.0,15635702125300.0,0.166693548387,0.00231515316968,0.16666559696,0.0833326083,10,1.83809210519e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,406765578.987,25558412.4831,406765578.987,424838105.77,388693052.204,390500304.882,423030853.092,2.0,653232448656000.0,0.166612903226,0.00231407767126,0.166668806079,0.0833326083,25,1.83809210519e-14
720.0,-563.7,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,297431601.472,13005779.5645,297431601.472,306628076.397,288235126.547,289154774.04,305708428.904,2.0,169150302081000.0,0.166693548387,0.00463033100418,0.16666559696,0.166666104396,58,1.83809210519e-14
720.0,-667.0,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,295879046.929,21785560.54,295879046.929,311283764.518,280474329.339,282014801.098,309743292.76,2.0,474610648044000.0,0.0833064516129,0.00115701655746,0.16666559696,0.0833326083,3,1.83809210519e-14
720.0,-253.7,-6374.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,288452377.377,16580040.037,288452377.377,300176236.119,276728518.634,277900904.508,299003850.245,2.0,274897727630000.0,0.166693548387,0.00231515316968,0.16666559696,0.0833326083,33,1.83809210519e-14
720.0,-667.0,-14164.9,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,275036176.507,6987560.62809,275036176.507,279977128.012,270095225.003,270589320.154,279483032.861,2.0,48826003531200.0,0.0833064516129,0.00231404544137,0.16666559696,0.166666104396,51,1.83809210519e-14
720.0,-460.3,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,261639776.625,6415837.68094,261639776.625,266176458.956,257103094.294,257556762.527,265722790.723,2.0,41162973148100.0,0.166693548387,0.00231519774758,0.166668806079,0.0833326083,18,1.83809210519e-14
720.0,-460.3,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,169957250.676,13369171.0203,169957250.676,179410682.163,160503819.189,161449162.337,178465339.014,2.0,178734733769000.0,0.166693548387,0.00463033100418,0.16666559696,0.166666104396,66,1.83809210519e-14
720.0,-357.0,-6374.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,156699151.631,1301081.21929,156699151.631,157619154.984,155779148.278,155871148.613,157527154.648,2.0,1692812339190.0,0.166612903226,0.00231403311493,0.16666559696,0.0833326083,26,1.83809210519e-14
720.0,-563.7,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,140227924.831,8613516.51822,140227924.831,146318600.771,134137248.891,134746316.485,145709533.177,2.0,74192666809600.0,0.166693548387,0.00231519774758,0.166668806079,0.0833326083,11,1.83809210519e-14
720.0,-563.7,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,80179438.5776,12700075.4184,80179438.5776,89159748.0275,71199129.1277,72097160.0726,88261717.0825,2.0,161291915633000.0,0.166693548387,0.00463033100418,0.16666559696,0.166666104396,59,1.83809210519e-14
720.0,-667.0,-16761.7,-1e+200,-1e+200,-1e+200,-1e+200,1877312.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,72814415.8411,4692756.56054,72814415.8411,76132695.8275,69496135.8546,69827963.8533,75800867.8288,2.0,22021964136500.0,0.0833064516129,0.00115705054598,0.0833344030397,0.166666903412,99,1.83809210519e-14
720.0,-47.0,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,65875025.2124,41233404.2619,65875025.2124,95031444.9774,36718605.4474,39634247.4239,92115803.0009,2.0,1700193627020000.0,0.0833064516129,0.000578519417815,0.0833344030397,0.0833326083,49,0.0
720.0,-460.3,-6374.6,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,40010853.1783,13396480.7445,40010853.1783,49483595.5568,30538110.7999,31485385.0377,48536321.3189,2.0,179465696338000.0,0.166693548387,0.00231515316968,0.16666559696,0.0833326083,19,1.83809210519e-14
720.0,-253.7,-3777.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,39961728.2203,32127954.7738,39961728.2203,62679622.9065,17243833.5341,19515623.0027,60407833.4379,2.0,1032205477950000.0,0.166693548387,0.00231515316968,0.16666559696,0.0833326083,34,1.83809210519e-14
720.0,-667.0,-11568.2,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,37953805.2372,5436783.13632,37953805.2372,41798191.4608,34109419.0137,34493857.6361,41413752.8384,2.0,29558610871400.0,0.0833064516129,0.00231404544137,0.16666559696,0.166666104396,52,1.83809210519e-14
720.0,-357.0,-8971.4,-1e+200,-1e+200,-1e+200,-1e+200,938656.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-3943758.11282,18413301.5218,-3943758.11282,9076412.25726,-16963928.4829,-15661911.4459,7774395.22025,2.0,339049672932000.0,0.166612903226,0.00462817999588,0.166668806079,0.166666104396,74,1.83809210519e-14
