npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,656610133.359,9225421.55589,656610133.359,663133491.5,650086775.217,650739111.031,662481155.686,2.0,85108402883900.0,20,0.250420168067,0.124998671661,0.124974348451,4.07233133368e-14,0.00391197059605
769.0,-323.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,653420190.998,7746538.63919,653420190.998,658897821.001,647942560.996,648490323.996,658350058.001,2.0,60008860888500.0,44,0.250420168067,0.24999911444,0.249982898967,4.07233133368e-14,0.0156501344566
769.0,-769.0,-15250.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,603981810.517,1909741.62516,603981810.517,605332201.77,602631419.263,602766458.389,605197162.645,2.0,3647113074850.0,52,0.125210084034,0.25000088556,0.250017101033,4.07233133368e-14,0.00782619327968
769.0,-769.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,598238489.408,26833503.4786,598238489.408,617212641.68,579264337.135,581161752.362,615315226.453,2.0,720036908938000.0,28,0.125210084034,0.24999911444,0.250017101033,4.07233133368e-14,0.0078261378354
769.0,-769.0,-18905.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,583467372.206,1044071.80728,583467372.206,584205642.461,582729101.951,582802928.977,584131815.436,2.0,1090085938750.0,76,0.125210084034,0.25000088556,0.125008550516,4.07233133368e-14,0.00391309663984
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,535940928.536,5845776.92943,535940928.536,540074517.044,531807340.028,532220698.879,539661158.193,2.0,34173107908700.0,39,0.249579831933,0.24999911444,0.249982898967,4.07233133368e-14,0.0155976172269
769.0,-472.0,-11595.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,513158188.166,2886609.33368,513158188.166,515199329.201,511117047.132,511321161.235,514995215.097,2.0,8332513445310.0,63,0.249579831933,0.25000088556,0.250017101033,4.07233133368e-14,0.0155998617723
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,510132009.584,2769005.63397,510132009.584,512089992.245,508174026.923,508369825.189,511894193.979,2.0,7667392200930.0,4,0.125210084034,0.124998671661,0.249982898967,4.07233133368e-14,0.00391250589581
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,474993703.361,20883796.9628,474993703.361,489760777.81,460226628.912,461703336.357,488284070.365,2.0,436132975584000.0,15,0.249579831933,0.124998671661,0.124974348451,4.07233133368e-14,0.00389884317795
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,472225111.16,698356.318065,472225111.16,472718923.648,471731298.672,471780679.921,472669542.4,2.0,487701546981.0,50,0.125210084034,0.24999911444,0.124974348451,4.07233133368e-14,0.00391199831061
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,705771.0,1e+200,-1e+200,ref,cooper,nebraska,covid,382262915.011,38178183.7947,382262915.011,409258967.666,355266862.356,357966467.622,406559362.4,2.0,1457573717860000.0,34,0.249579831933,0.24999911444,0.249982898967,4.07233133368e-14,0.0155976172269
