npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-ft_capacity
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33007.0,ref,braidwood,illinois,covid,3166166813.94,3232164.58767,3166133612.46,3169705399.05,3162694631.78,3162934690.4,3169445419.54,4.0,1.04468879218e+13,0.00127734475554,0.111122894195,119,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,55012.0,ref,braidwood,illinois,covid,3171257693.08,1866786.02822,3171538371.49,3173195879.95,3168758149.39,3169117787.12,3173004649.26,4.0,3.48489007515e+12,0.00127734475554,0.111122894195,137,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,44010.0,ref,braidwood,illinois,covid,3121802560.31,1864038.09724,3121501263.04,3124281635.61,3119926079.53,3120081903.38,3123945033.41,4.0,3.47463802795e+12,0.000638672377769,0.111122894195,127,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,44010.0,ref,braidwood,illinois,covid,3168399550.32,1597001.42088,3168702674.58,3169801714.21,3166391137.89,3166609371.35,3169765355.3,4.0,2.55041353831e+12,0.00127734475554,0.111122894195,128,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,ref,braidwood,illinois,covid,3125189526.45,4806552.57341,3124851747.69,3131332227.22,3119722383.19,3120363705.71,3130488237.45,4.0,2.31029476409e+13,0.000638672377769,0.111122894195,145,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,55012.0,ref,braidwood,illinois,covid,3124522547.88,2786372.71082,3124944812.26,3127445290.14,3120755276.87,3121336243.25,3127117682.39,4.0,7.76387288358e+12,0.000638672377769,0.111122894195,136,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,77017.0,ref,braidwood,illinois,covid,3173182973.15,2135065.24166,3173585624.02,3175269430.4,3170291214.16,3170700809.59,3175101425.48,4.0,4.55850358616e+12,0.00127734475554,0.111122894195,155,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,66015.0,ref,braidwood,illinois,covid,3173396826.19,201492.520811,3173315162.09,3173695172.84,3173261807.74,3173266107.76,3173641874.36,4.0,40599235942.9,0.00127734475554,0.111122894195,146,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,88020.0,ref,braidwood,illinois,covid,3174624098.81,3008993.78837,3174450375.33,3178341687.96,3171253956.61,3171586318.29,3177905092.19,4.0,9.05404361844e+12,0.00127734475554,0.111122894195,164,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,77017.0,ref,braidwood,illinois,covid,3125267885.74,3581855.76524,3124883026.11,3129535932.82,3121769557.94,3121941525.55,3129133049.42,4.0,1.2829690723e+13,0.000638672377769,0.111122894195,154,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,88020.0,ref,braidwood,illinois,covid,3126071660.24,2244475.65403,3125985792.56,3128867703.26,3123447352.56,3123761590.64,3128501944.57,4.0,5.03767096155e+12,0.000638672377769,0.111122894195,163,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-885.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,99022.0,ref,braidwood,illinois,covid,3174085797.24,2386042.76293,3174624256.16,3176368653.64,3170726022.99,3171309228.86,3176108523.13,4.0,5.69320006651e+12,0.000638643353803,0.0555589221509,173,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-22243.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,99022.0,ref,braidwood,illinois,covid,3129621309.64,4988833.81319,3129058851.6,3135080014.56,3125287520.81,3125318102.02,3134711958.52,4.0,2.48884628156e+13,0.000319321676902,0.0555589221509,172,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11002.0,ref,braidwood,illinois,covid,2869881545.89,4172546.46509,2870512470.93,2874113932.84,2864387308.88,2865112398.4,2873767398.34,4.0,1.74101440033e+13,0.000638382138107,0.111072395265,190,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2824432939.81,3986007.06381,2824289183.81,2828516059.86,2820637331.74,2820753681.34,2828313456.66,4.0,1.58882523127e+13,0.000319031437239,0.0555084232214,181,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,ref,braidwood,illinois,covid,2912264203.88,2230354.34127,2913003928.6,2913985500.58,2909063457.77,2909570916.47,2913921876.71,4.0,4.97448048761e+12,0.000638062874478,0.0555084232214,182,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11002.0,ref,braidwood,illinois,covid,3005189988.82,2937900.78787,3005010526.35,3008415228.18,3002323674.41,3002441871.15,3008189353.95,4.0,8.63126103936e+12,0.00127676427621,0.111072395265,192,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,11002.0,ref,braidwood,illinois,covid,2949268937.97,4211587.62456,2947790746.03,2955456797.77,2946037462.04,2946265234.56,2954342110.09,4.0,1.77374703194e+13,0.00127676427621,0.111072395265,191,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22005.0,ref,braidwood,illinois,covid,3012107593.32,3299880.28342,3012754616.05,3015018592.94,3007902548.25,3008377706.81,3014931648.02,4.0,1.08892098849e+13,0.00127734475554,0.111122894195,201,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22005.0,ref,braidwood,illinois,covid,2888002462.58,3252741.61862,2887358844.67,2892498397.42,2884793763.57,2885111166.16,2891794824.08,4.0,1.05803280375e+13,0.000638672377769,0.111122894195,199,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,22005.0,ref,braidwood,illinois,covid,2957389839.57,4505208.50918,2958917877.2,2960853173.68,2950870430.22,2951938300.25,2960702126.22,4.0,2.02969037112e+13,0.00127734475554,0.111122894195,200,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33007.0,ref,braidwood,illinois,covid,2959977581.76,5288131.1562,2959029360.26,2966857909.76,2954993696.75,2955265035.61,2966017638.0,4.0,2.79643311252e+13,0.00127734475554,0.111122894195,209,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-885.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,44010.0,ref,braidwood,illinois,covid,2960192958.62,3281251.35301,2959221633.15,2964777497.3,2957551070.89,2957636814.88,2964108958.03,4.0,1.07666104417e+13,0.00127734475554,0.111122894195,218,0.111111111111,4.61981158295e-13,0.103453954139
1193.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33007.0,ref,braidwood,illinois,covid,2898143440.38,4761362.53523,2897419804.46,2904606422.11,2893127730.48,2893751155.08,2903548815.96,4.0,2.26705731919e+13,0.000638672377769,0.111122894195,208,0.0555555555556,4.61981158295e-13,0.103453954139
1193.0,-785.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,33007.0,ref,braidwood,illinois,covid,3007802131.46,4331097.45025,3008422137.35,3012324970.69,3002039280.43,3002852838.95,3011883415.71,4.0,1.87584051236e+13,0.00127734475554,0.111122894195,210,0.111111111111,4.61981158295e-13,0.103453954139
