cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,ft_ftCAPEX_CashFlow,ft_ftCAPEX_depreciation,ft_ftCAPEX_depreciation_tax_credit,ft_ftFOM_CashFlow,ft_ftVOM_CashFlow,ft_co2_shipping_CashFlow,ft_h2_ptc_CashFlow,ft_elec_consumption_ftELEC_CAP_MARKET_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-478606201.134,0.0,0.0,0.0,0.0,0.0,-217761444.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47251000.0,0.0,0.0,0.0,0.0
1,0.0,-96690658.8373,137344685.849,103014236.16,0.0,-16487510.5499,23419759.3039,-21375600.0,-13773713.8176,-19693082.25,0.0,-7501666.5093,10655776.2916,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,20099.8553113,40302734.6818,62000843.6104,30608012.488,0.0,-1627750.24467,2312145.2339,-14492544000.0,0.0
2,0.0,-179792769.418,255387456.559,103014236.16,0.0,-30657927.2312,43548192.0898,-21375600.0,-13773713.8176,-19693082.25,0.0,-13949076.5,19814029.1193,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,22597.8105405,40302734.6818,62000843.6104,30608012.488,0.0,-3026742.47883,4299350.11197,-14492544000.0,0.0
3,0.0,-158361217.925,224944911.825,103014236.16,0.0,-27003459.0997,38357186.2212,-21375600.0,-13773713.8176,-19693082.25,0.0,-12286326.923,17452168.9248,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,29295.5189607,38369143.6541,59300911.5899,29297881.1259,0.0,-2665950.50983,3786861.51965,-14492544000.0,0.0
4,0.0,-139574970.671,198259901.522,103014236.16,0.0,-23800063.3062,33806908.1054,-21375600.0,-13773713.8176,-19693082.25,0.0,-10828811.1345,15381833.9979,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,20965.2079917,18166811.1717,44445105.4825,21752063.2222,0.0,-2349691.22552,3337629.5817,-14492544000.0,0.0
5,0.0,-122937437.467,174627041.857,103014236.16,0.0,-20963062.2192,29777077.0159,-21375600.0,-13773713.8176,-19693082.25,0.0,-9538001.58648,13548297.7081,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,17266.8626321,17865055.3544,48905963.151,22971665.8466,0.0,-2069604.72007,2939779.43191,-14492544000.0,0.0
6,0.0,-108161591.79,153638624.702,103014236.16,0.0,-18443512.612,26198171.3239,-21375600.0,-13773713.8176,-19693082.25,0.0,-8391629.55842,11919928.35,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,18000.8694514,17460106.9399,48906420.2592,22778224.8383,0.0,-1820859.01179,2586447.45992,-14492544000.0,0.0
7,0.0,-100246942.741,142396225.485,103014236.16,0.0,-17093921.439,24281138.4076,-21375600.0,-13773713.8176,-19693082.25,0.0,-7777577.91772,11047695.9058,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,21681.019965,17755631.5154,49370985.033,22614042.2601,0.0,-1687618.92345,2397185.9708,-14492544000.0,0.0
8,0.0,-98108184.3231,139358216.368,103014236.16,0.0,-16729224.3482,23763102.7673,-21375600.0,-13773713.8176,-19693082.25,0.0,-7611644.07684,10811994.4273,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,16057.4120762,18118300.5649,50283332.1797,22589746.3165,0.0,-1651613.74383,2346042.24976,-14492544000.0,0.0
9,0.0,-96177793.4834,136616183.925,103014236.16,0.0,-16400057.7077,23295536.5166,-21375600.0,-13773713.8176,-19693082.25,0.0,-7461876.2659,10599256.0595,-21732221.0,-5378564.928,-22294404.762,465655320.0,-416208.405,12474.9167045,18475283.0826,51394684.6448,22896732.9968,0.0,-1619116.35267,2299881.18277,-14492544000.0,0.0
