npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,788742451.509,460812.018391,788742451.509,789068294.812,788416608.206,788449192.536,789035710.482,2.0,212347716294.0,51,0.25,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00391623444301
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,784023141.987,405793.677506,784023141.987,784310081.448,783736202.526,783764896.472,784281387.502,2.0,164668508704.0,61,0.25,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00783362148244
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,782174815.098,532848.682433,782174815.098,782551596.015,781798034.182,781835712.273,782513917.924,2.0,283927718370.0,84,0.25,0.250666666667,0.249990803752,1.0406674226900002e-12,0.0156660903685
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,754333173.599,566236.531599,754333173.599,754733563.291,753932783.908,753972822.877,754693524.321,2.0,320623809717.0,89,0.25,0.250666666667,0.250009196248,1.0406674226900002e-12,0.0156672429649
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,752615959.597,655679.84555,752615959.597,753079595.262,752152323.932,752198687.499,753033231.696,2.0,429916059860.0,66,0.25,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00783362148244
522.0,-507.0,-8030.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,724195777.522,899621.686039,724195777.522,724831906.117,723559648.928,723623261.787,724768293.258,2.0,809319177991.0,71,0.25,0.125333333333,0.125004598124,1.0406674226900002e-12,0.00391681074122
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,723976334.571,1056674.67519,723976334.571,724723516.4,723229152.743,723303870.926,724648798.217,2.0,1116561369180.0,94,0.25,0.250666666667,0.250009196248,1.0406674226900002e-12,0.0156672429649
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,711138093.983,885490.0933,711138093.983,711764230.032,710511957.933,710574571.538,711701616.427,2.0,784092705333.0,83,0.25,0.249333333333,0.249990803752,1.0406674226900002e-12,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,709285613.554,520494.901486,709285613.554,709653659.029,708917568.08,708954372.627,709616854.481,2.0,270914942473.0,78,0.25,0.249333333333,0.124986205628,1.0406674226900002e-12,0.00779080681749
522.0,-226.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,693045182.136,560094.469768,693045182.136,693441228.734,692649135.539,692688740.198,693401624.074,2.0,313705815064.0,99,0.25,0.250666666667,0.125004598124,1.0406674226900002e-12,0.00783362148244
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,682848835.583,10790.6708587,682848835.583,682856465.739,682841205.426,682841968.442,682855702.724,2.0,116438577.58,88,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,652185399.284,460674.901277,652185399.284,652511145.631,651859652.938,651892227.572,652478570.996,2.0,212221364667.0,93,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,643945460.593,1669135.8805,643945460.593,645125717.893,642765203.293,642883229.023,645007692.163,2.0,2786014587560.0,105,0.125026522385,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00195853269302
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,627328368.552,678891.372645,627328368.552,627808417.246,626848319.859,626896324.728,627760412.376,2.0,460893495851.0,82,0.25,0.249333333333,0.249990803752,1.0406674226900002e-12,0.0155827601005
522.0,-320.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,622810857.37,410971.421377,622810857.37,623101458.049,622520256.692,622549316.759,623072397.981,2.0,168897509189.0,98,0.25,0.249333333333,0.125004598124,1.0406674226900002e-12,0.00779195328306
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,614463492.306,425226.57146,614463492.306,614764172.898,614162811.714,614192879.773,614734104.839,2.0,180817637076.0,110,0.125026522385,0.125333333333,0.249990803752,1.0406674226900002e-12,0.00391735359627
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,612345935.233,479431.483978,612345935.233,612684944.487,612006925.98,612040826.905,612651043.561,2.0,229854547829.0,77,0.25,0.249333333333,0.124986205628,1.0406674226900002e-12,0.00779080681749
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,601120074.73,169154.779609,601120074.73,601239685.221,601000464.238,601012425.287,601227724.172,2.0,28613339464.7,87,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,584102791.574,454464.975497,584102791.574,584424146.84,583781436.308,583813571.835,584392011.314,2.0,206538413953.0,115,0.125026522385,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00391764180651
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,569197034.718,754761.294109,569197034.718,569730731.548,568663337.889,568716707.572,569677361.865,2.0,569664611086.0,92,0.25,0.249333333333,0.250009196248,1.0406674226900002e-12,0.0155839065661
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,554144517.804,73171.9639912,554144517.804,554196258.196,554092777.412,554097951.451,554191084.156,2.0,5354136314.33,120,0.125026522385,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00391764180651
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,541781967.263,532527.47705,541781967.263,542158521.053,541405413.473,541443068.852,542120865.674,2.0,283585513813.0,104,0.125026522385,0.250666666667,0.124986205628,1.0406674226900002e-12,0.00391706538603
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,540572557.642,709538.373025,540572557.642,541074277.037,540070838.247,540121010.186,541024105.097,2.0,503444702794.0,81,0.25,0.125333333333,0.249990803752,1.0406674226900002e-12,0.00783304518423
522.0,-413.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,540268645.563,1499662.83946,540268645.563,541329067.327,539208223.8,539314265.976,541223025.15,2.0,2248988632060.0,97,0.25,0.249333333333,0.125004598124,1.0406674226900002e-12,0.00779195328306
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,535308217.181,469929.434952,535308217.181,535640507.471,534975926.891,535009155.92,535607278.442,2.0,220833673834.0,109,0.125026522385,0.250666666667,0.249990803752,1.0406674226900002e-12,0.00783470719255
522.0,-132.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,525060886.599,246119.935313,525060886.599,525234919.674,524886853.524,524904256.831,525217516.367,2.0,60575022558.7,125,0.125026522385,0.125333333333,0.125004598124,1.0406674226900002e-12,0.00195882090326
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,513351000.835,621924.497844,513351000.835,513790767.865,512911233.805,512955210.508,513746791.162,2.0,386790081019.0,86,0.25,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00783362148244
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,512867401.403,377614.163249,512867401.403,513134414.938,512600387.867,512627089.221,513107713.585,2.0,142592456286.0,76,0.25,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00391623444301
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,507374031.894,653644.489297,507374031.894,507836228.344,506911835.443,506958055.088,507790008.699,2.0,427251118389.0,114,0.125026522385,0.250666666667,0.250009196248,1.0406674226900002e-12,0.00783528361303
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,480702299.285,126651.434598,480702299.285,480791855.373,480612743.197,480621698.805,480782899.764,2.0,16040585885.7,91,0.25,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00783362148244
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,476868413.309,610374.508942,476868413.309,477300013.263,476436813.354,476479973.35,477256853.268,2.0,372557041166.0,119,0.125026522385,0.250666666667,0.250009196248,1.0406674226900002e-12,0.00783528361303
522.0,-507.0,-5674.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,450874261.491,1022747.83919,450874261.491,451597453.424,450151069.559,450223388.752,451525134.231,2.0,1046013142570.0,96,0.25,0.125333333333,0.125004598124,1.0406674226900002e-12,0.00391681074122
522.0,-226.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,446631144.33,1252091.13026,446631144.33,447516506.459,445745782.201,445834318.414,447427970.246,2.0,1567732198470.0,124,0.125026522385,0.250666666667,0.125004598124,1.0406674226900002e-12,0.00391764180651
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,445262659.072,3726467.79931,445262659.072,447897669.723,442627648.421,442891149.486,447634168.658,2.0,13886562259300.0,108,0.125026522385,0.249333333333,0.249990803752,1.0406674226900002e-12,0.00779303321812
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,439692764.257,409488.655266,439692764.257,439982316.462,439403212.052,439432167.272,439953361.241,2.0,167680958792.0,103,0.125026522385,0.249333333333,0.124986205628,1.0406674226900002e-12,0.00389622993185
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,416750355.092,3270165.24377,416750355.092,419062711.112,414437999.073,414669234.675,418831475.51,2.0,10693980721600.0,113,0.125026522385,0.249333333333,0.250009196248,1.0406674226900002e-12,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,387215619.311,76941.8904313,387215619.311,387270025.443,387161213.178,387166653.792,387264584.83,2.0,5920054503.14,118,0.125026522385,0.249333333333,0.250009196248,1.0406674226900002e-12,0.00779360657253
522.0,-320.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,355741721.686,688155.795526,355741721.686,356228321.316,355255122.057,355303782.02,356179661.353,2.0,473558398916.0,123,0.125026522385,0.249333333333,0.125004598124,1.0406674226900002e-12,0.00389680328627
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,354352720.671,1072873.93021,354352720.671,355111357.102,353594084.24,353669947.883,355035493.459,2.0,1151058470120.0,107,0.125026522385,0.249333333333,0.249990803752,1.0406674226900002e-12,0.00779303321812
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,339466880.646,664536.198574,339466880.646,339936778.698,338996982.593,339043972.399,339889788.893,2.0,441608359216.0,102,0.125026522385,0.249333333333,0.124986205628,1.0406674226900002e-12,0.00389622993185
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,324059071.839,1050672.41744,324059071.839,324802009.43,323316134.248,323390428.007,324727715.671,2.0,1103912528770.0,112,0.125026522385,0.249333333333,0.250009196248,1.0406674226900002e-12,0.00779360657253
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,293482257.795,1843872.79591,293482257.795,294786072.753,292178442.837,292308824.333,294655691.257,2.0,3399866887500.0,117,0.125026522385,0.249333333333,0.250009196248,1.0406674226900002e-12,0.00779360657253
522.0,-413.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,263758173.429,1067736.83732,263758173.429,264513177.388,263003169.471,263078669.867,264437676.992,2.0,1140061953760.0,122,0.125026522385,0.249333333333,0.125004598124,1.0406674226900002e-12,0.00389680328627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,259510399.163,2154750.36167,259510399.163,261034037.756,257986760.571,258139124.43,260881673.896,2.0,4642949121120.0,106,0.125026522385,0.125333333333,0.249990803752,1.0406674226900002e-12,0.00391735359627
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,241477818.349,1174019.95625,241477818.349,242307975.821,240647660.876,240730676.624,242224960.074,2.0,1378322857670.0,101,0.125026522385,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00195853269302
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,135930.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,230658296.323,379298.248054,230658296.323,230926500.686,230390091.959,230416912.396,230899680.25,2.0,143867160977.0,111,0.125026522385,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00391764180651
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,203895.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,200053619.838,1499493.14245,200053619.838,201113921.607,198993318.069,199099348.246,201007891.431,2.0,2248479684260.0,116,0.125026522385,0.125333333333,0.250009196248,1.0406674226900002e-12,0.00391764180651
522.0,-507.0,-3317.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,271860.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,172148432.912,1850013.90586,172148432.912,173456590.29,170840275.534,170971091.271,173325774.552,2.0,3422551451880.0,121,0.125026522385,0.125333333333,0.125004598124,1.0406674226900002e-12,0.00195882090326
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109726482796.0,62.4016015913,-109726482796.0,-109726482752.0,-109726482840.0,-109726482835.0,-109726482756.0,2.0,3893.95988116,1,0.124973477615,0.125333333333,0.124986205628,1.0406674226900002e-12,0.00195770175
522.0,-507.0,-12743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,67965.0,1e+200,-1e+200,ref,prairie_island,minnesota,covid,-109756008608.0,74.8549932428,-109756008608.0,-109756008555.0,-109756008661.0,-109756008656.0,-109756008560.0,2.0,5603.27001338,6,0.124973477615,0.125333333333,0.249990803752,1.0406674226900002e-12,0.00391569158796
