cfYears,smr_smrCAPEX_CashFlow,smr_smrCAPEX_depreciation,smr_smrCAPEX_depreciation_tax_credit,smr_smrVOM_CashFlow,htse_htseCAPEX_CashFlow,htse_htseCAPEX_depreciation,htse_htseCAPEX_depreciation_tax_credit,htse_htseFOM_CashFlow,htse_htseVOM_CashFlow,htse_htseELEC_CAP_MARKET_CashFlow,meoh_meohCAPEX_CashFlow,meoh_meohCAPEX_depreciation,meoh_meohCAPEX_depreciation_tax_credit,meoh_meohFOM_CashFlow,meoh_meohVOM_CashFlow,meoh_co2_shipping_CashFlow,meoh_h2_ptc_CashFlow,electricity_market_e_sales_CashFlow,naphtha_market_naphtha_sales_CashFlow,jet_fuel_market_jet_fuel_sales_CashFlow,diesel_market_diesel_sales_CashFlow,h2_storage_storageCAPEX_CashFlow,h2_storage_storageCAPEX_depreciation,h2_storage_storageCAPEX_depreciation_tax_credit,h2_import_h2IMPORTS_CashFlow,h2_export_h2EXPORTS_CashFlow
0,-2806776000.0,0.0,0.0,0.0,-455123080.493,0.0,0.0,0.0,0.0,0.0,-522286396.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000.0,0.0,0.0,0.0,0.0
1,0.0,-108502301.82,137344685.849,-115598361.6,0.0,-17593816.4802,22270653.7724,-20223440.0,-14623184.59,-18631611.15,0.0,-20190167.0357,25557173.463,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,6702221.60744,3042773.9107,24927277.399,50479333.9674,0.0,-193.286357408,244.666275201,0.0,0.0
2,0.0,-201756090.682,255387456.559,-115598361.6,0.0,-32715062.9403,41411472.0763,-20223440.0,-14623184.5566,-18631611.15,0.0,-37542882.5288,47522636.1124,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,10337560.7882,3042773.9107,24927277.399,50479333.9674,0.0,-359.408963668,454.948055276,0.0,0.0
3,0.0,-177706480.342,224944911.825,-115598361.6,0.0,-28815381.3332,36475166.2445,-20223440.0,-14623184.6385,-18631611.15,0.0,-33067718.023,41857870.9152,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,11780340.8049,2784133.42926,26609160.7853,46385954.3939,0.0,-316.566908692,400.717605939,0.0,0.0
4,0.0,-156625322.202,198259901.522,-115598361.6,0.0,-25397038.8531,32148150.4469,-20223440.0,-14623184.5561,-18631611.15,0.0,-29144924.7089,36892309.758,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,10200106.9831,2177558.08159,24473744.774,107069359.841,0.0,-279.01286423,353.180840797,0.0,0.0
5,0.0,-137955363.067,174627041.857,-115598361.6,0.0,-22369676.0303,28316045.608,-20223440.0,-14623184.5985,-18631611.15,0.0,-25670808.6103,32494694.4434,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,7362525.6583,2111118.16732,27214601.595,111058869.324,0.0,-245.754137607,311.081186844,0.0,0.0
6,0.0,-121374513.514,153638624.702,-115598361.6,0.0,-19681065.5656,24912741.2222,-20223440.0,-14623184.6331,-18631611.15,0.0,-22585435.1532,28589158.4218,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,8774444.96582,2048860.78994,27490594.3626,109544579.084,0.0,-216.216957666,273.692351476,0.0,0.0
7,0.0,-112493018.133,142396225.485,-115598361.6,0.0,-18240917.3182,23089768.7572,-20223440.0,-14623184.5551,-18631611.15,0.0,-20932761.6867,26497166.692,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,10163015.8164,2091919.54701,28016967.4711,108151325.173,0.0,-200.395432577,253.665104527,0.0,0.0
8,0.0,-110092990.931,139358216.368,-115598361.6,0.0,-17851749.1859,22597150.8683,-20223440.0,-14623184.5856,-18631611.15,0.0,-20486163.3262,25931852.3116,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,13105906.4169,2144305.5776,28726928.0235,107291852.902,0.0,-196.120016223,248.253185092,0.0,0.0
9,0.0,-107926785.301,136616183.925,-115598361.6,0.0,-17500495.5842,22152526.0559,-20223440.0,-14623184.5112,-18631611.15,0.0,-20083074.6104,25421613.4309,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,8124128.43957,2195567.20419,29350447.4383,108474382.065,0.0,-192.261130388,243.368519478,0.0,0.0
10,0.0,-105445457.102,133475262.155,-115598361.6,0.0,-17098144.3693,21643220.7206,-20223440.0,-14623184.5931,-18631611.15,0.0,-19621347.7165,24837149.0082,-27050057.67,-4988314.2852,-9844785.79784,440497476.0,41947272.1112,2232078.42305,29692935.856,109259358.089,0.0,-187.840884171,237.773271103,0.0,0.0
11,0.0,-103370697.021,130848983.571,-115598361.6,0.0,-16761718.8051,21217365.576,-20223440.0,-14623184.5041,-18631611.15,0.0,-19235275.2378,24348449.6681,-27050057.67,-4988314.2852,-9844785.79784,0.0,8527675.13526,2355792.12214,29556570.0538,109027936.013,0.0,-184.144899737,233.094809794,0.0,0.0
12,0.0,-100994117.15,127840654.62,-115598361.6,0.0,-16376352.694,20729560.3721,-20223440.0,-14623184.5703,-18631611.15,0.0,-18793039.9695,23788658.1892,-27050057.67,-4988314.2852,-9844785.79784,0.0,10117465.4659,2418277.85764,30477791.9593,110748640.663,0.0,-179.911252537,227.735762705,0.0,0.0
13,0.0,-99006942.2782,125325243.39,-115598361.6,0.0,-16054129.2073,20321682.5408,-20223440.0,-14623184.6068,-18631611.15,0.0,-18423265.394,23320589.1063,-27050057.67,-4988314.2852,-9844785.79784,0.0,11550791.2697,2473077.02076,30871787.5077,111405315.096,0.0,-176.371292683,223.254800864,0.0,0.0
14,0.0,-96730688.8248,122443909.905,-115598361.6,0.0,-15685031.1803,19854469.8485,-20223440.0,-14623184.6376,-18631611.15,0.0,-17999698.9197,22784429.0122,-27050057.67,-4988314.2852,-9844785.79784,0.0,9777213.09235,2501718.25982,31086519.5937,111970541.001,0.0,-172.316367293,218.121983915,0.0,0.0
15,0.0,-94827401.7859,120034685.805,-115598361.6,0.0,-15376410.2358,19463810.425,-20223440.0,-14623184.61,-18631611.15,0.0,-17645534.2376,22336119.288,-27050057.67,-4988314.2852,-9844785.79784,0.0,7464902.01999,2545676.24324,31462100.7976,112189989.203,0.0,-168.9258455,213.830184177,0.0,0.0
16,0.0,-46323619.7541,58637493.3596,-115598361.6,0.0,-7511446.77097,9508160.46959,-20223440.0,-14623184.5629,-18631611.15,0.0,-8619924.23059,10911296.4944,-27050057.67,-4988314.2852,-9844785.79784,0.0,8660171.45441,2566319.22334,31699894.1183,112809393.029,0.0,-82.5210486232,104.457023574,0.0,0.0
17,0.0,0.0,0.0,-115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.61,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-9844785.79784,0.0,11663998.0637,2607796.86019,32115150.3116,113958152.531,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,-115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.5985,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-9844785.79784,0.0,11481631.9843,2641851.69206,32653471.0386,115449432.892,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,-115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.5742,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-9844785.79784,0.0,3834067.26769,2698960.9403,33033769.702,116294239.738,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,-115598361.6,0.0,0.0,0.0,-20223440.0,-14623184.5888,-18631611.15,0.0,0.0,0.0,-27050057.67,-4988314.2852,-9844785.79784,0.0,45358124.898,2700282.95782,33230771.7532,116736842.648,0.0,0.0,0.0,0.0,0.0
