npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2169247900.51,18489137.776,2169247900.51,2182321695.21,2156174105.81,2157481485.28,2181014315.74,2.0,341848215700000.0,0.25,0.125,1.17734560967e-13,0.00781233727318,31,0.249994792742
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2122309359.49,45575510.8201,2122309359.49,2154536112.24,2090082606.73,2093305282.0,2151313436.97,2.0,2077127186510000.0,0.25,0.125,1.17734560967e-13,0.00390603549646,26,0.124993135887
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2107201030.6,49405166.1846,2107201030.6,2142135758.64,2072266302.57,2075759775.37,2138642285.84,2.0,2440870445730000.0,0.25,0.125,1.17734560967e-13,0.00781263314013,36,0.250004260484
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,2024925774.67,9929715.12931,2024925774.67,2031947143.58,2017904405.77,2018606542.66,2031245006.69,2.0,98599242549200.0,0.25,0.125,1.17734560967e-13,0.00781266272682,41,0.250005207258
1280.0,-985.0,-19730.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1977139360.92,17974559.5851,1977139360.92,1989849293.89,1964429427.95,1965700421.24,1988578300.59,2.0,323084792277000.0,0.25,0.125,1.17734560967e-13,0.00390633136341,46,0.125002603629
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1962245664.03,5553132.35033,1962245664.03,1966172321.57,1958319006.49,1958711672.24,1965779655.82,2.0,30837278900300.0,0.25,0.25,1.17734560967e-13,0.0156246745464,57,0.249994792742
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1926634008.35,11006533.9673,1926634008.35,1934416803.15,1918851213.54,1919629493.02,1933638523.67,2.0,121143789974000.0,0.25,0.25,1.17734560967e-13,0.00781207099292,52,0.124993135887
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1909394165.23,2087476.80772,1909394165.23,1910870234.23,1907918096.22,1908065703.12,1910722627.33,2.0,4357559422760.0,0.25,0.25,1.17734560967e-13,0.0156252662803,62,0.250004260484
1280.0,-585.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1861564100.08,4387034.7691,1861564100.08,1864666202.12,1858461998.05,1858772208.25,1864355991.92,2.0,19246074065300.0,0.25,0.25,1.17734560967e-13,0.0156246745464,83,0.249994792742
1280.0,-785.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,1855559445.74,45695689.3024,1855559445.74,1887871177.52,1823247713.97,1826478887.14,1884640004.34,2.0,2088096020820000.0,0.25,0.25,1.17734560967e-13,0.0156253254536,67,0.250005207258
