npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1280484510.79,3249896.44002,1280484510.79,1282782534.6,1278186486.98,1278416289.36,1282552732.22,2.0,10561826870800.0,0.125210084034,0.00782582382741,0.25,0.250006184017,61,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1255924810.03,2550562.9742,1255924810.03,1257728330.4,1254121289.65,1254301641.69,1257547978.36,2.0,6505371485340.0,0.125210084034,0.00391254412062,0.25,0.124991342377,51,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1246399778.91,13674066.8336,1246399778.91,1256068804.3,1236730753.53,1237697656.07,1255101901.76,2.0,186980103769000.0,0.249579831933,0.0155983536443,0.25,0.249993815983,83,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1245558356.16,16496355.7614,1245558356.16,1257223041.19,1233893671.14,1235060139.64,1256056572.68,2.0,272129753407000.0,0.125210084034,0.00782582382741,0.25,0.250006184017,66,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1223693158.62,17336934.2693,1223693158.62,1235952222.41,1211434094.84,1212660001.22,1234726316.03,2.0,300569289856000.0,0.249579831933,0.00779882955587,0.25,0.124991342377,78,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1196933003.12,24475082.49,1196933003.12,1214239499.92,1179626506.32,1181357156.0,1212508850.24,2.0,599029662893000.0,0.249579831933,0.0155991253473,0.25,0.250006184017,88,2.78193391732e-13
769.0,-754.0,-11479.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1193767502.5,13829980.4878,1193767502.5,1203546775.49,1183988229.51,1184966156.81,1202568848.19,2.0,191268360292000.0,0.125210084034,0.00391289255617,0.25,0.125002473607,71,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1162515360.99,10874969.6974,1162515360.99,1170205125.81,1154825596.18,1155594572.66,1169436149.33,2.0,118264965918000.0,0.249579831933,0.0155991253473,0.25,0.250006184017,93,2.78193391732e-13
769.0,-457.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1125844781.96,13549234.1888,1125844781.96,1135425537.34,1116264026.59,1117222102.13,1134467461.8,2.0,183581747104000.0,0.249579831933,0.00779952408848,0.25,0.125002473607,98,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1115464011.37,35190098.8092,1115464011.37,1140347168.86,1090580853.87,1093069169.62,1137858853.11,2.0,1238343054200000.0,0.249579831933,0.0155983536443,0.25,0.249993815983,82,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1097060269.65,446092.417958,1097060269.65,1097375704.62,1096744834.68,1096776378.17,1097344161.13,2.0,198998445360.0,0.249579831933,0.0155991253473,0.25,0.250006184017,87,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1060642311.5,35043523.8873,1060642311.5,1085421824.88,1035862798.13,1038340749.47,1082943873.54,2.0,1228048566440000.0,0.250420168067,0.00391254412062,0.125,0.124991342377,104,2.78193391732e-13
769.0,-308.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1052713822.54,42012907.8588,1052713822.54,1082421434.58,1023006210.49,1025976971.7,1079450673.38,2.0,1765084426750000.0,0.250420168067,0.00782543667679,0.125,0.249993815983,109,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1048385987.98,35068611.6078,1048385987.98,1073183241.05,1023588734.9,1026068460.21,1070703515.75,2.0,1229807520100000.0,0.249579831933,0.00779882955587,0.25,0.124991342377,77,2.78193391732e-13
769.0,-605.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,1034418081.95,21951027.5535,1034418081.95,1049939802.38,1018896361.51,1020448533.55,1048387630.34,2.0,481847610657000.0,0.249579831933,0.0155991253473,0.25,0.250006184017,92,2.78193391732e-13
769.0,-754.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,998871321.959,11307353.0903,998871321.959,1006866828.01,990875815.911,991675366.516,1006067277.4,2.0,127856233908000.0,0.125210084034,0.00782543667679,0.25,0.249993815983,81,2.78193391732e-13
