smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,585556602.249,12309393.7887,585556602.249,594260658.07,576852546.429,577722952.011,593390252.488,2.0,151521175445000.0,2,0.25,0.125226860254,2.6175466018599997e-14,0.00391331593177,0.124999250922
720.0,-667.0,-16762.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,464625378.391,1091150.07742,464625378.391,465396938.01,463853818.772,463930974.733,465319782.048,2.0,1190608491450.0,26,0.125018050542,0.125226860254,2.6175466018599997e-14,0.00391389666791,0.249999500615
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,349909644.307,8611771.56755,349909644.307,355999086.381,343820202.234,344429146.441,355390142.173,2.0,74162609531700.0,8,0.249963898917,0.250453720508,2.6175466018599997e-14,0.00782550166399,0.124999250922
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,298857064.981,70515021.9906,298857064.981,348718715.206,248995414.756,253981579.778,343732550.184,2.0,4972368326340000.0,19,0.25,0.249546279492,2.6175466018599997e-14,0.00779827450171,0.124999250922
720.0,-529.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,233363110.081,8761219.5476,233363110.081,239558227.835,227167992.328,227787504.103,238938716.06,2.0,76758967961200.0,32,0.25,0.250453720508,2.6175466018599997e-14,0.0156533262635,0.249999500615
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,213781090.976,5473193.96451,213781090.976,217651223.543,209910958.409,210297971.666,217264210.286,2.0,29955852173200.0,3,0.249963898917,0.125226860254,2.6175466018599997e-14,0.00391275083199,0.124999250922
720.0,-116.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,193827943.537,9115950.22344,193827943.537,200273893.757,187381993.317,188026588.339,199629298.735,2.0,83100548476200.0,25,0.125018050542,0.125226860254,2.6175466018599997e-14,0.00195694051577,0.124999250922
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,186054987.24,36287579.7804,186054987.24,211714180.976,160395793.504,162961712.878,209148261.602,2.0,1316788446320000.0,14,0.25,0.249546279492,2.6175466018599997e-14,0.00779827450171,0.124999250922
720.0,-667.0,-13299.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,175816171.759,1710264.64539,175816171.759,177025511.487,174606832.031,174727766.003,176904577.515,2.0,2925005157270.0,27,0.25,0.125226860254,2.6175466018599997e-14,0.00782666313177,0.249999500615
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,1251541.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,5036924.95027,6417831.65347,5036924.95027,9575017.23295,498832.66758,952641.895849,9121208.00468,2.0,41188563132300.0,38,0.249963898917,0.249546279492,2.6175466018599997e-14,0.0155943590951,0.249999500615
