npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1687299729.14,3753525.6413800004,1688791073.16,1689889670.87,1681727099.37,1682761450.49,1689750126.15,4.0,14088954740500.0,0.00137500823064,1.17308946207e-12,142,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1686577141.12,1382243.12949,1686803036.81,1688000904.46,1684701586.42,1684985894.69,1687852133.59,4.0,1910596069020.0,0.00137500823064,1.17308946207e-12,182,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1686424645.63,1096456.59619,1685978604.58,1688050984.25,1685690389.11,1685716973.45,1687756775.28,4.0,1202217067330.0,0.000687463301778,1.17308946207e-12,192,0.0555599535571,0.111111111111,0.111360239163
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1685978756.62,2658304.9098400003,1686785684.84,1688217829.15,1682125827.65,1682803864.91,1688023948.81,4.0,7066584993700.0,0.00137500823064,1.17308946207e-12,172,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1685487583.46,1885060.30492,1686266632.4,1686712264.46,1682704804.58,1683191311.26,1686693187.14,4.0,3553452353180.0,0.00137500823064,1.17308946207e-12,152,0.111126504117,0.111111111111,0.111360239163
769.0,-680.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1684782863.8,861523.02574,1684601927.11,1685895113.08,1684032487.92,1684054173.46,1685764865.52,4.0,742221923880.0,0.00137500823064,1.17308946207e-12,162,0.111126504117,0.111111111111,0.111360239163
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,25267.0,ref,cooper,nebraska,covid,1640461689.18,3827923.5375599996,1642340482.38,1642445273.37,1634720518.57,1635857129.97,1642435937.89,4.0,14652998609400.0,0.000682889993741,1.17308946207e-12,131,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,16845.0,ref,cooper,nebraska,covid,1640147520.36,1451770.42656,1640504393.81,1641396135.01,1638185158.8,1638446987.09,1641348430.79,4.0,2107637371430.0,0.000682889993741,1.17308946207e-12,121,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,58957.0,ref,cooper,nebraska,covid,1637400899.5,2429261.08185,1637291755.1,1640397528.83,1634622558.95,1634917877.34,1640036723.81,4.0,5901309403810.0,0.000682889993741,1.17308946207e-12,171,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,67380.0,ref,cooper,nebraska,covid,1637203445.14,4203712.73063,1638325808.81,1640541514.19,1631620648.74,1632322994.57,1640512586.57,4.0,17671200721700.0,0.000682889993741,1.17308946207e-12,181,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,42112.0,ref,cooper,nebraska,covid,1637177032.57,4057867.84708,1637173342.88,1641779853.37,1632581591.17,1632987835.66,1641371395.06,4.0,16466291464300.0,0.000682889993741,1.17308946207e-12,151,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,50535.0,ref,cooper,nebraska,covid,1636238911.14,6116707.968090001,1637840049.09,1641530850.83,1627744695.56,1628979202.56,1641257026.6,4.0,37414116366900.0,0.000682889993741,1.17308946207e-12,161,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,33690.0,ref,cooper,nebraska,covid,1636233670.71,3691340.83269,1635706461.4,1641176210.09,1632345549.97,1632756257.41,1640449177.06,4.0,13625997143100.0,0.000682889993741,1.17308946207e-12,141,0.111126504117,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,75802.0,ref,cooper,nebraska,covid,1636147177.7,4505214.48243,1636933098.29,1640682486.59,1630040027.62,1630932112.43,1640261954.14,4.0,20296957532700.0,0.000341424727057,1.17308946207e-12,191,0.0555599535571,0.111111111111,0.0553064275037
769.0,-754.0,-17083.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,8422.0,ref,cooper,nebraska,covid,1631459070.73,1853756.20582,1632128827.16,1632817546.88,1628761081.72,1629209373.29,1632771109.17,4.0,3436412070630.0,0.000682484597484,1.17308946207e-12,111,0.111060534093,0.111111111111,0.0553064275037
